flow,period,value
Industry,1971-1974,3752.122763383562
Transport,1971-1974,339.02294776027395
Residential,1971-1974,2440.398468273973
Commercial,1971-1974,1314.4139331780823
Other,1971-1974,9.720925506849316
Electricity output in GWh,1971-1974,394050.75
Production,1971-1974,11350.404759739726
Imports,1971-1974,466.8990652260274
Exports,1971-1974,-482.40782902054787
Total Consumption,1971-1974,7855.6790381027395
Electricity,1971-1974,-1847.2690463013698
Industry,1971,3645.3714850136985
Transport,1971,348.29989115068497
Residential,1971,2455.298952520548
Commercial,1971,1276.5476753150685
Other,1971,8.97657906849315
Electricity output in GWh,1971,412630.0
Production,1971,11351.019746739727
Imports,1971,445.0061475616439
Exports,1971,-458.6406102739726
Total Consumption,1971,7734.494583068492
Electricity,1971,-1949.1294775616434
Industry,1972,3649.869715232877
Transport,1972,357.9829617260274
Residential,1972,2533.356765150685
Commercial,1972,1339.0078102465752
Other,1972,9.814689260273973
Electricity output in GWh,1972,416755.0
Production,1972,11453.27463241096
Imports,1972,483.1945639452055
Exports,1972,-497.16694969863016
Total Consumption,1972,7890.031941616438
Electricity,1972,-1954.2280046575343
Industry,1973,3926.750564712329
Transport,1973,338.22843098630136
Residential,1973,2401.714804958904
Commercial,1973,1321.8042801643837
Other,1973,10.214304794520547
Electricity output in GWh,1973,386354.0
Production,1973,11537.621665369865
Imports,1973,486.50814567123285
Exports,1973,-500.87629117808217
Total Consumption,1973,7998.71240569863
Electricity,1973,-1792.6077301369864
Industry,1974,3786.4992885753422
Transport,1974,311.58050717808214
Residential,1974,2371.2233504657534
Commercial,1974,1320.2959669863014
Other,1974,9.87812890410959
Electricity output in GWh,1974,360464.0
Production,1974,11059.702994438356
Imports,1974,452.8874037260274
Exports,1974,-472.94746493150683
Total Consumption,1974,7799.477222027397
Electricity,1974,-1693.1109728493147
Industry,1975,3191.647698164384
Transport,1975,270.7828316986301
Residential,1975,2430.964637780822
Commercial,1975,1297.9718997260275
Other,1975,16.513024
Electricity output in GWh,1975,342191.0
Production,1975,10379.046544520548
Imports,1975,447.3167443013698
Exports,1975,-465.30659260273967
Total Consumption,1975,7207.880111452055
Electricity,1975,-1580.6819066027397
Industry,1976,3222.2289401369862
Transport,1976,254.4450248219178
Residential,1976,2494.974977342466
Commercial,1976,1380.8822526849315
Other,1976,48.039374082191785
Electricity output in GWh,1976,332912.0
Production,1976,10300.23824030137
Imports,1976,449.1927624109589
Exports,1976,-464.5617039452055
