flow,period,value
Electricity output in GWh,1971-1974,1954.0
Production,1971-1974,33.73435694520548
Electricity,1971-1974,-33.73435694520548
Electricity output in GWh,1971,586.0
Production,1971,10.116845917808218
Electricity,1971,-10.116845917808218
Electricity output in GWh,1972,1555.0
Production,1972,26.8459141369863
Electricity,1972,-26.8459141369863
Electricity output in GWh,1973,2612.0
Production,1973,45.09424032876713
Electricity,1973,-45.09424032876713
Electricity output in GWh,1974,3063.0
Production,1974,52.880427397260284
Electricity,1974,-52.880427397260284
Electricity output in GWh,1975,3942.0
Production,1975,68.0556962739726
Electricity,1975,-68.0556962739726
Electricity output in GWh,1976,4394.0
Production,1976,75.85915402739727
Electricity,1976,-75.85915402739727
Electricity output in GWh,1977,4371.0
Production,1977,75.46208893150686
Electricity,1977,-75.46208893150686
Electricity output in GWh,1978,3740.0
Production,1978,64.56834334246575
Electricity,1978,-64.56834334246575
Electricity output in GWh,1979,5122.0
Production,1979,88.42753350684931
Electricity,1979,-88.42753350684931
Electricity output in GWh,1980,6267.0
Production,1980,108.1950975890411
Electricity,1980,-108.1950975890411
Electricity output in GWh,1981,6991.0
Production,1981,120.6944344931507
Electricity,1981,-120.6944344931507
Electricity output in GWh,1982,6230.0
Production,1982,107.55632323287672
Electricity,1982,-107.55632323287672
Electricity output in GWh,1983,7494.0
Production,1983,129.37835578082192
Electricity,1983,-129.37835578082192
Electricity output in GWh,1984-1987,12738.0
Production,1984-1987,219.9121296438356
Electricity,1984-1987,-219.9121296438356
Electricity output in GWh,1984,9266.0
Production,1984,159.97062287671233
Electricity,1984,-159.97062287671233
Electricity output in GWh,1985,11526.0
Production,1985,198.98785139726027
Electricity,1985,-198.98785139726027
Electricity output in GWh,1986,14320.0
Production,1986,247.22419161643833
Electricity,1986,-247.22419161643833
Electricity output in GWh,1987,15840.0
Production,1987,273.46585268493146
Electricity,1987,-273.46585268493146
Electricity output in GWh,1988,15551.0
Production,1988,268.4764723013699
Electricity,1988,-268.4764723013699
Electricity output in GWh,1989,19623.0
Production,1989,338.77655432876713
Electricity,1989,-338.77653424657535
Other,1990,6.746973808219178
Electricity output in GWh,1990,21136.0
Production,1990,371.6443345753425
Total Consumption,1990,6.746973808219178
Electricity,1990,-364.8973607671233
Other,1991,7.02798391780822
Electricity output in GWh,1991,21702.0
Production,1991,381.6969375616439
Total Consumption,1991,7.02798391780822
Electricity,1991,-374.6689536438356
Other,1992,7.16849901369863
Electricity output in GWh,1992,17168.0
Production,1992,303.5612863561644
Total Consumption,1992,7.16849901369863
Electricity,1992,-296.3927873424658
Other,1993,7.449529205479452
Electricity output in GWh,1993,23651.0
Production,1993,415.766496410959
Total Consumption,1993,7.449529205479452
Electricity,1993,-408.3169672054795
Other,1994,7.871536383561644
Electricity output in GWh,1994,23077.0
Production,1994,406.27884564383567
Total Consumption,1994,7.871536383561644
Electricity,1994,-398.407309260274
Other,1995,8.152566575342465
Electricity output in GWh,1995,20610.0
Production,1995,363.9689409589041
Total Consumption,1995,8.152566575342465
Electricity,1995,-355.81637438356165
Other,1996,8.293081671232876
Electricity output in GWh,1996,21475.0
Production,1996,379.04303575342465
Total Consumption,1996,8.293081671232876
Electricity,1996,-370.7499741643836
Other,1997,8.5741118630137
Electricity output in GWh,1997,20373.0
Production,1997,360.2988400821919
Total Consumption,1997,8.5741118630137
Electricity,1997,-351.7247483013699
Other,1998,8.85512197260274
Electricity output in GWh,1998,21026.0
Production,1998,371.8534303561644
Total Consumption,1998,8.85512197260274
Electricity,1998,-362.99830838356166
Industry,1999-2002,2.289430109589041
Residential,1999-2002,4.654996828767124
Commercial,1999-2002,3.971981404109589
Electricity output in GWh,1999-2002,20503.0
Production,1999-2002,338.08382414383567
Total Consumption,1999-2002,10.916408342465754
Electricity,1999-2002,-327.1674208219178
Industry,1999,2.0745908219178086
Residential,1999,4.300721863013699
Commercial,1999,3.3900346301369866
Electricity output in GWh,1999,21340.0
Production,1999,373.36788868493153
Total Consumption,1999,9.765327232876713
Electricity,1999,-363.6025614520548
Industry,2000,2.2261310410958903
Residential,2000,4.3515498904109595
Commercial,2000,3.8456192328767123
Electricity output in GWh,2000,20522.0
Production,2000,364.72041657534254
Total Consumption,2000,10.423300164383562
Electricity,2000,-354.2971164109589
Industry,2001,2.428499287671233
Residential,2001,4.806652520547945
Commercial,2001,4.1995276986301375
Electricity output in GWh,2001,19813.0
Production,2001,354.9071330684931
Total Consumption,2001,11.434699589041097
Electricity,2001,-343.47243347945215
Industry,2002,2.428499287671233
Residential,2002,5.161063041095891
Commercial,2002,4.452744054794521
Electricity output in GWh,2002,20337.0
Production,2002,259.3398582465754
Total Consumption,2002,12.042306383561643
Electricity,2002,-247.2975719452055
Industry,2003,1.9225686301369864
Residential,2003,7.083611589041096
Commercial,2003,6.071750273972603
Electricity output in GWh,2003,21152.0
Production,2003,276.92398602739723
Total Consumption,2003,15.077930493150685
Electricity,2003,-261.8460555342466
Industry,2004,1.9225686301369864
Residential,2004,7.083611589041096
Commercial,2004,6.071750273972603
Electricity output in GWh,2004,22064.0
Production,2004,286.12295528767123
