product,flow,value
Coal and coal products,Industry,19.68548816438356
Coal and coal products,Residential,0.13228139726027396
Coal and coal products,Commercial,0.6583745753424657
Coal and coal products,Other,3.900503863013699
Gas,Industry,132.17753216438356
Combustible renewables and waste,Industry,0.8349171232876713
Gas,Residential,179.10260567123285
Solar/Wind/Other,Residential,0.020624410958904108
Combustible renewables and waste,Residential,6.014696767123288
Gas,Commercial,82.44858304109589
Solar/Wind/Other,Commercial,0.026849890410958904
Combustible renewables and waste,Commercial,0.8119029315068494
Gas,Other,112.2318390410959
Combustible renewables and waste,Other,0.022532219178082194
Oil Products,Industry,22.549971835616436
Oil Products,Transport,176.9112168219178
Oil Products,Residential,4.693911095890411
Oil Products,Commercial,25.413752630136987
Oil Products,Other,156.75020243835618
Electricity,Industry,57.41984619178083
Electricity,Transport,2.340177808219178
Electricity,Residential,29.532871232876712
Electricity,Commercial,36.620760328767126
Electricity,Other,4.676901479452055
Heat,Residential,2.608817287671233
Heat,Commercial,2.0678833698630137
Heat,Other,2.6304056438356165
Coal and coal products,Electricity output in GWh,25242.0
Gas,Electricity output in GWh,41095.0
Nuclear,Electricity output in GWh,3329.0
Hydro,Electricity output in GWh,104.0
Solar/Wind/Other,Electricity output in GWh,88.0
Combustible renewables and waste,Electricity output in GWh,1180.0
Oil Products,Electricity output in GWh,3381.0
"Crude, NGL and feedstocks",Production,76.45884843835617
Gas,Production,1239.537822520548
Nuclear,Production,17.4224661369863
Hydro,Production,0.17961512328767126
Solar/Wind/Other,Production,0.19945632876712333
Combustible renewables and waste,Production,19.272678630136987
Coal and coal products,Imports,212.39829726027398
"Crude, NGL and feedstocks",Imports,1083.134941589041
Gas,Imports,35.14977994520548
Combustible renewables and waste,Imports,0.3741312328767123
Coal and coal products,Exports,-46.41673298630137
"Crude, NGL and feedstocks",Exports,-24.33855208219178
Gas,Exports,-582.9420674794521
Combustible renewables and waste,Exports,-0.31657567123287667
Coal and coal products,Total Consumption,24.376688164383562
Gas,Total Consumption,505.96055991780827
Solar/Wind/Other,Total Consumption,0.04747430136986301
Combustible renewables and waste,Total Consumption,7.684069123287672
Oil Products,Imports,740.0242486301371
Electricity,Imports,16.887275726027397
Oil Products,Exports,-1127.022603671233
Electricity,Exports,-1.0776907397260274
Oil Products,Total Consumption,386.3190548219178
Electricity,Total Consumption,130.59055704109588
Electricity,Production,314.3505844657534
Coal and coal products,Electricity,-106.28216841095892
Gas,Electricity,-163.2248416438356
Nuclear,Electricity,-17.4224661369863
Hydro,Electricity,-0.17961512328767126
Solar/Wind/Other,Electricity,-0.15198202739726027
Combustible renewables and waste,Electricity,-11.435643452054792
Oil Products,Electricity,-15.653867671232875
"Crude, NGL and feedstocks",Oil Products,-1449.6589799726028
All products,Heat and Waste,197.74548668493162
All products,Industry,232.66775547945207
All products,Transport,179.25141471232877
All products,Residential,222.1057877808219
All products,Commercial,148.0481067671233
All products,Other,280.2124248493151
All products,Total Consumption,1054.9784033698631
All primary,Production,1353.0708871780823
All primary,Imports,1331.057150027397
All primary,Exports,-654.0139282191781
All primary,Total Consumption,538.0687915068495
All primary,Oil Products,-1449.6589799726028
All primary,Electricity,-314.3505844657534
Oil Products,Production,1443.4194229041095
All products,Hydrocarbon Heat and Waste,6.239557068493241
All products,Electricity Heat and Waste,191.50592961643838
