flow,period,value
Industry,1971-1974,50.54147962328767
Transport,1971-1974,122.08512627397259
Residential,1971-1974,84.76178544520548
Commercial,1971-1974,23.218076232876708
Other,1971-1974,150.5995743356164
Electricity output in GWh,1971-1974,8089.0
Imports,1971-1974,188.27440874657532
Exports,1971-1974,-768.9779845958905
Total Consumption,1971-1974,431.20604191095896
Electricity,1971-1974,-38.812405226027394
Production,1971-1974,1345.1573589315071
Industry,1971,54.698307561643844
Transport,1971,115.02460920547945
Residential,1971,87.67611813698629
Commercial,1971,24.756904301369865
Other,1971,110.91396528767123
Electricity output in GWh,1971,11775.0
Imports,1971,168.39417854794522
Exports,1971,-688.871753260274
Total Consumption,1971,393.0699044931507
Electricity,1971,-56.16155630136986
Production,1971,1220.6767484931506
Industry,1972,51.68607920547945
Transport,1972,122.99914715068493
Residential,1972,94.37642093150686
Commercial,1972,28.324585999999996
Other,1972,143.80044205479453
Electricity output in GWh,1972,10171.0
Imports,1972,166.84949652054794
Exports,1972,-755.2882205479451
Total Consumption,1972,441.1866753424657
Electricity,1972,-48.77659134246575
Production,1972,1397.9714548493153
Industry,1973,53.26817435616439
Transport,1973,129.67097339726027
Residential,1973,95.11594764383561
Commercial,1973,21.572571561643837
Other,1973,171.61148624657534
Electricity output in GWh,1973,6488.0
Imports,1973,199.49815997260276
Exports,1973,-839.5024901369864
Total Consumption,1973,471.2391732876713
Electricity,1973,-31.171618246575342
Production,1973,1468.4864765753425
Industry,1974,42.513357369863016
Transport,1974,120.64577534246577
Residential,1974,61.87865506849315
Commercial,1974,18.21824306849315
Other,1974,176.07240375342465
Electricity output in GWh,1974,3922.0
Imports,1974,218.3557999452055
Exports,1974,-792.2494744383563
Total Consumption,1974,419.32841452054794
Electricity,1974,-19.13985501369863
Production,1974,1293.4947558082192
Industry,1975,34.98309775342466
Transport,1975,129.92210120547946
Residential,1975,50.58085578082192
Commercial,1975,26.09811356164384
Other,1975,147.90313342465754
Electricity output in GWh,1975,4306.0
Imports,1975,193.51246189041095
Exports,1975,-667.791677369863
Total Consumption,1975,389.48732180821924
Electricity,1975,-18.111305397260274
Production,1975,1142.8104798082193
Industry,1976,41.756881287671234
Transport,1976,149.7208328493151
Residential,1976,50.00124356164384
Commercial,1976,37.04931430136986
Other,1976,193.71045221917808
Electricity output in GWh,1976,4578.0
Imports,1976,201.4616761917808
Exports,1976,-728.0032494520547
Total Consumption,1976,472.23872421917804
Electricity,1976,-16.781201589041096
Production,1976,1305.8367889041097
Industry,1977,32.78556375342466
Transport,1977,154.5483708493151
Residential,1977,48.44734380821918
Commercial,1977,28.019417013698636
Other,1977,170.44987202739728
Electricity output in GWh,1977,4387.0
Imports,1977,187.5082279452055
Exports,1977,-656.1293461369863
Total Consumption,1977,434.25058753424656
Electricity,1977,-20.09793621917808
Production,1977,1220.3744713424658
Industry,1978,50.604894164383566
Transport,1978,151.80664961643834
Residential,1978,42.352960904109594
Commercial,1978,24.30479391780822
Other,1978,214.4154730958904
Electricity output in GWh,1978,10415.0
Imports,1978,276.5286279178082
Exports,1978,-648.5031338082192
Total Consumption,1978,483.48477169863014
Electricity,1978,-41.89470536986302
Production,1978,1222.5473042465753
Industry,1979,60.01131246575342
Transport,1979,147.8233067123288
Residential,1979,41.94456945205479
Commercial,1979,22.306254356164384
Other,1979,262.3339323013699
Electricity output in GWh,1979,21829.0
Imports,1979,391.2713032328767
Exports,1979,-769.5915206575344
Total Consumption,1979,534.4193752876713
Electricity,1979,-95.50092326027398
Production,1979,1325.2520711780821
Industry,1980,51.055578712328774
Transport,1980,150.79342271232875
Residential,1980,28.295326246575346
Commercial,1980,15.068933671232879
Other,1980,243.80264802739725
Electricity output in GWh,1980,24899.0
Imports,1980,579.0110989315068
Exports,1980,-834.7550399178081
Total Consumption,1980,489.01590936986304
Electricity,1980,-103.30470232876714
Production,1980,1163.2453148767122
Industry,1981,56.05650635616438
Transport,1981,153.54022473972603
Residential,1981,22.90524589041096
Commercial,1981,13.116362246575344
Other,1981,227.46719076712327
Electricity output in GWh,1981,25533.0
Imports,1981,659.9231332328767
Exports,1981,-810.1914467945205
Total Consumption,1981,473.0855099178082
Electricity,1981,-101.50122109589041
Production,1981,1038.6407169863014
Industry,1982,41.55917210958904
Transport,1982,147.5410916712329
Residential,1982,26.226378520547946
Commercial,1982,7.39109002739726
Other,1982,144.522035369863
Electricity output in GWh,1982,14518.0
Imports,1982,734.8563576438357
Exports,1982,-933.0071832876713
Total Consumption,1982,367.23976769863015
Electricity,1982,-63.123690712328774
Production,1982,1089.5045107671233
Industry,1983,45.032547835616434
Transport,1983,150.79448706849317
Residential,1983,27.265411041095895
Commercial,1983,8.023578657534246
Other,1983,180.2892021369863
Electricity output in GWh,1983,5647.0
Imports,1983,743.4901537808219
Exports,1983,-1034.9502527671234
Total Consumption,1983,411.4052066575343
Electricity,1983,-28.515527479452057
Production,1983,1211.389337260274
Industry,1984-1987,45.43359924657535
Transport,1984-1987,156.1192601369863
Residential,1984-1987,7.8217325479452064
Commercial,1984-1987,27.927812095890413
Other,1984-1987,194.91642800000002
Electricity output in GWh,1984-1987,3434.25
Imports,1984-1987,734.1113133493151
Exports,1984-1987,-1091.2786217945206
Total Consumption,1984-1987,432.21881696575343
Electricity,1984-1987,-15.062989342465753
Production,1984-1987,1291.9470915753427
Industry,1984,47.98746161643836
Transport,1984,153.52343602739728
Residential,1984,10.202255479452054
Commercial,1984,29.01250147945206
Other,1984,167.0482700547945
Electricity output in GWh,1984,3364.0
Imports,1984,665.101105479452
Exports,1984,-1048.3463398630138
Total Consumption,1984,407.7739246575343
Electricity,1984,-15.310642931506848
Production,1984,1267.9227555068494
Industry,1985,43.59741416438356
Transport,1985,152.6867315890411
Residential,1985,7.481761123287671
Commercial,1985,32.298811589041094
Other,1985,160.29679783561645
