product,flow,value
Combustible renewables and waste,Industry,3.3372787123287675
Combustible renewables and waste,Residential,15.800126273972602
Combustible renewables and waste,Other,0.04432139726027397
Oil Products,Industry,2.360822301369863
Oil Products,Transport,6.2819907397260275
Oil Products,Residential,0.49663260273972604
Oil Products,Commercial,0.6562257808219178
Oil Products,Other,0.8448979726027398
Electricity,Industry,0.5872032876712329
Electricity,Residential,0.8618071780821918
Electricity,Commercial,0.21242942465753423
Electricity,Other,0.2746038904109589
Hydro,Electricity output in GWh,401.0
Geothermal,Electricity output in GWh,234.0
Combustible renewables and waste,Electricity output in GWh,45.0
Oil Products,Electricity output in GWh,620.0
Hydro,Production,0.6925544657534246
Geothermal,Production,4.039834109589041
Combustible renewables and waste,Production,20.046686465753424
"Crude, NGL and feedstocks",Imports,10.273145616438356
Combustible renewables and waste,Total Consumption,19.181706301369864
Oil Products,Imports,5.137968520547945
Electricity,Imports,0.14507375342465753
Oil Products,Exports,-0.037413123287671234
Electricity,Exports,-0.006908273972602739
Oil Products,Total Consumption,10.640569397260274
Electricity,Total Consumption,1.9360437808219177
Electricity,Production,8.456369972602738
Hydro,Electricity,-0.6925544657534247
Geothermal,Electricity,-4.039834109589041
Combustible renewables and waste,Electricity,-0.22202871232876709
Oil Products,Electricity,-3.5019526849315072
"Crude, NGL and feedstocks",Oil Products,-10.536041589041096
All products,Heat and Waste,6.908555123287668
All products,Industry,6.285284219178083
All products,Transport,6.2819907397260275
All products,Residential,17.15856605479452
All products,Commercial,0.8686351232876711
All products,Other,1.1638232602739726
All products,Total Consumption,31.758319479452055
All primary,Production,24.77907504109589
All primary,Imports,10.273145616438356
All primary,Total Consumption,19.181706301369864
All primary,Oil Products,-10.536041589041096
All primary,Electricity,-8.456369972602738
Oil Products,Production,10.189262301369864
All products,Hydrocarbon Heat and Waste,0.34677928767123234
All products,Electricity Heat and Waste,6.5617758356164355
