product,flow,value
Combustible renewables and waste,Industry,3.9833680068493154
Combustible renewables and waste,Residential,22.561042143835614
Combustible renewables and waste,Commercial,0.2733085890410959
Combustible renewables and waste,Other,0.07939494520547945
Oil Products,Industry,2.662913691780822
Oil Products,Transport,9.68423032191781
Oil Products,Residential,0.6554124520547945
Oil Products,Commercial,0.7504012191780822
Oil Products,Other,0.743191712328767
Electricity,Industry,0.6277893972602739
Electricity,Residential,0.7901338356164384
Electricity,Commercial,0.8225163698630136
Electricity,Other,0.16191267123287673
Hydro,Electricity output in GWh,5.537664383561643
Geothermal,Electricity output in GWh,3.2733972602739727
Combustible renewables and waste,Electricity output in GWh,0.9388424657534247
Oil Products,Electricity output in GWh,38.266616438356166
Hydro,Production,0.47623913698630144
Geothermal,Production,2.8140723493150683
Combustible renewables and waste,Production,28.008863821917803
"Crude, NGL and feedstocks",Imports,17.184426897260273
Combustible renewables and waste,Total Consumption,26.897118705479453
Oil Products,Imports,7.632864554794523
Electricity,Imports,0.09930643835616437
Oil Products,Exports,-0.9216420684931506
Electricity,Exports,-0.012953013698630137
Oil Products,Total Consumption,14.496149397260277
Electricity,Total Consumption,2.402352273972603
Electricity,Production,12.641875280821917
Hydro,Electricity,-0.47623913698630144
Geothermal,Electricity,-2.8140723493150683
Combustible renewables and waste,Electricity,-0.398872493150685
Oil Products,Electricity,-8.952691301369862
"Crude, NGL and feedstocks",Oil Products,-17.33632859589041
All products,Industry,7.274086157534246
All products,Transport,9.684215260273973
All products,Residential,24.00658843150685
All products,Commercial,1.8462261780821918
All products,Other,0.9844892876712329
All products,Total Consumption,43.795620376712336
All primary,Production,31.299175308219173
All primary,Imports,17.184426897260273
All primary,Total Consumption,26.897118705479453
All primary,Oil Products,-17.33632859589041
All primary,Electricity,-12.641875280821917
Oil Products,Production,17.269580410958902
