flow,period,value
Industry,1971-1974,3.1661935
Residential,1971-1974,10.976097636986303
Other,1971-1974,0.022160698630136984
Electricity output in GWh,1971-1974,1.1045205479452054
Production,1971-1974,15.042319746575341
Total Consumption,1971-1974,14.16445183561644
Electricity,1971-1974,-0.2713104109589042
Industry,1971,3.0845443287671235
Residential,1971,10.45575298630137
Other,1971,0.01478049315068493
Electricity output in GWh,1971,51.0
Production,1971,14.438674164383562
Total Consumption,1971,13.555077808219178
Electricity,1971,-0.2517704383561644
Industry,1972,2.9095079452054793
Residential,1972,10.744916465753425
Other,1972,0.01478049315068493
Electricity output in GWh,1972,59.0
Production,1972,14.584932767123286
Total Consumption,1972,13.66920490410959
Electricity,1972,-0.2910913698630137
Industry,1973,3.2015632602739728
Residential,1973,11.337280876712327
Other,1973,0.029540904109589046
Electricity output in GWh,1973,43.0
Production,1973,15.340244082191782
Total Consumption,1973,14.56838504109589
Electricity,1973,-0.21196753424657533
Industry,1974,3.4691584657534245
Residential,1974,11.366440219178083
Other,1974,0.029540904109589046
Electricity output in GWh,1974,67.0
Production,1974,15.80542797260274
Total Consumption,1974,14.865139589041096
Electricity,1974,-0.330412301369863
Industry,1975,3.940085863013699
Residential,1975,11.633935013698633
Other,1975,0.06637164383561645
Electricity output in GWh,1975,14.0
Production,1975,16.410644986301367
Total Consumption,1975,15.640412602739726
Electricity,1975,-0.19758868493150686
Industry,1976,4.435955342465753
Residential,1976,11.749909671232876
Other,1976,0.07213523287671234
Electricity output in GWh,1976,16.0
Production,1976,17.07914098630137
Total Consumption,1976,16.258000246575342
Electricity,1976,-0.22540252054794524
Industry,1977,4.46615895890411
Residential,1977,11.829515479452056
Other,1977,0.0692634794520548
Electricity output in GWh,1977,15.0
Production,1977,17.23116317808219
Total Consumption,1977,16.36493791780822
Electricity,1977,-0.2172491506849315
Industry,1978,4.347714191780822
Residential,1978,12.053853643835616
Other,1978,0.07500698630136986
Electricity output in GWh,1978,16.0
Production,1978,17.316050602739725
Total Consumption,1978,16.476574821917808
Electricity,1978,-0.22540252054794524
Industry,1979,3.9218713150684934
Residential,1979,12.964922438356163
Other,1979,0.07500698630136986
Electricity output in GWh,1979,14.0
Production,1979,17.679076383561647
Total Consumption,1979,16.961800739726026
Electricity,1979,-0.19758868493150686
Industry,1980,3.590495068493151
Residential,1980,12.78422287671233
Other,1980,0.07500698630136986
Electricity output in GWh,1980,18.0
Production,1980,17.318922356164386
Total Consumption,1980,16.44972493150685
Electricity,1980,-0.2479347397260274
Industry,1981,3.9492031780821915
Residential,1981,12.71977912328767
Other,1981,0.07500698630136986
Electricity output in GWh,1981,17.0
Production,1981,17.64214523287671
Total Consumption,1981,16.743989287671234
Electricity,1981,-0.23401778082191785
Industry,1982,4.460415452054795
Residential,1982,12.987675561643837
Other,1982,0.04259432876712329
Electricity output in GWh,1982,18.0
Production,1982,18.362453287671233
Total Consumption,1982,17.49066526027397
Electricity,1982,-0.2479347397260274
Industry,1983,3.6024841369863014
Residential,1983,13.4720178630137
Other,1983,0.05936295890410959
Electricity output in GWh,1983,20.0
Production,1983,18.003263205479453
Total Consumption,1983,17.13386495890411
Electricity,1983,-0.26998498630136986
Industry,1984-1987,3.9319375136986308
Residential,1984-1987,15.048284157534246
Other,1984-1987,0.03693617123287671
Electricity output in GWh,1984-1987,0.8986780821917808
Production,1984-1987,19.852100068493147
Total Consumption,1984-1987,19.017147801369862
Electricity,1984-1987,-0.22071834931506848
Industry,1984,4.213444657534247
Residential,1984,14.355011753424657
Other,1984,0.01478049315068493
Electricity output in GWh,1984,49.0
Production,1984,19.359473863013697
Total Consumption,1984,18.58321682191781
