flow,period,value
Imports,1971-1974,10.925329856164382
Oil Products,1971-1974,-10.91521847260274
Imports,1971,9.767576438356164
Oil Products,1971,-9.585571534246576
Imports,1972,10.252922849315068
Oil Products,1972,-10.15180901369863
Imports,1973,12.093194657534244
Oil Products,1973,-11.850521452054796
Imports,1974,11.587625479452054
Oil Products,1974,-12.07297189041096
Imports,1975,13.20544684931507
Oil Products,1975,-13.18522408219178
Imports,1976,14.115471369863013
Oil Products,1976,-13.973912
Imports,1977,14.883936520547945
Oil Products,1977,-14.985050356164384
Imports,1978,12.6594321369863
Oil Products,1978,-12.436981698630136
Imports,1979,9.403566630136986
Oil Products,1979,-9.44401216438356
Imports,1980,11.567402712328768
Oil Products,1980,-11.38539780821918
Imports,1981,12.76054597260274
Oil Products,1981,-12.942550876712328
Imports,1982,11.425843342465754
Oil Products,1982,-11.97185805479452
Imports,1983,10.67760095890411
Oil Products,1983,-10.920274164383562
Imports,1984-1987,9.944525650684932
Oil Products,1984-1987,-9.93946995890411
Imports,1984,8.817106383561644
Oil Products,1984,-8.635101479452056
Imports,1985,9.868690273972602
Oil Products,1985,-10.010249643835618
Imports,1986,10.819160328767124
Oil Products,1986,-10.57648712328767
Imports,1987,10.273145616438356
Oil Products,1987,-10.536041589041096
Imports,1988,10.515818821917808
Oil Products,1988,-10.515818821917808
Imports,1989,11.567402712328768
Oil Products,1989,-11.183170136986302
Imports,1990,12.315645095890408
Oil Products,1990,-12.295422328767122
Imports,1991,12.618986602739724
Oil Products,1991,-12.639209369863014
Imports,1992,13.771684328767124
Oil Products,1992,-13.326783452054794
Imports,1993,13.20544684931507
Oil Products,1993,-12.821214273972604
Imports,1994,12.902105342465754
Oil Products,1994,-13.63012495890411
Imports,1995,11.607848246575344
Oil Products,1995,-12.012303589041096
Imports,1996,12.477427232876712
Oil Products,1996,-12.335867863013698
Imports,1997,14.954906986301369
Oil Products,1997,-15.582114
Imports,1998,17.659717150684934
Oil Products,1998,-17.424514520547945
Imports,1999-2002,17.184426897260273
Oil Products,1999-2002,-17.33632859589041
Imports,1999,16.66012605479452
Oil Products,1999,-16.620925616438356
Imports,2000,16.797327589041096
Oil Products,2000,-16.973729561643836
Imports,2001,19.051332712328765
Oil Products,2001,-18.89453095890411
Imports,2002,16.22892123287671
Oil Products,2002,-16.85612824657534
Imports,2003,17.56171605479452
Oil Products,2003,-16.777727369863015
Imports,2004,16.248521452054796
Oil Products,2004,-17.228512328767124
Imports,2005-2008,15.479212849315068
Oil Products,2005-2008,-15.680115095890411
Imports,2005,15.778116191780823
Oil Products,2005,-16.346522547945206
Imports,2006,16.38572298630137
Oil Products,2006,-16.189720794520547
Imports,2007,16.11131991780822
Oil Products,2007,-16.03291904109589
Imports,2008,13.641692301369865
Oil Products,2008,-14.151297999999999
Imports,2009,16.38572298630137
Oil Products,2009,-16.150520356164385
Imports,2010,15.327311150684931
Oil Products,2010,-15.327311150684931
Imports,2011,16.424923424657536
Oil Products,2011,-15.738915753424656
Imports,2012,10.623278630136987
Oil Products,2012,-10.544877753424657
Imports,2013,13.17128704109589
Oil Products,2013,-14.05329690410959
Imports,2014,13.896495150684931
Oil Products,2014,-13.97489602739726
Imports,2015,15.856517068493151
Oil Products,2015,-14.288499534246574
Imports,2016,12.700881780821918
Oil Products,2016,-13.42608989041096
