flow,period,value
Industry,1971-1974,1.4272363493150684
Transport,1971-1974,5.227625465753425
Residential,1971-1974,0.4588228561643836
Commercial,1971-1974,0.37776610958904105
Other,1971-1974,0.6466164520547945
Electricity output in GWh,1971-1974,7.214527397260275
Imports,1971-1974,0.9487931917808219
Exports,1971-1974,-0.44511173972602736
Total Consumption,1971-1974,8.138067232876713
Electricity,1971-1974,-2.1603769246575344
Production,1971-1974,10.643099753424659
Industry,1971,1.1104046301369863
Transport,1971,4.613281095890411
Residential,1971,0.470586
Commercial,1971,0.36266430136986305
Other,1971,0.5577025479452055
Electricity output in GWh,1971,403.0
Imports,1971,0.795696602739726
Exports,1971,-0.04138939726027397
Total Consumption,1971,7.114618493150684
Electricity,1971,-2.316882465753425
Production,1971,9.504118164383561
Industry,1972,1.148540712328767
Transport,1972,4.868967561643836
Residential,1972,0.49159197260273974
Commercial,1972,0.36266430136986305
Other,1972,0.5848135068493151
Electricity output in GWh,1972,330.0
Imports,1972,0.8379495342465754
Exports,1972,-0.6417866849315068
Total Consumption,1972,7.45657805479452
Electricity,1972,-2.171487397260274
Production,1972,9.837482547945205
Industry,1973,1.5949879178082194
Transport,1973,5.527201561643835
Residential,1973,0.446226301369863
Commercial,1973,0.3607564931506849
Other,1973,0.644136301369863
Electricity output in GWh,1973,303.0
Imports,1973,1.1781820273972603
Exports,1973,-0.6662467945205479
Total Consumption,1973,8.573308575342466
Electricity,1973,-1.8911801643835617
Production,1973,11.541657342465752
Industry,1974,1.8550121369863013
Transport,1974,5.901051643835617
Residential,1974,0.42688715068493155
Commercial,1974,0.4249793424657534
Other,1974,0.7998134520547946
Electricity output in GWh,1974,401.0
Imports,1974,0.9833446027397261
Exports,1974,-0.43102408219178084
Total Consumption,1974,9.407763808219178
Electricity,1974,-2.261957671232876
Production,1974,11.689140958904112
Industry,1975,1.5816533424657535
Transport,1975,6.03357402739726
Residential,1975,0.4495800273972603
Commercial,1975,0.40421435616438356
Other,1975,0.7964195616438356
Electricity output in GWh,1975,459.0
Imports,1975,1.0084272602739728
Exports,1975,-0.4959698904109589
Total Consumption,1975,9.265441315068493
Electricity,1975,-2.5333885753424656
Production,1975,12.82017
Industry,1976,1.8179404109589044
Transport,1976,6.711147178082192
Residential,1976,0.4495800273972603
Commercial,1976,0.4877161095890411
Other,1976,0.857489506849315
Electricity output in GWh,1976,566.0
Imports,1976,1.3341202465753426
Exports,1976,-0.6480523287671234
Total Consumption,1976,10.323853150684933
Electricity,1976,-3.215701123287671
Production,1976,13.493164410958906
Industry,1977,1.9781360547945204
Transport,1977,7.447400493150685
Residential,1977,0.472272904109589
Commercial,1977,0.5500110684931507
Other,1977,0.8993608767123289
Electricity output in GWh,1977,871.0
Imports,1977,3.5765379452054793
Exports,1977,-0.4157616164383562
Total Consumption,1977,11.347201479452055
Electricity,1977,-5.369395698630137
Production,1977,14.462029753424659
Industry,1978,1.705219068493151
Transport,1978,6.875138356164384
Residential,1978,0.472272904109589
Commercial,1978,0.5519389589041096
Other,1978,0.5891713424657534
Electricity output in GWh,1978,797.0
Imports,1978,4.458869123287671
Exports,1978,-0.4154804657534247
Total Consumption,1978,10.193720547945206
Electricity,1978,-4.8887686027397255
Production,1978,11.814996054794522
Industry,1979,1.1292417260273973
Transport,1979,4.956365260273973
Residential,1979,0.3865621095890411
Commercial,1979,0.38194320547945204
Other,1979,0.387807205479452
Electricity output in GWh,1979,458.0
Imports,1979,1.6902578356164384
Exports,1979,-0.3007509041095891
Total Consumption,1979,7.241919506849315
Electricity,1979,-2.5882732054794517
Production,1979,8.920710410958904
Industry,1980,1.5850673150684933
Transport,1980,5.919667835616438
Residential,1980,0.38822893150684934
Commercial,1980,0.4877161095890411
Other,1980,0.564068602739726
Electricity output in GWh,1980,473.0
Imports,1980,1.6671833972602739
Exports,1980,-0.346317397260274
Total Consumption,1980,8.944748794520548
Electricity,1980,-2.647596
Production,1980,10.866092410958904
Industry,1981,1.644410191780822
Transport,1981,5.974773369863014
Residential,1981,0.4319277808219178
Commercial,1981,0.5519389589041096
Other,1981,0.6050362739726027
Electricity output in GWh,1981,518.0
Imports,1981,0.6348181643835616
Exports,1981,-0.20309120547945203
Total Consumption,1981,9.208086575342465
Electricity,1981,-2.898261917808219
Production,1981,12.349343013698633
Industry,1982,1.5850673150684933
Transport,1982,5.677536849315068
Residential,1982,0.47393972602739726
Commercial,1982,0.5538668493150685
Other,1982,0.5457134794520548
Electricity output in GWh,1982,559.0
Imports,1982,1.1576379452054797
Total Consumption,1982,8.836104136986302
Electricity,1982,-3.1311350136986302
Production,1982,11.327581178082193
Industry,1983,1.9385339726027397
Transport,1983,5.8171683287671225
Residential,1983,0.4949657808219178
Commercial,1983,0.5727039452054795
Other,1983,0.6456625479452054
Electricity output in GWh,1983,539.0
Imports,1983,3.167443616438356
Total Consumption,1983,9.469014493150684
Electricity,1983,-3.0124693424657534
Production,1983,10.476377397260274
Industry,1984-1987,2.073436095890411
Transport,1984-1987,5.866590602739726
Residential,1984-1987,0.5062971575342465
Commercial,1984-1987,0.6045593219178083
Other,1984-1987,0.8254734726027397
Electricity output in GWh,1984-1987,10.57327397260274
Imports,1984-1987,3.779644212328767
Exports,1984-1987,-0.01402741095890411
Total Consumption,1984-1987,9.87634660958904
Electricity,1984-1987,-2.9346106849315072
Production,1984-1987,9.52602783561644
Industry,1984,2.010769616438356
Transport,1984,5.608755342465754
Residential,1984,0.41092180821917806
Commercial,1984,0.5519389589041096
Other,1984,0.6886986849315069
