product,flow,value
Coal and coal products,Industry,13.501418191780822
Coal and coal products,Residential,0.10802210958904108
Coal and coal products,Other,0.06739583561643836
Combustible renewables and waste,Industry,7.511864328767124
Combustible renewables and waste,Residential,9.248371452054794
Combustible renewables and waste,Commercial,0.10597372602739727
Oil Products,Industry,13.023582520547945
Oil Products,Transport,68.0826064109589
Oil Products,Residential,7.428985123287671
Oil Products,Commercial,5.54883008219178
Oil Products,Other,48.53325542465753
Electricity,Industry,78.21202378082192
Electricity,Transport,1.1001426301369863
Electricity,Residential,56.32661183561645
Electricity,Commercial,34.206318575342465
Electricity,Other,1.1433193424657535
Heat,Industry,0.3735890136986302
Heat,Residential,0.5097663561643836
Heat,Commercial,0.8344351506849315
Heat,Other,0.09352276712328766
Coal and coal products,Electricity output in GWh,87.0
Hydro,Electricity output in GWh,110134.0
Solar/Wind/Other,Electricity output in GWh,42.0
Combustible renewables and waste,Electricity output in GWh,237.0
Oil Products,Electricity output in GWh,7.0
Coal and coal products,Production,4.447844
"Crude, NGL and feedstocks",Production,1935.8573578356165
Gas,Production,480.03248227397256
Hydro,Production,190.20896142465753
Combustible renewables and waste,Production,19.867292246575342
Coal and coal products,Imports,14.744144383561645
"Crude, NGL and feedstocks",Imports,30.66183180821918
Combustible renewables and waste,Imports,0.0067074520547945205
Coal and coal products,Exports,-3.720989150684932
"Crude, NGL and feedstocks",Exports,-1697.4183017534249
Gas,Exports,-441.2480666027397
Combustible renewables and waste,Exports,-0.0028717534246575343
Coal and coal products,Total Consumption,13.676836136986301
Combustible renewables and waste,Total Consumption,16.866209506849316
Oil Products,Imports,54.11371495890412
Electricity,Imports,5.654422246575343
Oil Products,Exports,-136.79575347945203
Electricity,Exports,-10.447037315068494
Oil Products,Total Consumption,142.61727964383562
Electricity,Total Consumption,170.98841616438355
Electricity,Production,192.1753293150685
Coal and coal products,Electricity,-0.5064929589041095
Hydro,Electricity,-190.20896142465753
Combustible renewables and waste,Electricity,-1.4190076712328767
Oil Products,Electricity,-0.040867260273972604
"Crude, NGL and feedstocks",Oil Products,-258.3857332328767
All products,Heat and Waste,13.015047589041103
All products,Industry,112.62247783561644
All products,Transport,69.1827490410959
All products,Residential,73.62175687671233
All products,Commercial,40.695557534246575
All products,Other,49.83753353424658
All products,Total Consumption,344.14874145205476
All primary,Production,2630.413937780822
All primary,Imports,45.41268364383562
All primary,Exports,-2142.3902292602743
All primary,Total Consumption,30.54304564383562
All primary,Oil Products,-258.3857332328767
All primary,Electricity,-192.1753293150685
Oil Products,Production,258.3816565479452
All products,Hydrocarbon Heat and Waste,0.004076684931476393
All products,Electricity Heat and Waste,13.010970904109627
