flow,period,value
Production,1971-1974,25.04064056849315
Imports,1971-1974,120.32802988356164
Exports,1971-1974,-25.677497075342462
Oil Products,1971-1974,-119.27570797260275
Production,1971,5.739189178082192
Imports,1971,111.84557816438354
Exports,1971,-4.661859917808219
Oil Products,1971,-113.8239351232877
Production,1972,30.885346602739727
Imports,1972,125.17398827397261
Exports,1972,-30.981379643835616
Oil Products,1972,-118.12489797260274
Production,1973,30.11005350684931
Imports,1973,114.70138632876711
Exports,1973,-28.901868684931507
Oil Products,1973,-122.64893380821918
Production,1974,33.42797298630137
Imports,1974,129.59116676712327
Exports,1974,-38.16488005479452
Oil Products,1974,-122.50506498630138
Production,1975,181.26348967123286
Imports,1975,115.62010643835616
Exports,1975,-152.1822267671233
Oil Products,1975,-151.37930057534248
Production,1976,273.45163449315066
Imports,1976,159.68483320547946
Exports,1976,-268.40895597260277
Oil Products,1976,-165.50081668493152
Production,1977,274.1424618904109
Imports,1977,137.63209643835617
Exports,1977,-233.7402047671233
Oil Products,1977,-169.52149238356165
Production,1978,323.19723175342466
Imports,1978,145.19336295890412
Exports,1978,-300.89662049315064
Oil Products,1978,-166.84772928767123
Production,1979,368.0906501643836
Imports,1979,124.68205490410958
Exports,1979,-324.3123757808219
Oil Products,1979,-171.25663391780822
Production,1980,486.5526879726027
Imports,1980,94.3930088219178
Exports,1980,-408.4837899726028
Oil Products,1980,-157.8250615890411
Production,1981,470.7820021917808
Imports,1981,63.20094690410959
Exports,1981,-376.53145643835614
Oil Products,1981,-146.91721830136987
Production,1982,490.54721665753425
Imports,1982,55.78688284931507
Exports,1982,-381.40174942465757
Oil Products,1982,-141.34681994520548
Production,1983,623.1095637808219
Imports,1983,40.0608598630137
Exports,1983,-505.00292052054795
Oil Products,1983,-147.7516534520548
Production,1984-1987,838.5642601780823
Imports,1984-1987,38.60624646575342
Exports,1984-1987,-702.7364131164383
Oil Products,1984-1987,-163.56629915068496
Production,1984,721.1439961095889
Imports,1984,46.18845871232877
Exports,1984,-601.8731078630137
Oil Products,1984,-155.21142457534248
Production,1985,787.54016030137
Imports,1985,27.67454553424658
Exports,1985,-650.5829259178082
Oil Products,1985,-158.45495961643834
Production,1986,826.0943738082191
Imports,1986,30.516778136986304
Exports,1986,-697.8731740000001
Oil Products,1986,-149.96736183561643
Production,1987,1019.4785104931508
Imports,1987,50.045203479452056
Exports,1987,-860.6164446849315
Oil Products,1987,-190.63145057534248
Production,1988,1176.1730651780822
Imports,1988,20.80382526027397
Exports,1988,-1003.4036397534247
Oil Products,1988,-175.23134147945206
Production,1989,1500.9893232328766
Imports,1989,17.133704301369864
Exports,1989,-1304.1133151232877
Oil Products,1989,-200.78344032876717
Production,1990,1671.9553477534246
Imports,1990,29.383098246575344
Exports,1990,-1385.997648821918
Oil Products,1990,-269.1602508493151
Production,1991,1935.8573578356165
Imports,1991,30.66183180821918
Exports,1991,-1697.4183017534249
Oil Products,1991,-258.3857332328767
Production,1992,2200.9918923561645
Imports,1992,20.29903928767123
Exports,1992,-1915.197702630137
Oil Products,1992,-291.71058416438353
Production,1993,2367.0239834246577
Imports,1993,27.532765260273973
Exports,1993,-2074.308928191781
Oil Products,1993,-291.1899131780822
Production,1994,2638.210688082192
Imports,1994,21.602634602739727
Exports,1994,-2349.6841755890414
Oil Products,1994,-301.5467011232877
Production,1995,2896.8073244931506
Imports,1995,29.257223068493154
Exports,1995,-2629.7905865479456
Oil Products,1995,-269.598866
Production,1996,3215.504137068493
Imports,1996,27.030610054794522
Exports,1996,-2910.7634637534247
Oil Products,1996,-298.44536808219175
Production,1997,3225.9707344383555
Imports,1997,32.14008194520548
Exports,1997,-2954.8395972054795
Oil Products,1997,-313.48399772602744
Production,1998,3071.3895894520547
Imports,1998,42.42861052054794
Exports,1998,-2810.0265507945205
Oil Products,1998,-304.9244052876712
Production,1999-2002,3234.9197004931507
Imports,1999-2002,23.383001232876712
Exports,1999-2002,-2941.2184038013697
Oil Products,1999-2002,-298.7110605
Production,1999,3073.4505243835615
Imports,1999,42.88546030136986
Exports,1999,-2805.1955586575345
Oil Products,1999,-315.81039915068493
Production,2000,3352.3673867945204
Imports,2000,18.82074898630137
Exports,2000,-3043.6669069041095
Oil Products,2000,-313.4336717534247
Production,2001,3282.0687105205484
Imports,2001,18.78992282191781
Exports,2001,-3056.182389890411
Oil Products,2001,-290.77328802739726
Production,2002,3231.792180273973
Imports,2002,13.035872821917808
Exports,2002,-2859.8287597534245
Oil Products,2002,-274.82688306849315
Production,2003,3123.2085726027394
Imports,2003,11.116236191780823
Exports,2003,-2693.3928358904113
Oil Products,2003,-305.3124333972603
Production,2004,2929.947178273973
Imports,2004,10.174843287671234
Exports,2004,-2526.102876657534
Oil Products,2004,-293.67480326027396
Production,2005-2008,2496.676516349315
Imports,2005-2008,17.31049285616438
Exports,2005-2008,-2038.0451539246576
Oil Products,2005-2008,-327.8089062739726
Production,2005,2704.135884712329
Imports,2005,21.66703819178082
Exports,2005,-2268.5667607123287
Oil Products,2005,-322.20842479452057
Production,2006,2515.741228821918
Imports,2006,7.787452246575342
Exports,2006,-2028.6907635616437
Oil Products,2006,-342.1174478356165
Production,2007,2434.146279506849
Imports,2007,22.409898547945208
Exports,2007,-2001.4699149041098
Oil Products,2007,-338.4474875342466
Production,2008,2332.6826723561644
Imports,2008,17.377582438356164
Exports,2008,-1853.453176520548
Oil Products,2008,-308.46226493150687
Production,2009,2187.1811883287673
Imports,2009,20.087493479452053
Exports,2009,-1770.1156351780821
Oil Products,2009,-308.2573462465753
Production,2010,1986.5015126849314
Imports,2010,29.942126219178082
Exports,2010,-1572.2692555616438
Oil Products,2010,-289.30092197260274
Production,2011,1925.9713366301369
Imports,2011,25.2382342739726
Exports,2011,-1468.7304752054793
Oil Products,2011,-321.4892011780822
Production,2012,1745.9688881095892
Imports,2012,27.103126849315068
Exports,2012,-1291.922400520548
Oil Products,2012,-309.9992153150685
Production,2013,1647.770424438356
Imports,2013,35.58514178082192
Exports,2013,-1189.4764528767125
Oil Products,2013,-331.70444983561646
Production,2014,1745.7617403013699
Imports,2014,24.919770876712327
Exports,2014,-1307.6657142739725
Oil Products,2014,-298.14574178082194
Other,2015,47.781297835616435
Production,2015,41.25472608219178
Imports,2015,1228.4191965479454
Exports,2015,-12.81848309589041
Total Consumption,2015,47.781297835616435
Oil Products,2015,-1242.912936082192
Production,2016,1833.0853155616437
Imports,2016,9.97902183561644
Exports,2016,-1401.7600004931505
Oil Products,2016,-268.801643150685
