flow,period,value
Electricity output in GWh,1971-1974,70031.5
Production,1971-1974,120.94919717808219
Electricity,1971-1974,-120.94919717808217
Electricity output in GWh,1971,63245.0
Production,1971,109.22844684931506
Electricity,1971,-109.22844684931506
Electricity output in GWh,1972,67417.0
Production,1972,116.43377660273974
Electricity,1972,-116.43377660273974
Electricity output in GWh,1973,72867.0
Production,1973,125.84629989041096
Electricity,1973,-125.84629989041096
Electricity output in GWh,1974,76597.0
Production,1974,132.288265369863
Electricity,1974,-132.288265369863
Electricity output in GWh,1975,77330.0
Production,1975,133.55420657534248
Electricity,1975,-133.55420657534248
Electricity output in GWh,1976,81933.0
Production,1976,141.50390284931507
Electricity,1976,-141.50390284931507
Electricity output in GWh,1977,72022.0
Production,1977,124.38692701369864
Electricity,1977,-124.38692701369862
Electricity output in GWh,1978,80706.0
Production,1978,139.38478980821918
Electricity,1978,-139.38478980821918
Electricity output in GWh,1979,88698.0
Production,1979,153.18752120547944
Electricity,1979,-153.18752120547944
Electricity output in GWh,1980,83613.0
Production,1980,144.4053779178082
Electricity,1980,-144.4053779178082
Electricity output in GWh,1981,92834.0
Production,1981,160.3306764931507
Electricity,1981,-160.3306764931507
Electricity output in GWh,1982,92499.0
Production,1982,159.7521085479452
Electricity,1982,-159.7521085479452
Electricity output in GWh,1983,105688.0
Production,1983,182.5304149041096
Electricity,1983,-182.5304149041096
Electricity output in GWh,1984-1987,101940.0
Production,1984-1987,176.0573621917808
Electricity,1984-1987,-176.0573621917808
Electricity output in GWh,1984,105903.0
Production,1984,182.90173463013696
Electricity,1984,-182.90173463013699
Electricity output in GWh,1985,102383.0
Production,1985,176.82245353424656
Electricity,1985,-176.82245353424656
Electricity output in GWh,1986,96201.0
Production,1986,166.14571610958905
Electricity,1986,-166.14571610958905
Electricity output in GWh,1987,103273.0
Production,1987,178.35954449315068
Electricity,1987,-178.35954449315068
Electricity output in GWh,1988,108857.0
Production,1988,188.0034949589041
Electricity,1988,-188.0034949589041
Electricity output in GWh,1989,118400.0
Production,1989,204.48490958904108
Electricity,1989,-204.4849095890411
Electricity output in GWh,1990,121145.0
Production,1990,209.22571260273972
Electricity,1990,-209.22571260273975
Electricity output in GWh,1991,110134.0
Production,1991,190.20896142465753
Electricity,1991,-190.20896142465753
Electricity output in GWh,1992,116671.0
Production,1992,201.49880816438355
Electricity,1992,-201.49880816438355
Electricity output in GWh,1993,119233.0
Production,1993,205.92355764383564
Electricity,1993,-205.9235576438356
Electricity output in GWh,1994,111643.0
Production,1994,192.81510778082193
Electricity,1994,-192.8151077808219
Electricity output in GWh,1995,121530.0
Production,1995,209.89063397260273
Electricity,1995,-209.89063397260276
Electricity output in GWh,1996,103862.0
Production,1996,179.37678783561643
Electricity,1996,-179.37678783561643
Electricity output in GWh,1997,109775.0
Production,1997,189.58894383561645
Electricity,1997,-189.58894383561645
Electricity output in GWh,1998,115703.0
Production,1998,199.8270058630137
Electricity,1998,-199.82700586301374
Electricity output in GWh,1999-2002,128276.25
Production,1999-2002,221.54186979452055
Electricity,1999-2002,-221.54186979452058
Electricity output in GWh,1999,121452.0
Production,1999,209.755922630137
Electricity,1999,-209.755922630137
Electricity output in GWh,2000,141818.0
Production,2000,244.92939956164383
Electricity,2000,-244.92939956164383
Electricity output in GWh,2001,120463.0
Production,2001,208.04785189041095
Electricity,2001,-208.04785189041098
Electricity output in GWh,2002,129372.0
Production,2002,223.4343050958904
Electricity,2002,-223.43430509589044
Electricity output in GWh,2003,105480.0
Production,2003,182.17118465753427
Electricity,2003,-182.17118465753427
Electricity output in GWh,2004,108781.0
Production,2004,187.87223775342466
Electricity,2004,-187.87223775342468
Electricity output in GWh,2005-2008,131939.25
Production,2005-2008,227.8681216849315
Electricity,2005-2008,-227.86812168493148
Electricity output in GWh,2005,135688.0
Production,2005,234.3424696986301
Electricity,2005,-234.34246969863014
Electricity output in GWh,2006,119369.0
Production,2006,206.15843895890413
Electricity,2006,-206.1584389589041
Electricity output in GWh,2007,133656.0
Production,2007,230.83306652054793
Electricity,2007,-230.83306652054793
Electricity output in GWh,2008,139044.0
Production,2008,240.1385115616438
Electricity,2008,-240.13851156164384
Electricity output in GWh,2009,125283.0
Production,2009,216.37232202739727
Electricity,2009,-216.37232202739725
Electricity output in GWh,2010,117536.0
Production,2010,202.9927224109589
Electricity,2010,-202.99272241095892
Electricity output in GWh,2011,120818.0
Production,2011,208.66096120547942
Electricity,2011,-208.66096120547945
Electricity output in GWh,2012,141892.0
Production,2012,245.057202630137
Electricity,2012,-245.05720263013697
Electricity output in GWh,2013,128477.0
Production,2013,221.88857879452055
Electricity,2013,-221.88857879452053
Electricity output in GWh,2014,135894.0
Production,2014,234.6982458082192
Electricity,2014,-234.69824580821916
Electricity output in GWh,2015,93.0
Production,2015,0.1606173698630137
Electricity,2015,-0.1606173698630137
Electricity output in GWh,2016,143006.0
Production,2016,246.93671504109588
Electricity,2016,-246.93671504109588
