product,flow,value
Coal and coal products,Industry,0.2877225821917808
Combustible renewables and waste,Industry,1.8485908561643836
Combustible renewables and waste,Residential,5.984161794520549
Oil Products,Industry,3.63042348630137
Oil Products,Transport,7.338981760273974
Oil Products,Residential,0.9283093561643835
Oil Products,Commercial,0.4222983698630138
Oil Products,Other,0.19665988356164388
Electricity,Industry,0.4555143150684932
Electricity,Residential,1.0155162739726027
Electricity,Commercial,1.7642004657534245
Electricity,Other,0.21890593150684934
Hydro,Electricity output in GWh,37.900116438356164
Combustible renewables and waste,Electricity output in GWh,1.1898698630136986
Oil Products,Electricity output in GWh,10.558212328767123
Hydro,Production,3.2594100136986297
Combustible renewables and waste,Production,8.80333
Coal and coal products,Imports,0.3619664452054795
"Crude, NGL and feedstocks",Imports,26.790060541095894
Coal and coal products,Total Consumption,0.2877225821917808
Combustible renewables and waste,Total Consumption,7.832752650684931
Oil Products,Imports,3.0632923493150686
Electricity,Imports,0.18350102739726026
Oil Products,Exports,-8.469754753424658
Electricity,Exports,-0.08592165753424658
Oil Products,Total Consumption,12.516672856164382
Electricity,Total Consumption,3.45413698630137
Electricity,Production,7.8672136917808215
Hydro,Electricity,-3.2594100136986297
Combustible renewables and waste,Electricity,-0.6814590547945206
Oil Products,Electricity,-3.9263446232876715
"Crude, NGL and feedstocks",Oil Products,-27.002399595890413
All products,Industry,6.222246219178082
All products,Transport,7.338981760273974
All products,Residential,7.927997465753425
All products,Commercial,2.186493815068493
All products,Other,0.4155658150684932
All products,Total Consumption,24.091285075342462
All primary,Production,12.06274001369863
All primary,Imports,27.152026986301372
All primary,Total Consumption,8.120475232876712
All primary,Oil Products,-27.002399595890413
All primary,Electricity,-7.8672136917808215
Oil Products,Production,25.265485808219182
