product,flow,value
Coal and coal products,Industry,0.185619698630137
Combustible renewables and waste,Industry,1.4741734520547944
Combustible renewables and waste,Residential,6.425859561643835
Oil Products,Industry,2.67057002739726
Oil Products,Transport,8.013939205479453
Oil Products,Residential,1.0806227397260275
Oil Products,Commercial,0.43883605479452054
Oil Products,Other,0.0959326301369863
Electricity,Industry,0.4404024657534247
Electricity,Residential,1.0604200547945206
Electricity,Commercial,1.7443391780821917
Electricity,Other,0.1813421917808219
Hydro,Electricity output in GWh,2181.0
Combustible renewables and waste,Electricity output in GWh,47.0
Oil Products,Electricity output in GWh,352.0
Hydro,Production,3.766736383561644
Combustible renewables and waste,Production,8.53238106849315
Coal and coal products,Imports,0.1980104109589041
"Crude, NGL and feedstocks",Imports,20.283395260273974
Coal and coal products,Total Consumption,0.185619698630137
Combustible renewables and waste,Total Consumption,7.900033013698629
Oil Products,Imports,33.645784438356166
Electricity,Imports,0.2970557808219178
Oil Products,Exports,-6.6354975616438345
Electricity,Exports,-0.1727068493150685
Oil Products,Total Consumption,12.299880575342465
Electricity,Total Consumption,3.4265038904109586
Electricity,Production,6.932011123287671
Hydro,Electricity,-3.766736383561644
Combustible renewables and waste,Electricity,-0.5457335616438357
Oil Products,Electricity,-2.6195411780821916
"Crude, NGL and feedstocks",Oil Products,-19.777826082191783
All products,Heat and Waste,4.846134109589045
All products,Industry,4.7707857260273965
All products,Transport,8.013939205479453
All products,Residential,8.566902356164384
All products,Commercial,2.1831752328767124
All products,Other,0.27727482191780817
All products,Total Consumption,23.81203717808219
All primary,Production,12.299117452054794
All primary,Imports,20.481405671232878
All primary,Total Consumption,8.085652712328766
All primary,Oil Products,-19.777826082191783
All primary,Electricity,-6.932011123287671
Oil Products,Production,18.51491728767123
All products,Hydrocarbon Heat and Waste,1.262908794520552
All products,Electricity Heat and Waste,3.5832253150684927
