flow,period,value
Industry,1971-1974,0.20681645205479451
Residential,1971-1974,0.5336641643835617
Commercial,1971-1974,0.7132792876712329
Other,1971-1974,0.10578294520547946
Imports,1971-1974,0.027633095890410957
Total Consumption,1971-1974,1.5595428493150687
Production,1971-1974,6.8385686849315075
Industry,1971,0.191704602739726
Residential,1971,0.4404024657534247
Commercial,1971,0.5906574246575342
Other,1971,0.11916772602739727
Imports,1971,0.01036241095890411
Total Consumption,1971,1.3419322191780823
Production,1971,6.071790438356164
Industry,1972,0.19861287671232877
Residential,1972,0.5198476164383562
Commercial,1972,0.6839191232876711
Other,1972,0.10016997260273973
Imports,1972,0.03799550684931507
Total Consumption,1972,1.5025495890410956
Production,1972,6.541994876712328
Industry,1973,0.22106476712328765
Residential,1973,0.5820220821917809
Commercial,1973,0.7495477260273973
Other,1973,0.14680082191780822
Imports,1973,0.03281430136986301
Total Consumption,1973,1.6994353972602738
Production,1973,7.325361013698631
Industry,1974,0.21588356164383563
Residential,1974,0.592384493150685
Commercial,1974,0.8289928767123288
Other,1974,0.056993260273972605
Imports,1974,0.029360164383561642
Total Consumption,1974,1.694254191780822
Production,1974,7.4151284109589035
Industry,1975,0.2297001095890411
Residential,1975,0.6234717260273973
Commercial,1975,0.8877132054794521
Other,1975,0.056993260273972605
Imports,1975,0.05181205479452055
Total Consumption,1975,1.7978783013698627
Production,1975,7.711742383561645
Industry,1976,0.22279183561643834
Residential,1976,0.6787379178082192
Commercial,1976,0.9723395616438355
Other,1976,0.10016997260273973
Imports,1976,0.015543616438356165
Total Consumption,1976,1.974039287671233
Production,1976,8.041773123287673
Industry,1977,0.22106476712328765
Residential,1977,0.6960086027397261
Commercial,1977,1.0638741917808219
Other,1977,0.1968858082191781
Imports,1977,0.029360164383561642
Total Consumption,1977,2.1778333698630137
Production,1977,7.814944767123288
Industry,1978,0.24697079452054793
Residential,1978,0.7132792876712329
Commercial,1978,1.1502276164383562
Other,1978,0.0794451506849315
Imports,1978,0.01727068493150685
Total Consumption,1978,2.1899228493150686
Production,1978,6.597180739726028
Industry,1979,0.27978509589041095
Residential,1979,0.7685454794520549
Commercial,1979,1.2452163835616439
Other,1979,0.2642414794520548
Imports,1979,0.01036241095890411
Total Consumption,1979,2.5577884383561647
Production,1979,7.5030683287671245
Industry,1980,0.317780602739726
Residential,1980,0.7892703013698631
Commercial,1980,1.3661111780821917
Other,1980,0.0690827397260274
Imports,1980,0.0034541369863013696
Total Consumption,1980,2.542244821917808
Production,1980,7.163498547945205
Industry,1981,0.32468887671232877
Residential,1981,0.8203575342465753
Commercial,1981,1.4127420273972604
Other,1981,0.126076
Imports,1981,0.013816547945205478
Total Consumption,1981,2.6838644383561645
Production,1981,6.872728493150684
Industry,1982,0.3765009315068493
Residential,1982,0.8618071780821918
Commercial,1982,1.5163661369863013
Other,1982,0.1381654794520548
Imports,1982,0.005181205479452055
Total Consumption,1982,2.8928397260273973
Production,1982,8.93428597260274
Industry,1983,0.378228
Residential,1983,0.9118921643835617
Commercial,1983,1.6268985205479451
Other,1983,0.27978509589041095
Imports,1983,0.03799550684931507
Total Consumption,1983,3.196803780821918
Production,1983,11.172968383561646
Industry,1984-1987,0.4555143150684932
Residential,1984-1987,1.0155162739726027
Commercial,1984-1987,1.7642004657534245
Other,1984-1987,0.21890593150684934
Imports,1984-1987,0.18350102739726026
Exports,1984-1987,-0.08592165753424658
Total Consumption,1984-1987,3.45413698630137
Production,1984-1987,7.8672136917808215
Industry,1984,0.39549868493150686
Residential,1984,0.9015297534246577
Commercial,1984,1.6199902465753426
Other,1984,0.22106476712328765
Imports,1984,0.10535117808219178
Total Consumption,1984,3.138083452054795
Production,1984,8.41040183561644
Industry,1985,0.4352212602739726
Residential,1985,0.9671583561643835
Commercial,1985,1.7236143561643835
Other,1985,0.23315424657534245
Imports,1985,0.05181205479452055
Total Consumption,1985,3.3591482191780826
Production,1985,7.303069780821919
Industry,1986,0.46285435616438353
Residential,1986,1.0483305753424657
Commercial,1986,1.8134219178082192
Other,1986,0.20897528767123288
Imports,1986,0.17788805479452055
Exports,1986,-0.1502549589041096
Total Consumption,1986,3.5335821369863014
Production,1986,7.44531194520548
Industry,1987,0.5284829589041096
Residential,1987,1.145046410958904
Commercial,1987,1.8997753424657535
Other,1987,0.21242942465753423
Imports,1987,0.39895282191780823
Exports,1987,-0.19343167123287672
Total Consumption,1987,3.7857341369863016
Production,1987,8.310071205479453
Industry,1988,0.42658591780821925
Residential,1988,1.1312298630136985
Commercial,1988,1.7477933150684932
Other,1988,0.25906027397260273
Imports,1988,0.31259939726027397
Exports,1988,-0.27978509589041095
Total Consumption,1988,3.5646693698630134
Production,1988,6.961190547945206
Industry,1989,0.4404024657534247
Residential,1989,1.0604200547945206
Commercial,1989,1.7443391780821917
Other,1989,0.1813421917808219
Imports,1989,0.2970557808219178
Exports,1989,-0.1727068493150685
Total Consumption,1989,3.4265038904109586
Production,1989,6.932011123287671
Industry,1990,0.47839797260273975
Residential,1990,1.1001426301369863
Commercial,1990,1.7823346849315067
Other,1990,0.1847963287671233
Imports,1990,0.20552115068493151
Exports,1990,-0.050084986301369865
Total Consumption,1990,3.545671616438356
Production,1990,7.342631698630138
Industry,1991,0.5543889863013699
Residential,1991,1.162317095890411
Commercial,1991,1.896321205479452
Other,1991,0.16234443835616438
Imports,1991,0.350594904109589
Exports,1991,-0.11571358904109588
Total Consumption,1991,3.7753717260273976
Production,1991,8.655585315068492
Industry,1992,0.6321070684931507
Residential,1992,1.2365810410958904
Commercial,1992,2.0154889315068494
Other,1992,0.10707824657534246
Imports,1992,0.3644114520547946
Exports,1992,-0.11744065753424657
Total Consumption,1992,3.991255287671233
Production,1992,10.662920876712327
Industry,1993,0.7080980821917808
Residential,1993,1.2953013698630138
Commercial,1993,2.2054664657534246
Other,1993,0.08462635616438358
Imports,1993,0.3315971506849315
Exports,1993,-0.1830692602739726
Total Consumption,1993,4.2934922739726025
Production,1993,10.404342575342467
Industry,1994,0.7426394520547945
Residential,1994,1.3626570410958905
Commercial,1994,2.372992109589041
Other,1994,0.1381654794520548
Imports,1994,0.2832392328767123
Exports,1994,-0.13989254794520548
Total Consumption,1994,4.6164540821917806
Production,1994,10.899388684931509
Industry,1995,0.7927244383561642
Residential,1995,1.4645540821917808
Commercial,1995,2.6182358356164386
Other,1995,0.0794451506849315
Imports,1995,0.38168213698630143
Exports,1995,-0.13471134246575342
Total Consumption,1995,4.954959506849315
Production,1995,11.47926197260274
Industry,1996,0.8065409863013698
Residential,1996,1.4904601095890413
Commercial,1996,2.751220109589041
Other,1996,0.10535117808219178
Imports,1996,0.2746038904109589
Exports,1996,-0.23833545205479453
Total Consumption,1996,5.153572383561644
Production,1996,10.879888876712329
Industry,1997,0.8151763287671232
Residential,1997,1.6182631780821919
Commercial,1997,3.027551068493151
Other,1997,0.24351665753424656
Imports,1997,0.4732167671232877
Exports,1997,-0.03972257534246575
Total Consumption,1997,5.704507232876712
Production,1997,12.514519041095891
Industry,1998,0.8428094246575343
Residential,1998,1.7357038356164385
Commercial,1998,3.2520699726027393
Other,1998,0.029360164383561642
Imports,1998,0.3005099178082192
Exports,1998,-0.03972257534246575
Total Consumption,1998,5.859943397260274
Production,1998,15.95086320547945
Industry,1999-2002,0.7892703013698631
Residential,1999-2002,1.97835695890411
Commercial,1999-2002,3.8172531369863014
Other,1999-2002,0.0224518904109589
Imports,1999-2002,0.1113959178082192
Exports,1999-2002,-0.1256442328767123
Total Consumption,1999-2002,6.607332287671233
Production,1999-2002,14.572828226027397
Industry,1999,0.904983890410959
Residential,1999,1.7996053698630137
Commercial,1999,3.457591123287671
Other,1999,0.015543616438356165
Imports,1999,0.07771808219178082
Exports,1999,-0.1830692602739726
Total Consumption,1999,6.1777239999999995
Production,1999,12.181757123287673
Industry,2000,0.8738966575342466
Residential,2000,1.9308625753424655
Commercial,2000,3.7425574246575337
Other,2000,0.01727068493150685
Imports,2000,0.23315424657534245
Exports,2000,-0.03108723287671233
Total Consumption,2000,6.564587342465753
