product,flow,value
Combustible renewables and waste,Industry,22.075208739726033
Combustible renewables and waste,Transport,0.14252833561643835
Combustible renewables and waste,Residential,21.14318919863014
Combustible renewables and waste,Commercial,0.07277786301369862
Oil Products,Industry,1.5646236438356165
Oil Products,Transport,20.411052732876712
Oil Products,Residential,1.585579410958904
Oil Products,Other,0.1259103219178082
Electricity,Industry,1.5405450958904108
Electricity,Transport,0.0004317671232876712
Electricity,Residential,4.899261547945206
Electricity,Commercial,1.1782924794520548
Hydro,Electricity output in GWh,49735.0
Combustible renewables and waste,Electricity output in GWh,9.0
Oil Products,Electricity output in GWh,3.75
Hydro,Production,85.89575150684932
Combustible renewables and waste,Production,44.78601382876711
"Crude, NGL and feedstocks",Imports,2.0627222465753423
Combustible renewables and waste,Total Consumption,43.433699116438355
Oil Products,Imports,22.08174549315068
Oil Products,Exports,-0.04834787671232876
Electricity,Exports,-75.26046372602741
Oil Products,Total Consumption,23.687151047945207
Electricity,Total Consumption,7.618530890410959
Electricity,Production,86.15125723287672
Hydro,Electricity,-85.89575150684932
Combustible renewables and waste,Electricity,-0.21951843835616439
Oil Products,Electricity,-0.035987287671232875
"Crude, NGL and feedstocks",Oil Products,-2.0930563972602743
All products,Heat and Waste,2.8134849452054733
All products,Industry,25.180377479452055
All products,Transport,20.554017856164382
All products,Residential,27.628015095890408
All products,Commercial,1.2510703424657534
All products,Other,0.12589023972602742
All products,Total Consumption,74.73938105479452
All primary,Production,130.68176533561643
All primary,Imports,2.0627222465753423
All primary,Total Consumption,43.433699116438355
All primary,Oil Products,-2.0930563972602743
All primary,Electricity,-86.15125723287672
Oil Products,Production,2.0648007534246573
All products,Hydrocarbon Heat and Waste,0.02825564383561696
All products,Electricity Heat and Waste,2.7852293013698564
