product,flow,value
Combustible renewables and waste,Industry,21.898023561643836
Combustible renewables and waste,Transport,0.15575747945205481
Combustible renewables and waste,Residential,22.19574205479452
Combustible renewables and waste,Commercial,0.07386230136986302
Oil Products,Industry,1.4760611780821917
Oil Products,Transport,19.618273068493153
Oil Products,Residential,1.4044079178082194
Oil Products,Other,0.11655704109589042
Electricity,Industry,1.5889030136986302
Electricity,Residential,5.020588109589041
Electricity,Commercial,1.167498301369863
Hydro,Electricity output in GWh,45317.0
Hydro,Production,78.2655629041096
Combustible renewables and waste,Production,45.38141567123288
"Crude, NGL and feedstocks",Imports,2.0020539452054793
Combustible renewables and waste,Total Consumption,44.323385397260274
Oil Products,Imports,21.188519726027398
Electricity,Exports,-67.59227961643836
Oil Products,Total Consumption,22.615279123287674
Electricity,Total Consumption,7.7769894246575335
Electricity,Production,78.2655629041096
Hydro,Electricity,-78.2655629041096
"Crude, NGL and feedstocks",Oil Products,-2.0222767123287673
All products,Heat and Waste,2.5384091232876713
All products,Industry,24.962987753424656
All products,Transport,19.774030547945205
All products,Residential,28.620718
All products,Commercial,1.2413606027397261
All products,Other,0.11653695890410959
All products,Total Consumption,74.71565394520547
All primary,Production,123.64697857534247
All primary,Imports,2.0020539452054793
All primary,Total Consumption,44.323385397260274
All primary,Oil Products,-2.0222767123287673
All primary,Electricity,-78.2655629041096
Oil Products,Production,1.9967522465753424
All products,Hydrocarbon Heat and Waste,0.02552446575342482
All products,Electricity Heat and Waste,2.5128846575342463
