flow,period,value
Heat and Waste,1971-1974,1.1438465000000004
Industry,1971-1974,7.4625826301369855
Transport,1971-1974,3.2042141095890413
Residential,1971-1974,16.44480479452055
Commercial,1971-1974,0.10220831506849315
Other,1971-1974,0.15972371232876711
Total Consumption,1971-1974,27.37354862328767
Hydrocarbon Heat and Waste,1971-1974,0.07907363013698676
Electricity Heat and Waste,1971-1974,1.0647728698630137
Heat and Waste,1971,1.0534916986301366
Industry,1971,6.75508701369863
Transport,1971,2.8898474794520554
Residential,1971,15.960723561643835
Commercial,1971,0.08996821917808219
Other,1971,0.1755585205479452
Total Consumption,1971,25.871204876712326
Hydrocarbon Heat and Waste,1971,0.05886090410958911
Electricity Heat and Waste,1971,0.9946307945205475
Heat and Waste,1972,1.043229698630137
Industry,1972,6.946771534246575
Transport,1972,3.0503845205479454
Residential,1972,16.28671778082192
Commercial,1972,0.10053145205479452
Other,1972,0.17411260273972604
Total Consumption,1972,26.558517890410958
Hydrocarbon Heat and Waste,1972,0.03506350684931503
Electricity Heat and Waste,1972,1.008166191780822
Heat and Waste,1973,1.2871279178082191
Industry,1973,8.163029397260274
Transport,1973,3.5389641643835614
Residential,1973,16.587408438356164
Commercial,1973,0.10916679452054795
Other,1973,0.2143974794520548
Total Consumption,1973,28.612986356164384
Hydrocarbon Heat and Waste,1973,0.23468049315068518
Electricity Heat and Waste,1973,1.052447424657534
Heat and Waste,1974,1.1915366849315072
Industry,1974,7.985442575342465
Transport,1974,3.3376602739726025
Residential,1974,16.94436939726027
Commercial,1974,0.10916679452054795
Other,1974,0.07482624657534247
Total Consumption,1974,28.451485369863015
Hydrocarbon Heat and Waste,1974,-0.0123103835616436
Electricity Heat and Waste,1974,1.2038470684931508
Heat and Waste,1975,1.0742767671232887
Industry,1975,6.964845506849316
Transport,1975,3.4173464109589045
Residential,1975,17.313399753424658
Commercial,1975,0.11089386301369863
Other,1975,0.07482624657534247
Total Consumption,1975,27.881331863013695
Hydrocarbon Heat and Waste,1975,0.15913128767123386
Electricity Heat and Waste,1975,0.9151454794520548
Heat and Waste,1976,1.00663994520548
Industry,1976,8.047255561643837
