product,flow,value
Coal and coal products,Industry,11.712812842465754
Coal and coal products,Other,0.07380205479452055
Gas,Industry,7.324221349315069
Combustible renewables and waste,Industry,0.04100281506849315
Gas,Transport,0.9175101575342465
Gas,Residential,0.033873636986301366
Solar/Wind/Other,Residential,0.5974150821917809
Combustible renewables and waste,Residential,39.44188152739726
Gas,Commercial,0.19992323972602738
Solar/Wind/Other,Commercial,0.03237249315068493
Combustible renewables and waste,Commercial,0.10340320547945207
Gas,Other,0.31439675342465756
Solar/Wind/Other,Other,0.000240986301369863
Combustible renewables and waste,Other,1.745488883561644
Oil Products,Industry,31.08335701369863
Oil Products,Transport,72.45685419863014
Oil Products,Residential,13.055191890410958
Oil Products,Commercial,3.4602118493150686
Oil Products,Other,8.953163232876712
Electricity,Industry,24.29899016438356
Electricity,Residential,12.187922356164384
Electricity,Commercial,6.534795410958905
Electricity,Other,1.5608381506849318
Coal and coal products,Electricity output in GWh,835.5
Gas,Electricity output in GWh,6927.75
Hydro,Electricity output in GWh,19119.75
Solar/Wind/Other,Electricity output in GWh,1.0
Combustible renewables and waste,Electricity output in GWh,420.75
Oil Products,Electricity output in GWh,1499.75
Coal and coal products,Production,1.4198260205479454
"Crude, NGL and feedstocks",Production,111.96616670547948
Gas,Production,46.82958268493151
Hydro,Production,33.02111782191781
Solar/Wind/Other,Production,0.6319966164383561
Combustible renewables and waste,Production,45.550904349315076
Coal and coal products,Imports,15.280946390410957
"Crude, NGL and feedstocks",Imports,102.59496754794522
"Crude, NGL and feedstocks",Exports,-20.84212702054794
Coal and coal products,Total Consumption,11.786614897260275
Gas,Total Consumption,8.789920116438356
Solar/Wind/Other,Total Consumption,0.6300285616438357
Combustible renewables and waste,Total Consumption,41.33178145205479
Oil Products,Imports,26.577621075342467
Oil Products,Exports,-53.53997678082192
Oil Products,Total Consumption,129.00876312328768
Electricity,Total Consumption,44.58254608219178
Electricity,Production,80.61740846575343
Coal and coal products,Electricity,-4.807736958904109
Gas,Electricity,-29.296664493150686
Hydro,Electricity,-33.02111782191781
Solar/Wind/Other,Electricity,-0.0017270684931506848
Combustible renewables and waste,Electricity,-2.7138471506849315
Oil Products,Electricity,-10.77631497260274
"Crude, NGL and feedstocks",Oil Products,-171.01200771917806
All products,Heat and Waste,38.40979744520544
All products,Industry,74.46038920547946
All products,Transport,73.37436435616439
All products,Residential,65.31627947260273
All products,Commercial,10.3306911369863
All products,Other,12.647925041095888
All products,Total Consumption,236.1296542328767
All primary,Production,239.4195941986302
All primary,Imports,117.87591393835618
All primary,Exports,-20.84212702054794
All primary,Total Consumption,62.538345027397256
All primary,Oil Products,-171.01200771917806
All primary,Electricity,-80.61740846575343
Oil Products,Production,167.84521175342468
All products,Hydrocarbon Heat and Waste,3.16679596575338
All products,Electricity Heat and Waste,35.24300147945206
