product,flow,value
Coal and coal products,Industry,11.498701534246576
Coal and coal products,Other,0.04217260273972603
Gas,Industry,15.138056575342464
Combustible renewables and waste,Industry,0.5085212602739726
Gas,Transport,11.209939698630137
Combustible renewables and waste,Transport,6.028874794520548
Gas,Residential,0.35949131506849313
Solar/Wind/Other,Residential,0.03835698630136986
Combustible renewables and waste,Residential,42.54932457534247
Gas,Commercial,1.8389062191780823
Solar/Wind/Other,Commercial,0.09784043835616438
Combustible renewables and waste,Commercial,0.3147682739726027
Gas,Other,0.10358394520547945
Solar/Wind/Other,Other,0.000963945205479452
Combustible renewables and waste,Other,4.371431260273973
Oil Products,Industry,24.70083482191781
Oil Products,Transport,109.99383942465752
Oil Products,Residential,14.293238931506847
Oil Products,Commercial,3.9371940273972603
Oil Products,Other,17.282975232876712
Electricity,Industry,32.86093221917808
Electricity,Transport,0.005181205479452055
Electricity,Residential,14.951231945205478
Electricity,Commercial,12.521246575342467
Electricity,Other,1.7823346849315067
Coal and coal products,Electricity output in GWh,794.0
Gas,Electricity output in GWh,15652.0
Hydro,Electricity output in GWh,21354.0
Solar/Wind/Other,Electricity output in GWh,21.0
Combustible renewables and waste,Electricity output in GWh,668.0
Oil Products,Electricity output in GWh,1420.0
Coal and coal products,Production,2.9661798904109586
"Crude, NGL and feedstocks",Production,134.1769151780822
Gas,Production,240.762646
Hydro,Production,36.87982060273973
Solar/Wind/Other,Production,0.24199041095890414
Combustible renewables and waste,Production,53.84180208219178
Coal and coal products,Imports,9.15105315068493
"Crude, NGL and feedstocks",Imports,92.01342975342465
Combustible renewables and waste,Imports,6.571294794520549
Coal and coal products,Exports,-2.3263813424657536
"Crude, NGL and feedstocks",Exports,-15.828944219178082
Gas,Exports,-103.72867756164383
Combustible renewables and waste,Exports,-0.3085227123287671
Coal and coal products,Total Consumption,11.540874136986302
Gas,Total Consumption,28.649957671232876
Solar/Wind/Other,Total Consumption,0.13716136986301372
Combustible renewables and waste,Total Consumption,53.772940246575345
Oil Products,Imports,55.34089753424657
Electricity,Imports,0.008635342465753424
Oil Products,Exports,-83.95591219178081
Electricity,Exports,-0.0034541369863013696
Oil Products,Total Consumption,170.20808243835617
Electricity,Total Consumption,62.120926630136985
Electricity,Production,133.62943446575343
Coal and coal products,Electricity,-4.821794493150685
Gas,Electricity,-78.87479635616438
Hydro,Electricity,-36.87982060273973
Solar/Wind/Other,Electricity,-0.1048290410958904
Combustible renewables and waste,Electricity,-4.656397561643836
Oil Products,Electricity,-8.291796410958904
"Crude, NGL and feedstocks",Oil Products,-223.47874698630136
All products,Heat and Waste,75.22158460273977
All products,Industry,84.70704641095891
All products,Transport,127.23783512328768
All products,Residential,72.19164375342466
All products,Commercial,18.709955534246575
All products,Other,23.583481753424657
All products,Total Consumption,326.4299424931507
All primary,Production,468.86935416438365
All primary,Imports,107.73577769863013
All primary,Exports,-122.19252583561644
All primary,Total Consumption,94.10093342465754
All primary,Oil Products,-223.47874698630136
All primary,Electricity,-133.62943446575343
Oil Products,Production,218.7985118630137
All products,Hydrocarbon Heat and Waste,4.680235123287673
All products,Electricity Heat and Waste,70.5413494794521
