flow,period,value
Production,1971-1974,155.87289180821915
Imports,1971-1974,35.941098630136985
Exports,1971-1974,-1.6044215273972606
Total Consumption,1971-1974,67.2881900479452
Oil Products,1971-1974,-99.33582864383561
Electricity,1971-1974,-19.785597890410955
Production,1971,147.6893384109589
Imports,1971,34.18256134246575
Exports,1971,-3.096071506849315
Total Consumption,1971,66.2372337260274
Oil Products,1971,-90.6063308219178
Electricity,1971,-17.871363369863015
Production,1972,151.0903379178082
Imports,1972,35.15532263013698
Exports,1972,-2.9730480000000004
Total Consumption,1972,66.57756663013699
Oil Products,1972,-93.96895326027398
Electricity,1972,-19.103847643835614
Production,1973,158.10179419178084
Imports,1973,38.50529328767123
Exports,1973,-0.348566602739726
Total Consumption,1973,67.84605827397262
Oil Products,1973,-102.23199197260273
Electricity,1973,-20.539563698630136
Production,1974,166.61009671232875
Imports,1974,35.92121726027398
Total Consumption,1974,68.49190156164384
Oil Products,1974,-110.53603852054795
Electricity,1974,-21.62761684931507
Production,1975,161.6472248219178
Imports,1975,51.12628810958904
Exports,1975,-4.1007634794520555
Total Consumption,1975,67.39011219178082
Oil Products,1975,-115.25189945205479
Electricity,1975,-22.01341583561644
Production,1976,167.86551484931505
Imports,1976,47.88062435616439
Exports,1976,-5.515533808219179
Total Consumption,1976,67.69799227397262
Oil Products,1976,-116.07205616438357
Electricity,1976,-23.9128698630137
Production,1977,185.39108295890412
Imports,1977,43.33024068493151
Exports,1977,-1.9888599452054796
Total Consumption,1977,68.63508758904109
Oil Products,1977,-121.28003120547945
Electricity,1977,-26.371171123287674
Production,1978,246.8535546849315
Imports,1978,3.8198537808219184
Exports,1978,-29.60749665753425
Total Consumption,1978,68.72244512328766
Oil Products,1978,-124.51963013698631
Electricity,1978,-27.11539706849315
Production,1979,285.06199301369867
Imports,1979,2.501337397260274
Exports,1979,-53.084362054794525
Total Consumption,1979,68.44627482191781
Oil Products,1979,-142.68600090410956
Electricity,1979,-27.721919424657536
Production,1980,290.59477742465754
Imports,1980,2.5095510136986303
Exports,1980,-47.81487526027397
Total Consumption,1980,68.11062106849315
Oil Products,1980,-148.79612824657534
Electricity,1980,-30.84520230136986
Production,1981,292.56968024657533
Imports,1981,2.1907663013698633
Exports,1981,-42.56591246575342
Total Consumption,1981,69.24926126027397
Oil Products,1981,-156.5260650958904
Electricity,1981,-30.770958438356164
Production,1982,300.1565515616438
Imports,1982,2.0021744383561644
Exports,1982,-42.58641638356165
Total Consumption,1982,71.26726046575342
Oil Products,1982,-159.1710704931507
Electricity,1982,-32.60922202739726
Production,1983,272.76185136986294
Imports,1983,1.1877009863013699
Exports,1983,-23.189810547945203
Total Consumption,1983,71.33357186301369
Oil Products,1983,-155.3778657808219
Electricity,1983,-29.824324082191783
Production,1984-1987,281.7778367191781
Imports,1984-1987,3.0978136369863014
Exports,1984-1987,-15.777252657534246
Total Consumption,1984-1987,69.74001982191781
Oil Products,1984-1987,-176.13796708904107
Electricity,1984-1987,-34.018720780821916
Production,1984,293.64966035616436
Imports,1984,0.6888191780821917
