flow,period,value
Industry,1971-1974,7.04286482191781
Residential,1971-1974,51.09116435616439
Other,1971-1974,6.706683910958904
Electricity output in GWh,1971-1974,237.5
Production,1971-1974,70.20211105479451
Total Consumption,1971-1974,64.84070806849316
Electricity,1971-1974,-1.5751165890410959
Industry,1971,6.922492164383562
Residential,1971,50.42435526027398
Other,1971,6.420859095890411
Electricity output in GWh,1971,227.0
Production,1971,69.22391753424658
Total Consumption,1971,63.76770652054794
Electricity,1971,-1.5048590410958904
Industry,1972,6.9824375068493145
Residential,1972,50.78770235616439
Other,1972,6.64146197260274
Electricity output in GWh,1972,227.0
Production,1972,69.76583547945205
Total Consumption,1972,64.41160183561644
Electricity,1972,-1.5048590410958904
Industry,1973,7.083149698630138
Residential,1973,51.31122501369863
Other,1973,6.802119506849315
Electricity output in GWh,1973,230.0
Production,1973,70.44824843835617
Total Consumption,1973,65.19649421917809
Electricity,1973,-1.5250014794520548
Industry,1974,7.183379917808219
Residential,1974,51.84137479452055
Other,1974,6.962295068493151
Electricity output in GWh,1974,266.0
Production,1974,71.37044276712328
Total Consumption,1974,65.98702969863014
Electricity,1974,-1.7657467945205478
Industry,1975,7.28359005479452
Residential,1975,52.405182328767125
Other,1975,4.494454767123288
Electricity output in GWh,1975,266.0
Production,1975,69.42437797260274
Total Consumption,1975,64.18324723287671
Electricity,1975,-1.7657467945205478
Industry,1976,7.383820273972603
Residential,1976,52.94934947945205
Other,1976,4.374082109589041
Electricity output in GWh,1976,245.0
Production,1976,69.6852657260274
Total Consumption,1976,64.70725186301371
Electricity,1976,-1.625231698630137
Industry,1977,7.484050493150685
Residential,1977,53.63772684931507
Other,1977,4.3539597534246575
Electricity output in GWh,1977,242.0
Production,1977,70.44776646575343
Total Consumption,1977,65.47573709589041
Electricity,1977,-1.6050892602739726
Industry,1978,7.584762684931507
Residential,1978,54.279372958904105
Other,1978,3.832184246575342
Electricity output in GWh,1978,215.0
Production,1978,70.52833621917809
Total Consumption,1978,65.69631989041095
Electricity,1978,-1.4247712602739726
Industry,1979,7.684992904109589
Residential,1979,54.974377452054796
Other,1979,2.9095079452054793
Electricity output in GWh,1979,163.0
Production,1979,70.0459017260274
Total Consumption,1979,65.56887830136986
Electricity,1979,-1.0833338356164384
Industry,1980,7.785223123287671
Residential,1980,55.66984383561643
Other,1980,1.5048590410958904
Electricity output in GWh,1980,85.0
Production,1980,68.96879336986301
Total Consumption,1980,64.959926
Electricity,1980,-0.562040301369863
Industry,1981,7.905595780821917
Residential,1981,56.345167780821924
Other,1981,1.3643640273972601
Electricity output in GWh,1981,76.0
Production,1981,69.58503550684932
Total Consumption,1981,65.6151275890411
Electricity,1981,-0.5016129863013699
Industry,1982,8.005826
Residential,1982,57.060294630136994
Other,1982,2.688905068493151
Electricity output in GWh,1982,151.0
Production,1982,72.23365569863013
Total Consumption,1982,67.75502569863013
Electricity,1982,-1.0032460547945206
Industry,1983,8.106056219178083
Residential,1983,57.76335208219179
Other,1983,2.608817287671233
Electricity output in GWh,1983,145.0
Production,1983,72.95635353424657
Total Consumption,1983,68.4782055068493
Electricity,1983,-0.9629611780821918
Industry,1984-1987,7.2880382602739715
Residential,1984-1987,55.48048884931507
Other,1984-1987,2.693704712328767
Electricity output in GWh,1984-1987,150.25
Production,1984-1987,68.02034157534247
Total Consumption,1984-1987,65.46222680136987
Electricity,1984-1987,-0.9982104452054796
Industry,1984,8.226428876712328
Residential,1984,58.491532356164385
Other,1984,2.5483899726027395
Electricity output in GWh,1984,142.0
Production,1984,73.73853482191781
Total Consumption,1984,69.26635120547945
Electricity,1984,-0.9428187397260275
Industry,1985,8.346781452054794
Residential,1985,57.43205616438356
Other,1985,3.029880602739726
Electricity output in GWh,1985,169.0
Production,1985,70.72783271232878
Total Consumption,1985,68.80871821917809
Electricity,1985,-1.123618712328767
