flow,period,value
Production,1971-1974,70.90217123972602
Imports,1971-1974,33.630401479452054
Exports,1971-1974,-1.6044215273972606
Oil Products,1971-1974,-99.33582864383561
Production,1971,64.27944093150685
Imports,1971,32.55859482191781
Exports,1971,-3.096071506849315
Oil Products,1971,-90.6063308219178
Production,1972,67.06795367123287
Imports,1972,33.10460953424657
Exports,1972,-2.9730480000000004
Oil Products,1972,-93.96895326027398
Production,1973,72.85003841095892
Imports,1973,35.774014794520546
Exports,1973,-0.348566602739726
Oil Products,1973,-102.23199197260273
Production,1974,79.41125194520548
Imports,1974,33.08438676712329
Oil Products,1974,-110.53603852054795
Production,1975,74.22378082191781
Imports,1975,47.46275410958904
Exports,1975,-4.1007634794520555
Oil Products,1975,-115.25189945205479
Production,1976,78.77563049315069
Imports,1976,45.54159123287672
Exports,1976,-5.515533808219179
Oil Products,1976,-116.07205616438357
Production,1977,95.79380194520549
Imports,1977,40.58701328767123
Exports,1977,-1.9888599452054796
Oil Products,1977,-121.28003120547945
Production,1978,156.5260650958904
Imports,1978,1.172920493150685
Exports,1978,-29.60749665753425
Oil Products,1978,-124.51963013698631
Production,1979,194.97071016438358
Exports,1979,-53.084362054794525
Oil Products,1979,-142.68600090410956
Production,1980,199.93263819178085
Exports,1980,-47.81487526027397
Oil Products,1980,-148.79612824657534
Production,1981,197.32866071232874
Exports,1981,-42.56591246575342
Oil Products,1981,-156.5260650958904
Production,1982,201.0808575890411
Exports,1982,-42.58641638356165
Oil Products,1982,-159.1710704931507
Production,1983,176.25073361643834
Exports,1983,-23.189810547945203
Oil Products,1983,-155.3778657808219
Production,1984-1987,184.94435460273974
Imports,1984-1987,1.405477294520548
Exports,1984-1987,-15.73667156849315
Oil Products,1984-1987,-176.13796708904107
Production,1984,193.2484011506849
Exports,1984,-20.503817397260274
Oil Products,1984,-177.07089032876712
Production,1985,195.3397806849315
Exports,1985,-25.875803698630136
Oil Products,1985,-177.39895301369864
Production,1986,184.10369397260274
Exports,1986,-13.429985835616437
Oil Products,1986,-175.10251421917806
Production,1987,167.0855426027397
Imports,1987,5.621909178082192
Exports,1987,-3.1370793424657535
Oil Products,1987,-174.97951079452054
Production,1988,145.06443528767124
Imports,1988,24.32794868493151
Exports,1988,-5.125959369863014
Oil Products,1988,-167.70064005479452
Production,1989,133.04921978082194
Imports,1989,19.049806465753424
Exports,1989,-1.00469197260274
Oil Products,1989,-152.83537997260274
Production,1990,131.47041810958905
Imports,1990,17.816217671232874
Exports,1990,-3.0140558356164386
Oil Products,1990,-149.65729279452054
Production,1991,117.2817873150685
Imports,1991,34.317975561643834
Exports,1991,-1.0456998082191782
Oil Products,1991,-152.93789956164383
Production,1992,117.99942443835616
Imports,1992,29.34317484931507
Exports,1992,-0.8611645479452055
Oil Products,1992,-155.8904637260274
Production,1993,128.1282995890411
Imports,1993,23.519038000000002
Oil Products,1993,-157.03866304109587
Production,1994,129.33803073972604
Imports,1994,21.880993863013696
Oil Products,1994,-154.88577175342465
Production,1995,123.78148909589041
Imports,1995,48.39300139726027
Exports,1995,-28.397765506849314
Oil Products,1995,-149.92384372602737
Production,1996,122.14119575342465
Imports,1996,56.84609797260274
Exports,1996,-37.72700794520548
Oil Products,1996,-150.6824886849315
Production,1997,120.11130789041096
Imports,1997,80.81003684931507
Exports,1997,-46.07206232876713
Oil Products,1997,-166.73697599999997
Production,1998,118.86056890410958
Imports,1998,95.71417605479452
Exports,1998,-43.42705693150685
