flow,period,value
Industry,1971-1974,6.419513589041096
Residential,1971-1974,3.0810901917808224
Other,1971-1974,0.6726931780821918
Total Consumption,1971-1974,10.173296958904109
Production,1971-1974,19.785597890410955
Industry,1971,5.942842684931507
Residential,1971,2.588875671232876
Other,1971,0.7633642739726029
Total Consumption,1971,9.295082630136987
Production,1971,17.871363369863015
Industry,1972,6.283075178082192
Residential,1972,3.070727780821917
Other,1972,0.6424694794520548
Total Consumption,1972,9.996272438356165
Production,1972,19.103847643835614
Industry,1973,6.60603698630137
Residential,1973,3.131175178082192
Other,1973,0.6217446575342466
Total Consumption,1973,10.358956821917808
Production,1973,20.539563698630136
Industry,1974,6.846099506849315
Residential,1974,3.5335821369863014
Other,1974,0.663194301369863
Total Consumption,1974,11.04287594520548
Production,1974,21.62761684931507
Industry,1975,6.68375506849315
Residential,1975,4.215774191780822
Other,1975,0.6821920547945206
Total Consumption,1975,11.581721315068492
Production,1975,22.01341583561644
Industry,1976,7.227781643835616
Residential,1976,4.176051616438356
Other,1976,0.6821920547945206
Total Consumption,1976,12.086025315068493
Production,1976,23.9128698630137
Industry,1977,7.808076657534246
Residential,1977,4.71662405479452
Other,1977,0.6821920547945206
Total Consumption,1977,13.20689276712329
Production,1977,26.371171123287674
Industry,1978,8.068864
Residential,1978,4.637178904109589
Other,1978,0.6424694794520548
Total Consumption,1978,13.348512383561644
Production,1978,27.11539706849315
Industry,1979,8.452273205479452
Residential,1979,4.897966246575343
Other,1979,0.6424694794520548
Total Consumption,1979,13.99270893150685
Production,1979,27.721919424657536
Industry,1980,9.122375780821917
Residential,1980,5.198476164383561
Other,1980,0.6942815342465753
Total Consumption,1980,15.015133479452055
Production,1980,30.84520230136986
Industry,1981,9.837382136986301
Residential,1981,5.580158301369862
Other,1981,0.8030868493150686
Total Consumption,1981,16.22062728767123
Production,1981,30.770958438356164
Industry,1982,10.552388493150685
Residential,1982,6.001563013698631
Other,1982,0.8030868493150686
Total Consumption,1982,17.35703835616438
Production,1982,32.60922202739726
Industry,1983,9.536872219178083
Residential,1983,6.283075178082192
Other,1983,0.8030868493150686
Total Consumption,1983,16.623034246575344
Production,1983,29.824324082191783
Industry,1984-1987,11.532931630136988
Residential,1984-1987,6.749815438356164
Other,1984-1987,0.9412523287671233
Total Consumption,1984-1987,19.223999397260275
Production,1984-1987,34.018720780821916
Industry,1984,11.061873698630139
Residential,1984,6.283075178082192
Other,1984,0.8428094246575343
Total Consumption,1984,18.187758301369865
Production,1984,33.49420405479452
Industry,1985,11.030786465753426
Residential,1985,6.443692547945205
Other,1985,0.9136192328767123
Total Consumption,1985,18.388098246575346
