product,flow,value
Coal and coal products,Industry,5.876350547945206
Coal and coal products,Residential,0.36715769178082197
Coal and coal products,Commercial,0.1978748561643836
Gas,Industry,14.262402726027398
Combustible renewables and waste,Industry,25.53012391095891
Gas,Transport,0.06300787671232877
Gas,Residential,1.8718159109589043
Solar/Wind/Other,Residential,0.2262359315068493
Combustible renewables and waste,Residential,23.09046394520548
Gas,Commercial,1.3285725410958904
Geothermal,Commercial,0.02014243835616438
Solar/Wind/Other,Commercial,0.14986335616438357
Gas,Other,0.05491475342465754
Oil Products,Industry,47.627593760273975
Oil Products,Transport,118.08506494520549
Oil Products,Residential,13.784059979452055
Oil Products,Commercial,10.572264842465755
Oil Products,Other,55.36522710958905
Electricity,Industry,27.494498643835616
Electricity,Transport,0.6450600821917808
Electricity,Residential,17.955467589041096
Electricity,Commercial,19.907918520547945
Electricity,Other,1.3108449863013698
Heat,Industry,2.7429763698630136
Heat,Residential,0.08811563698630136
Heat,Commercial,0.05981982876712329
Heat,Other,0.03213150684931507
Coal and coal products,Electricity output in GWh,14663.25
Gas,Electricity output in GWh,7865.25
Hydro,Electricity output in GWh,10110.75
Geothermal,Electricity output in GWh,90.25
Solar/Wind/Other,Electricity output in GWh,228.5
Combustible renewables and waste,Electricity output in GWh,1531.25
Oil Products,Electricity output in GWh,10043.75
Hydro,Production,17.461957767123288
Geothermal,Production,1.5778728698630138
Solar/Wind/Other,Production,0.7707294178082191
Combustible renewables and waste,Production,55.27068517123288
Coal and coal products,Imports,71.2888588630137
"Crude, NGL and feedstocks",Imports,261.5148399452055
Gas,Imports,45.02811469178082
Coal and coal products,Exports,-0.5380420821917808
Coal and coal products,Total Consumption,6.4413730547945205
Gas,Total Consumption,17.580718828767125
Geothermal,Total Consumption,0.02014243835616438
Solar/Wind/Other,Total Consumption,0.37609426712328764
Combustible renewables and waste,Total Consumption,48.62058785616438
Oil Products,Imports,97.5939194109589
Electricity,Imports,7.51102087671233
Oil Products,Exports,-28.119436369863013
Electricity,Exports,-6.557247301369864
Oil Products,Total Consumption,245.4342106369863
Electricity,Total Consumption,67.31378982191781
Electricity,Production,159.7369816369863
Coal and coal products,Electricity,-64.2873332328767
Gas,Electricity,-26.25736032191781
Hydro,Electricity,-17.461957767123284
Geothermal,Electricity,-1.557745493150685
Solar/Wind/Other,Electricity,-0.39463515068493155
Combustible renewables and waste,Electricity,-6.650097315068493
Oil Products,Electricity,-43.12785235616438
"Crude, NGL and feedstocks",Oil Products,-264.25220334246575
All products,Heat and Waste,93.38691611643833
All products,Industry,123.53394093835617
All products,Transport,118.79313792465753
All products,Residential,57.38331668493151
All products,Commercial,32.236456383561645
All products,Other,56.763123376712336
All products,Total Consumption,385.7869169041096
All primary,Production,75.08124522602739
All primary,Imports,377.83181350000007
All primary,Exports,-0.5380420821917808
All primary,Total Consumption,73.03891644520547
All primary,Oil Products,-264.25220334246575
All primary,Electricity,-159.7369816369863
Oil Products,Production,260.1050600410959
All products,Hydrocarbon Heat and Waste,4.1471433013698515
All products,Electricity Heat and Waste,89.23977281506848
