product,flow,value
Coal and coal products,Industry,0.37087791780821916
Gas,Industry,21.752668657534247
Combustible renewables and waste,Industry,22.697515698630138
Gas,Transport,0.24857736986301368
Combustible renewables and waste,Transport,5.290593178082192
Gas,Residential,4.913389369863014
Solar/Wind/Other,Residential,0.8766479178082192
Combustible renewables and waste,Residential,15.468810273972602
Gas,Commercial,4.393782739726028
Geothermal,Commercial,0.031167561643835617
Solar/Wind/Other,Commercial,0.5841106301369863
Combustible renewables and waste,Commercial,0.7656938082191782
Gas,Other,0.14499342465753426
Combustible renewables and waste,Other,0.1328637808219178
Oil Products,Industry,13.144557643835617
Oil Products,Transport,102.35702369863013
Oil Products,Residential,10.337047150684931
Oil Products,Commercial,2.5572261369863014
Oil Products,Other,34.38253980821918
Electricity,Industry,27.621006410958906
Electricity,Transport,0.6735567123287671
Electricity,Residential,21.26712142465753
Electricity,Commercial,26.973355726027396
Electricity,Other,1.6268985205479454
Heat,Industry,6.51293594520548
Heat,Residential,0.132843698630137
Heat,Commercial,0.41578169863013703
Heat,Other,0.004799643835616438
Coal and coal products,Electricity output in GWh,11838.0
Gas,Electricity output in GWh,7228.0
Hydro,Electricity output in GWh,13730.0
Geothermal,Electricity output in GWh,197.0
Solar/Wind/Other,Electricity output in GWh,12493.0
Combustible renewables and waste,Electricity output in GWh,3346.0
Oil Products,Electricity output in GWh,1698.0
Hydro,Production,23.7126504109589
Geothermal,Production,3.6274061369863015
Solar/Wind/Other,Production,23.03700515068493
Combustible renewables and waste,Production,65.3822344109589
Coal and coal products,Imports,50.78161745205479
"Crude, NGL and feedstocks",Imports,281.6562741917808
Gas,Imports,76.54994126027397
Combustible renewables and waste,Imports,1.9471492328767124
Combustible renewables and waste,Exports,-7.825347342465753
Coal and coal products,Total Consumption,0.37087791780821916
Gas,Total Consumption,31.453411561643833
Geothermal,Total Consumption,0.031167561643835617
Solar/Wind/Other,Total Consumption,1.4607384657534246
Combustible renewables and waste,Total Consumption,44.35547673972603
Oil Products,Imports,49.16731046575343
Electricity,Imports,13.98925479452055
Oil Products,Exports,-111.6729717260274
Electricity,Exports,-9.194912657534246
Oil Products,Total Consumption,162.7783743561644
Electricity,Total Consumption,78.16193879452054
Electricity,Production,157.26986931506846
Coal and coal products,Electricity,-52.90382315068493
Gas,Electricity,-34.178745726027394
Hydro,Electricity,-23.712650410958904
Geothermal,Electricity,-3.5962385753424657
Solar/Wind/Other,Electricity,-21.576266684931507
Combustible renewables and waste,Electricity,-14.933579698630139
Oil Products,Electricity,-6.36856506849315
"Crude, NGL and feedstocks",Oil Products,-288.3305705479452
All products,Heat and Waste,84.66135942465752
All products,Industry,92.09954219178083
All products,Transport,108.56975095890411
All products,Residential,52.995859835616436
All products,Commercial,35.721138383561645
All products,Other,36.29209517808219
All products,Total Consumption,318.61198539726024
All primary,Production,115.75929610958903
All primary,Imports,410.93498213698626
All primary,Exports,-7.825347342465753
All primary,Total Consumption,77.67167224657534
All primary,Oil Products,-288.3305705479452
All primary,Electricity,-157.26986931506846
Oil Products,Production,283.091468109589
All products,Hydrocarbon Heat and Waste,5.239102438356156
All products,Electricity Heat and Waste,79.42225698630136
