flow,period,value
Industry,1971-1974,3.3072357534246573
Transport,1971-1974,0.47293561643835613
Residential,1971-1974,1.1858082397260277
Commercial,1971-1974,0.2072582602739726
Other,1971-1974,0.23304881506849315
Electricity output in GWh,1971-1974,307.25
Production,1971-1974,2.8798063835616436
Imports,1971-1974,5.740002506849316
Exports,1971-1974,-0.11773184931506851
Total Consumption,1971-1974,5.406301746575343
Electricity,1971-1974,-3.2172675342465746
Industry,1971,4.682825726027397
Transport,1971,0.5522602739726027
Residential,1971,2.0182201095890413
Commercial,1971,0.15708290410958903
Other,1971,0.22570375342465754
Electricity output in GWh,1971,281.0
Production,1971,3.0484967945205477
Imports,1971,6.0642997808219175
Total Consumption,1971,7.636132931506849
Electricity,1971,-3.032471205479452
Industry,1972,3.0045569589041095
Transport,1972,0.5321780821917809
Residential,1972,0.892673506849315
Commercial,1972,0.16616005479452053
Other,1972,0.23305383561643836
Electricity output in GWh,1972,220.0
Production,1972,3.036447479452055
Imports,1972,6.817783616438358
Exports,1972,-0.05382027397260274
Total Consumption,1972,4.828622438356165
Electricity,1972,-2.0330407671232877
Industry,1973,2.806305561643836
Transport,1973,0.3855780821917808
Residential,1973,1.1494042465753425
Commercial,1973,0.24556504109589042
Other,1973,0.23132676712328767
Electricity output in GWh,1973,386.0
Production,1973,2.662918712328767
Imports,1973,5.704587561643836
Exports,1973,-0.21528109589041097
Total Consumption,1973,4.8181796986301375
Electricity,1973,-4.345123589041096
Industry,1974,2.735254767123288
Transport,1974,0.4217260273972603
Residential,1974,0.6829350958904109
Commercial,1974,0.2602250410958904
Other,1974,0.24211090410958905
Electricity output in GWh,1974,342.0
Production,1974,2.7713625479452055
Imports,1974,4.37333906849315
Exports,1974,-0.20182602739726027
Total Consumption,1974,4.342271917808219
Electricity,1974,-3.458434575342466
Industry,1975,3.465523589041096
Transport,1975,0.36147945205479454
Residential,1975,0.5364756712328766
Commercial,1975,0.24624783561643834
Other,1975,0.23478090410958904
Electricity output in GWh,1975,297.0
Production,1975,2.67496802739726
Imports,1975,5.224643260273973
Total Consumption,1975,4.844507452054795
Electricity,1975,-2.548831780821918
Industry,1976,3.0865726301369865
Transport,1976,0.32533150684931506
Residential,1976,0.5611968493150685
Commercial,1976,0.26092791780821917
Other,1976,0.2477138356164384
Electricity output in GWh,1976,296.0
Production,1976,2.325537890410959
Imports,1976,5.1977130410958905
Total Consumption,1976,4.481742739726028
Electricity,1976,-2.476877287671233
Industry,1977,3.917995452054795
Transport,1977,0.21688767123287672
Residential,1977,0.6181298630136987
Commercial,1977,0.27904205479452054
Other,1977,0.2636791780821918
Electricity output in GWh,1977,202.0
Production,1977,2.3496365205479455
Imports,1977,6.1038416164383555
Total Consumption,1977,5.2957743835616435
Electricity,1977,-1.7109023287671232
Industry,1978,4.491342027397261
Transport,1978,0.12651780821917807
Residential,1978,0.5161123287671233
Commercial,1978,0.2778772876712329
Other,1978,0.2617713698630137
