flow,period,value
Electricity output in GWh,1980,1.0
Production,1980,0.01727068493150685
Electricity,1980,-0.01727068493150685
Electricity output in GWh,1984-1987,2.5
Production,1984-1987,0.040164383561643834
Electricity,1984-1987,-0.040164383561643834
Electricity output in GWh,1984,3.0
Production,1984,0.04795627397260274
Electricity,1984,-0.04795627397260274
Electricity output in GWh,1985,4.0
Production,1985,0.06426301369863015
Electricity,1985,-0.06426301369863015
Electricity output in GWh,1986,2.0
Production,1986,0.032131506849315074
Electricity,1986,-0.032131506849315074
Electricity output in GWh,1987,1.0
Production,1987,0.0163067397260274
Electricity,1987,-0.0163067397260274
Electricity output in GWh,1988,2.0
Production,1988,0.032131506849315074
Electricity,1988,-0.032131506849315074
Electricity output in GWh,1990,4.0
Production,1990,0.06426301369863015
Electricity,1990,-0.06426301369863015
Electricity output in GWh,1991,5.0
Production,1991,0.08872312328767124
Electricity,1991,-0.08872312328767124
Electricity output in GWh,1992,5.0
Production,1992,0.08872312328767124
Electricity,1992,-0.08872312328767124
Electricity output in GWh,1993,4.0
Production,1993,0.06809871232876713
Electricity,1993,-0.06809871232876713
Commercial,1994,0.02014243835616438
Electricity output in GWh,1994,33.0
Production,1994,0.5984894794520548
Total Consumption,1994,0.02014243835616438
Electricity,1994,-0.5783470410958904
Commercial,1995,0.02014243835616438
Electricity output in GWh,1995,42.0
Production,1995,0.7562752602739725
Total Consumption,1995,0.02014243835616438
Electricity,1995,-0.7361328219178082
Commercial,1996,0.02014243835616438
Electricity output in GWh,1996,49.0
Production,1996,0.8656027123287672
Total Consumption,1996,0.02014243835616438
Electricity,1996,-0.8454602739726028
Commercial,1997,0.02014243835616438
Electricity output in GWh,1997,51.0
Production,1997,0.9015699178082192
Total Consumption,1997,0.02014243835616438
Electricity,1997,-0.8814274794520548
Commercial,1998,0.02014243835616438
Electricity output in GWh,1998,58.0
Production,1998,1.0209987123287672
Total Consumption,1998,0.02014243835616438
Electricity,1998,-1.0008562739726028
Commercial,1999-2002,0.02014243835616438
Electricity output in GWh,1999-2002,90.25
Production,1999-2002,1.5778728698630138
Total Consumption,1999-2002,0.02014243835616438
Electricity,1999-2002,-1.557745493150685
Commercial,1999,0.02014243835616438
Electricity output in GWh,1999,80.0
Production,1999,1.4007931232876711
Total Consumption,1999,0.02014243835616438
Electricity,1999,-1.3806707671232878
Commercial,2000,0.02014243835616438
Electricity output in GWh,2000,80.0
Production,2000,1.4007931232876711
Total Consumption,2000,0.02014243835616438
Electricity,2000,-1.3806707671232878
Commercial,2001,0.02014243835616438
Electricity output in GWh,2001,105.0
Production,2001,1.832399589041096
Total Consumption,2001,0.02014243835616438
Electricity,2001,-1.8122772328767123
Commercial,2002,0.02014243835616438
Electricity output in GWh,2002,96.0
Production,2002,1.6775056438356162
Total Consumption,2002,0.02014243835616438
Electricity,2002,-1.6573632054794518
Commercial,2003,0.02014243835616438
Electricity output in GWh,2003,90.0
Production,2003,1.573921698630137
Total Consumption,2003,0.02014243835616438
Electricity,2003,-1.5537792602739724
Commercial,2004,0.02014243835616438
Electricity output in GWh,2004,84.0
Production,2004,1.5561891232876714
Total Consumption,2004,0.02014243835616438
Electricity,2004,-1.536046684931507
Commercial,2005-2008,0.1596885684931507
Electricity output in GWh,2005-2008,137.25
Production,2005-2008,2.669365095890411
Total Consumption,2005-2008,0.1596885684931507
Electricity,2005-2008,-2.5096664863013696
Commercial,2005,0.02014243835616438
Electricity output in GWh,2005,71.0
Production,2005,1.3183155616438356
Total Consumption,2005,0.02014243835616438
Electricity,2005,-1.2981731232876712
Commercial,2006,0.20620394520547947
Electricity output in GWh,2006,85.0
Production,2006,1.7604651780821918
Total Consumption,2006,0.20620394520547947
Electricity,2006,-1.5542612328767123
Commercial,2007,0.20620394520547947
Electricity output in GWh,2007,201.0
Production,2007,3.8815864383561647
Total Consumption,2007,0.20620394520547947
Electricity,2007,-3.675362410958904
Commercial,2008,0.20620394520547947
Electricity output in GWh,2008,192.0
Production,2008,3.717093205479452
Total Consumption,2008,0.20620394520547947
Electricity,2008,-3.5108691780821917
Commercial,2009,0.20620394520547947
Electricity output in GWh,2009,184.0
Production,2009,3.5708145205479456
Total Consumption,2009,0.20620394520547947
Electricity,2009,-3.3646105753424655
Commercial,2010,0.20620394520547947
Electricity output in GWh,2010,197.0
Production,2010,3.8115598356164386
Total Consumption,2010,0.20620394520547947
Electricity,2010,-3.6053558904109586
Commercial,2011,0.20620394520547947
Electricity output in GWh,2011,210.0
Production,2011,4.055176904109589
Total Consumption,2011,0.20620394520547947
Electricity,2011,-3.8489729589041097
Commercial,2012,0.031167561643835617
Electricity output in GWh,2012,146.0
Production,2012,2.7104934246575345
Total Consumption,2012,0.031167561643835617
Electricity,2012,-2.679325863013699
Commercial,2014,0.031167561643835617
Electricity output in GWh,2014,197.0
Production,2014,3.6274061369863015
Total Consumption,2014,0.031167561643835617
Electricity,2014,-3.5962385753424657
Commercial,2016,0.02733186301369863
Electricity output in GWh,2016,172.0
Production,2016,3.166680493150685
Total Consumption,2016,0.02733186301369863
Electricity,2016,-3.139348630136986
