flow,period,value
Industry,1980,0.42777076712328765
Industry,1981,0.8272457260273972
Industry,1982,0.7188621369863014
Industry,1983,0.588428301369863
Industry,1984-1987,0.6689880136986301
Industry,1984,0.7006475890410959
Industry,1985,0.6584348219178082
Industry,1986,0.6464457534246575
Industry,1987,0.670423890410959
Industry,1988,0.6061608767123288
Industry,1989,0.6766694520547946
Industry,1990,0.569711698630137
Industry,1991,0.5668399452054794
Industry,1992,0.632066904109589
Industry,1993,0.689140493150685
Industry,1994,0.7078370136986301
Industry,1995,0.7303692328767123
Industry,1996,1.0262602465753425
Industry,1997,1.3504470684931507
Industry,1998,1.5614506575342466
Residential,1998,0.05275591780821918
Industry,1999-2002,2.7429763698630136
Residential,1999-2002,0.08811563698630136
Commercial,1999-2002,0.05981982876712329
Other,1999-2002,0.03213150684931507
Industry,1999,1.606535178082192
Residential,1999,0.05131000000000001
Commercial,1999,0.04651035616438356
Other,1999,0.026849890410958904
Industry,2000,2.5560613698630137
Residential,2000,0.07145243835616438
Commercial,2000,0.03452128767123288
Other,2000,0.03596720547945205
Industry,2001,3.0596022465753427
Residential,2001,0.0863132602739726
Commercial,2001,0.06617082191780821
Other,2001,0.032131506849315074
Industry,2002,3.749706684931507
Residential,2002,0.14338684931506848
Commercial,2002,0.09207684931506849
Other,2002,0.03357742465753425
Industry,2003,4.2714621095890415
Residential,2003,0.15250416438356165
Commercial,2003,0.09784043835616438
Other,2003,0.009117315068493151
Industry,2004,4.859890410958904
Residential,2004,0.17696427397260275
Commercial,2004,0.1285260273972603
Other,2004,0.008635342465753424
Industry,2005-2008,6.311526623287671
Residential,2005-2008,0.12156754794520548
Commercial,2005-2008,0.14231245205479454
Other,2005-2008,0.010789157534246575
Industry,2005,6.31872106849315
Residential,2005,0.12037265753424657
Commercial,2005,0.12804405479452055
Other,2005,0.008635342465753424
Industry,2006,6.35659608219178
Residential,2006,0.1285260273972603
Commercial,2006,0.1409970684931507
Other,2006,0.011025123287671235
Industry,2007,6.482732328767122
Residential,2007,0.13043383561643837
Commercial,2007,0.1515402191780822
Other,2007,0.01247104109589041
Industry,2008,6.08805701369863
Residential,2008,0.10693767123287673
Commercial,2008,0.14866846575342466
Other,2008,0.011025123287671235
Industry,2009,6.030501452054795
Residential,2009,0.10023021917808218
Commercial,2009,0.14866846575342466
Other,2009,0.0081533698630137
Industry,2010,6.389209561643836
Residential,2010,0.14290487671232877
Commercial,2010,0.23881742465753422
Other,2010,0.008635342465753424
Industry,2011,6.335027808219177
Residential,2011,0.11940871232876711
Commercial,2011,0.24170926027397258
Other,2011,0.008635342465753424
Industry,2012,6.395937095890411
Residential,2012,0.13716136986301372
Commercial,2012,0.38748589041095893
Other,2012,0.008635342465753424
Industry,2014,6.51293594520548
Residential,2014,0.132843698630137
Commercial,2014,0.41578169863013703
Other,2014,0.004799643835616438
Industry,2015,0.9874212876712329
Residential,2015,1.7906888767123288
Commercial,2015,5.904847178082192
Other,2015,0.025424054794520548
Industry,2016,3.7676802465753423
Residential,2016,0.01727068493150685
Commercial,2016,0.4585567671232877
