flow,period,value
Electricity output in GWh,1971-1974,7102.25
Production,1971-1974,12.266072205479452
Electricity,1971-1974,-12.266072205479453
Electricity output in GWh,1971,6170.0
Production,1971,10.656012602739727
Electricity,1971,-10.656012602739727
Electricity output in GWh,1972,7086.0
Production,1972,12.238007342465751
Electricity,1972,-12.238007342465751
Electricity output in GWh,1973,7325.0
Production,1973,12.650776712328769
Electricity,1973,-12.650776712328769
Electricity output in GWh,1974,7828.0
Production,1974,13.51949216438356
Electricity,1974,-13.51949216438356
Electricity output in GWh,1975,6410.0
Production,1975,11.07050904109589
Electricity,1975,-11.070509041095889
Electricity output in GWh,1976,4787.0
Production,1976,8.26747687671233
Electricity,1976,-8.26747687671233
Electricity output in GWh,1977,9966.0
Production,1977,17.211964602739727
Electricity,1977,-17.211964602739727
Electricity output in GWh,1978,10811.0
Production,1978,18.671337479452053
Electricity,1978,-18.671337479452056
Electricity output in GWh,1979,11213.0
Production,1979,19.36561901369863
Electricity,1979,-19.365619013698627
Electricity output in GWh,1980,8015.0
Production,1980,13.842453972602739
Electricity,1980,-13.842453972602739
Electricity output in GWh,1981,5019.0
Production,1981,8.668156767123289
Electricity,1981,-8.668156767123289
Electricity output in GWh,1982,6921.0
Production,1982,11.95304104109589
Electricity,1982,-11.953041041095892
Electricity output in GWh,1983,8026.0
Production,1983,13.861451726027397
Electricity,1983,-13.861451726027399
Electricity output in GWh,1984-1987,9531.25
Production,1984-1987,16.461121575342464
Electricity,1984-1987,-16.461121575342467
Electricity output in GWh,1984,9765.0
Production,1984,16.864823835616438
Electricity,1984,-16.864823835616438
Electricity output in GWh,1985,10693.0
Production,1985,18.467543397260272
Electricity,1985,-18.467543397260275
Electricity output in GWh,1986,8514.0
Production,1986,14.70426115068493
Electricity,1986,-14.704261150684934
Electricity output in GWh,1987,9153.0
Production,1987,15.80785791780822
Electricity,1987,-15.807857917808219
Electricity output in GWh,1988,12233.0
Production,1988,21.12722887671233
Electricity,1988,-21.127228876712326
Electricity output in GWh,1989,5819.0
Production,1989,10.049811561643837
Electricity,1989,-10.049811561643835
Electricity output in GWh,1990,9157.0
Production,1990,15.814766191780821
Electricity,1990,-15.814766191780823
Electricity output in GWh,1991,9043.0
Production,1991,15.617880383561644
Electricity,1991,-15.617880383561642
Electricity output in GWh,1992,4646.0
Production,1992,8.023960219178083
Electricity,1992,-8.023960219178083
Electricity output in GWh,1993,8538.0
Production,1993,14.745710794520548
Electricity,1993,-14.745710794520546
Electricity output in GWh,1994,10658.0
Production,1994,18.407096
Electricity,1994,-18.407096000000003
Electricity output in GWh,1995,8343.0
Production,1995,14.408932438356166
Electricity,1995,-14.408932438356164
Electricity output in GWh,1996,14761.0
Production,1996,25.49325802739726
Electricity,1996,-25.49325802739726
Electricity output in GWh,1997,13105.0
Production,1997,22.633232602739724
Electricity,1997,-22.63323260273973
Electricity output in GWh,1998,12983.0
Production,1998,22.42253024657534
Electricity,1998,-22.42253024657534
Electricity output in GWh,1999-2002,10110.75
Production,1999-2002,17.461957767123288
Electricity,1999-2002,-17.461957767123284
Electricity output in GWh,1999,7286.0
Production,1999,12.583421041095892
Electricity,1999,-12.58342104109589
Electricity output in GWh,2000,11323.0
Production,2000,19.555596547945203
Electricity,2000,-19.555596547945207
Electricity output in GWh,2001,14034.0
Production,2001,24.237679232876715
Electricity,2001,-24.23767923287671
Electricity output in GWh,2002,7800.0
Production,2002,13.471134246575343
Electricity,2002,-13.471134246575344
Electricity output in GWh,2003,15723.0
Production,2003,27.15469791780822
Electricity,2003,-27.154697917808218
Electricity output in GWh,2004,9869.0
Production,2004,17.04443895890411
Electricity,2004,-17.044438958904106
Electricity output in GWh,2005-2008,8155.75
Production,2005-2008,14.0855388630137
Electricity,2005-2008,-14.0855388630137
Electricity output in GWh,2005,4731.0
Production,2005,8.17076104109589
Electricity,2005,-8.170761041095892
Electricity output in GWh,2006,11002.0
Production,2006,19.001207561643838
Electricity,2006,-19.001207561643838
Electricity output in GWh,2007,10092.0
Production,2007,17.42957523287671
Electricity,2007,-17.429575232876715
Electricity output in GWh,2008,6798.0
Production,2008,11.740611616438358
Electricity,2008,-11.740611616438356
Electricity output in GWh,2009,8284.0
Production,2009,14.307035397260272
Electricity,2009,-14.307035397260274
Electricity output in GWh,2010,16148.0
Production,2010,27.888702027397265
Electricity,2010,-27.888702027397265
Electricity output in GWh,2011,11540.0
Production,2011,19.930370410958904
Electricity,2011,-19.930370410958904
Electricity output in GWh,2012,5622.0
Production,2012,9.70957906849315
Electricity,2012,-9.70957906849315
Electricity output in GWh,2014,13730.0
Production,2014,23.7126504109589
Electricity,2014,-23.712650410958904
Electricity output in GWh,2015,137914.0
Production,2015,238.18692416438353
Electricity,2015,-238.18692416438358
Electricity output in GWh,2016,15723.0
Production,2016,27.149817945205477
Electricity,2016,-27.14981794520548
