product,flow,value
Coal and coal products,Industry,100.4255285342466
Coal and coal products,Transport,0.23615151369863016
Coal and coal products,Residential,3.6076854246575345
Coal and coal products,Commercial,1.3684005479452057
Coal and coal products,Other,4.18348202739726
Gas,Industry,91.62055681506851
Combustible renewables and waste,Industry,422.36189987671224
Gas,Transport,0.26271523287671233
Combustible renewables and waste,Transport,95.63243149315068
Gas,Residential,72.6081132671233
Combustible renewables and waste,Residential,293.8097505684932
Gas,Commercial,14.631071602739727
Combustible renewables and waste,Commercial,4.951962239726028
Gas,Other,19.541754897260276
Combustible renewables and waste,Other,53.174290109589045
Oil Products,Industry,202.95215638356166
Oil Products,Transport,730.8404414246576
Oil Products,Residential,127.254664
Oil Products,Commercial,19.09255643150685
Oil Products,Other,292.47190005479445
Electricity,Industry,220.40329989041098
Electricity,Transport,2.8686607671232873
Electricity,Residential,84.66003400000001
Electricity,Commercial,75.0506249041096
Electricity,Other,8.99932215068493
Coal and coal products,Electricity output in GWh,4904.5
Gas,Electricity output in GWh,20516.25
Nuclear,Electricity output in GWh,259.0
Hydro,Electricity output in GWh,103854.70723972602
Geothermal,Electricity output in GWh,156.0
Combustible renewables and waste,Electricity output in GWh,1661.424808219178
Oil Products,Electricity output in GWh,50948.60514383562
Coal and coal products,Production,91.99793634246575
"Crude, NGL and feedstocks",Production,1097.5144787191782
Gas,Production,322.0653090547945
Nuclear,Production,37.58205970547945
Hydro,Production,391.0074433150685
Combustible renewables and waste,Production,1163.3955698356165
Coal and coal products,Imports,147.9565721369863
"Crude, NGL and feedstocks",Imports,699.5441328493152
Gas,Imports,39.2362800479452
Coal and coal products,Exports,-0.4439369315068493
"Crude, NGL and feedstocks",Exports,-3.356808643835617
Combustible renewables and waste,Exports,-4.591486897260275
Coal and coal products,Total Consumption,109.82122796575342
Gas,Total Consumption,198.66421181506848
Combustible renewables and waste,Total Consumption,869.930369431507
Oil Products,Imports,61.33785670547945
Electricity,Imports,12.832982438356165
Oil Products,Exports,-173.90499806164385
Electricity,Exports,-18.48092817808219
Oil Products,Total Consumption,1372.6117032328768
Electricity,Total Consumption,391.98194171232876
Electricity,Production,660.6984614726027
Coal and coal products,Electricity,-47.94771393835616
Gas,Electricity,-66.87206193150685
Nuclear,Electricity,-37.58205970547945
Hydro,Electricity,-391.0074433150685
Combustible renewables and waste,Electricity,-17.84199818493151
Oil Products,Electricity,-99.44718439726026
"Crude, NGL and feedstocks",Oil Products,-1757.0327399041096
All products,Heat and Waste,266.8225582123289
All products,Industry,1037.763431458904
All products,Transport,829.840390390411
All products,Residential,581.9402171369863
All products,Commercial,115.09461070547944
All products,Other,378.37075426027394
All products,Total Consumption,2943.0094541575345
All primary,Production,3103.562796972603
All primary,Imports,886.7369850342468
All primary,Exports,-8.39223247260274
All primary,Total Consumption,1178.415809212329
All primary,Electricity,-660.6984614726027
Oil Products,Production,1737.7200274246575
All products,Hydrocarbon Heat and Waste,19.312712479452102
All products,Electricity Heat and Waste,247.50984573287678
