product,flow,value
Coal and coal products,Industry,153.66095887671236
Coal and coal products,Residential,0.15276523287671231
Coal and coal products,Commercial,0.1756388493150685
Coal and coal products,Other,2.9602556438356165
Gas,Industry,304.240446
Combustible renewables and waste,Industry,763.3499352876711
Gas,Transport,95.68602082191782
Combustible renewables and waste,Transport,294.12482509589046
Gas,Residential,167.32172926027397
Combustible renewables and waste,Residential,251.62170964383554
Gas,Commercial,28.663774219178087
Combustible renewables and waste,Commercial,4.507849589041096
Gas,Other,73.87637898630136
Solar/Wind/Other,Other,7.398219205479452
Combustible renewables and waste,Other,51.52499994520548
Oil Products,Industry,381.7199316712328
Oil Products,Transport,1504.8056827123287
Oil Products,Residential,176.24677742465755
Oil Products,Commercial,31.51924098630137
Oil Products,Other,579.2081253150686
Electricity,Industry,503.7720629041096
Electricity,Transport,4.771890246575342
Electricity,Residential,273.5676493150685
Electricity,Commercial,258.0810261369863
Electricity,Other,32.817755506849316
Coal and coal products,Electricity output in GWh,31507.0
Gas,Electricity output in GWh,109631.0
Nuclear,Electricity output in GWh,21694.0
Hydro,Electricity output in GWh,521324.0
Solar/Wind/Other,Electricity output in GWh,2714.0
Combustible renewables and waste,Electricity output in GWh,36822.0
Oil Products,Electricity output in GWh,42244.0
Coal and coal products,Production,47.901811068493146
"Crude, NGL and feedstocks",Production,2915.467697095891
Gas,Production,991.9167465479453
Nuclear,Production,113.53643846575343
Hydro,Production,900.3622551232875
Solar/Wind/Other,Production,11.892051424657533
Combustible renewables and waste,Production,1917.2459054520552
Coal and coal products,Imports,338.5816566575342
"Crude, NGL and feedstocks",Imports,564.420362410959
Gas,Imports,333.49632356164386
Combustible renewables and waste,Imports,0.821180904109589
Coal and coal products,Exports,-0.8893398630136985
"Crude, NGL and feedstocks",Exports,-748.5631162465754
Gas,Exports,-7.825588328767123
Combustible renewables and waste,Exports,-48.021802164383566
Coal and coal products,Total Consumption,156.94963868493153
Gas,Total Consumption,669.7883091232877
Solar/Wind/Other,Total Consumption,7.398219205479452
Combustible renewables and waste,Total Consumption,1365.1293195616436
Oil Products,Imports,704.2643516164385
Electricity,Imports,82.12210684931507
Oil Products,Exports,-227.92554671232878
Electricity,Exports,-81.25339139726027
Oil Products,Total Consumption,2673.4997581095895
Electricity,Total Consumption,1073.010384109589
Electricity,Production,1938.2001262465756
Coal and coal products,Electricity,-157.77734630136985
Gas,Electricity,-427.4841339999999
Nuclear,Electricity,-113.53643846575343
Hydro,Electricity,-900.3622551232877
Solar/Wind/Other,Electricity,-4.493832219178083
Combustible renewables and waste,Electricity,-141.11758172602742
Oil Products,Electricity,-193.4285384109589
"Crude, NGL and feedstocks",Oil Products,-2752.0638427945205
All products,Heat and Waste,832.5262781095894
All products,Industry,2106.7432945753426
All products,Transport,1899.3884389589043
All products,Residential,868.9106509589042
All products,Commercial,322.9475699452055
All products,Other,747.7856944383564
All products,Total Consumption,5945.77562879452
All primary,Production,6898.322905178083
All primary,Imports,1237.3195235342464
All primary,Exports,-805.2998466027398
All primary,Total Consumption,2199.265486575342
All primary,Oil Products,-2752.0638427945205
All primary,Electricity,-1938.2001262465756
Oil Products,Production,2728.447325835616
All products,Hydrocarbon Heat and Waste,23.616516958904413
All products,Electricity Heat and Waste,808.909761150685
