flow,period,value
Electricity output in GWh,1996,12.0
Production,1996,0.02072482191780822
Electricity,1996,-0.02072482191780822
Electricity output in GWh,1997,19.0
Production,1997,0.03281430136986301
Electricity,1997,-0.03281430136986301
Electricity output in GWh,1998,38.0
Production,1998,0.06562860273972604
Electricity,1998,-0.06562860273972604
Other,1999-2002,0.8005163287671233
Production,1999-2002,0.932205301369863
Total Consumption,1999-2002,0.8005163287671233
Electricity,1999-2002,-0.13168897260273973
Other,1999,0.41194600000000003
Electricity output in GWh,1999,37.0
Production,1999,0.47584753424657533
Total Consumption,1999,0.41194600000000003
Electricity,1999,-0.06390153424657534
Other,2000,0.6090527123287671
Electricity output in GWh,2000,36.0
Production,2000,0.6712271780821918
Total Consumption,2000,0.6090527123287671
Electricity,2000,-0.06217446575342465
Other,2001,0.9730424383561644
Electricity output in GWh,2001,91.0
Production,2001,1.1302056712328767
Total Consumption,2001,0.9730424383561644
Electricity,2001,-0.15716323287671233
Other,2002,1.2080241643835616
Electricity output in GWh,2002,141.0
Production,2002,1.4515408219178085
Total Consumption,2002,1.2080241643835616
Electricity,2002,-0.2435166575342466
Other,2003,1.45403101369863
Electricity output in GWh,2003,146.0
Production,2003,1.7061830136986305
Total Consumption,2003,1.45403101369863
Electricity,2003,-0.25215200000000004
Other,2004,1.7484761095890413
Electricity output in GWh,2004,140.0
Production,2004,1.9902656986301368
Total Consumption,2004,1.7484761095890413
Electricity,2004,-0.2417895890410959
Other,2005-2008,2.946916047945206
Production,2005-2008,3.7197791986301367
Total Consumption,2005-2008,2.946916047945206
Electricity,2005-2008,-0.7728631506849315
Other,2005,2.047740931506849
Electricity output in GWh,2005,175.0
Production,2005,2.349977917808219
Total Consumption,2005,2.047740931506849
Electricity,2005,-0.30223698630136986
Other,2006,2.359918602739726
Electricity output in GWh,2006,314.0
Production,2006,2.902218109589042
Total Consumption,2006,2.359918602739726
Electricity,2006,-0.542299506849315
Other,2007,2.710975397260274
Electricity output in GWh,2007,581.0
Production,2007,3.714402191780822
Total Consumption,2007,2.710975397260274
Electricity,2007,-1.003426794520548
Other,2008,4.669029260273973
Electricity output in GWh,2008,720.0
Production,2008,5.9125185753424665
Total Consumption,2008,4.669029260273973
Electricity,2008,-1.2434893150684931
Other,2009,8.041311232876714
Electricity output in GWh,2009,1482.0
Production,2009,10.43330109589041
Total Consumption,2009,8.041311232876714
Electricity,2009,-2.391989863013699
Other,2010,7.398219205479452
Electricity output in GWh,2010,2714.0
Production,2010,11.892051424657533
Total Consumption,2010,7.398219205479452
Electricity,2010,-4.493832219178083
Other,2011,8.433114794520549
Electricity output in GWh,2011,3182.0
Production,2011,13.928646739726029
Total Consumption,2011,8.433114794520549
Electricity,2011,-5.495531945205479
Industry,2012,0.035485232876712326
Residential,2012,0.26904112328767127
Commercial,2012,0.06570893150684931
Other,2012,9.987858
Electricity output in GWh,2012,5947.0
Production,2012,20.628949534246576
Total Consumption,2012,10.358073205479451
Electricity,2012,-10.270876328767123
Industry,2013,0.03596720547945205
Residential,2013,0.2719128767123288
Commercial,2013,0.06617082191780821
Other,2013,11.060628602739726
Electricity output in GWh,2013,7771.0
Production,2013,24.859564465753426
Total Consumption,2013,11.434679506849315
Electricity,2013,-13.424884958904109
Industry,2014,0.03596720547945205
Residential,2014,0.2719128767123288
Commercial,2014,0.06617082191780821
Other,2014,12.248510328767122
Electricity output in GWh,2014,15619.0
Production,2014,39.59764402739726
Total Consumption,2014,12.622561232876713
Electricity,2014,-26.975082794520542
