product,flow,value
Coal and coal products,Industry,2.0820413150684933
Coal and coal products,Residential,2.888702794520548
Gas,Industry,10.020973534246576
Combustible renewables and waste,Industry,1.2008347397260275
Gas,Residential,0.6952454794520547
Combustible renewables and waste,Residential,3.0231731506849315
Gas,Commercial,2.501357479452055
Combustible renewables and waste,Commercial,1.0694168767123289
Gas,Other,0.19636367123287674
Oil Products,Industry,4.121970273972603
Oil Products,Transport,16.76250506849315
Oil Products,Residential,9.838386246575343
Oil Products,Other,0.5059306575342466
Electricity,Industry,9.07919906849315
Electricity,Transport,0.3074181917808219
Electricity,Residential,4.191595232876712
Electricity,Commercial,1.73915797260274
Heat,Industry,0.7975040000000001
Heat,Residential,2.0496487397260275
Heat,Commercial,1.3533188219178083
Coal and coal products,Electricity output in GWh,3622.0
Gas,Electricity output in GWh,2.0
Nuclear,Electricity output in GWh,4952.0
Hydro,Electricity output in GWh,3608.0
Oil Products,Electricity output in GWh,560.0
Coal and coal products,Production,25.052333424657533
"Crude, NGL and feedstocks",Production,0.041148410958904105
Gas,Production,0.33143649315068496
Nuclear,Production,25.916490219178083
Hydro,Production,6.231263123287671
Combustible renewables and waste,Production,4.7654237808219175
Coal and coal products,Imports,2.8578967123287673
"Crude, NGL and feedstocks",Imports,12.431117698630135
Gas,Imports,14.056108410958903
Combustible renewables and waste,Imports,0.6042530684931506
Coal and coal products,Exports,-0.5245468493150686
Coal and coal products,Total Consumption,4.970784273972603
Gas,Total Consumption,13.413940164383563
Combustible renewables and waste,Total Consumption,5.293404684931507
Oil Products,Imports,25.78653835616438
Electricity,Imports,1.9654039452054795
Oil Products,Exports,-4.593560383561644
Electricity,Exports,-5.452355232876712
Oil Products,Total Consumption,31.228792246575342
Electricity,Total Consumption,15.317370465753426
Electricity,Production,53.92405873972602
Coal and coal products,Electricity,-19.806583780821914
Gas,Electricity,-0.42983923287671233
Nuclear,Electricity,-25.916490219178083
Hydro,Electricity,-6.231263123287671
Oil Products,Electricity,-1.539882383561644
"Crude, NGL and feedstocks",Oil Products,-12.719196739726026
All products,Heat and Waste,33.357645150684924
All products,Industry,27.30252293150685
All products,Transport,17.069923260273974
All products,Residential,22.686771726027395
All products,Commercial,6.663251150684931
All products,Other,0.7022943287671233
All products,Total Consumption,70.22429183561644
All primary,Production,62.338095452054795
All primary,Imports,29.949375890410955
All primary,Exports,-0.5245468493150686
All primary,Total Consumption,23.678129123287672
All primary,Oil Products,-12.719196739726026
All primary,Electricity,-53.92405873972602
Oil Products,Production,12.230918328767125
All products,Hydrocarbon Heat and Waste,0.4882784109589018
All products,Electricity Heat and Waste,32.86936673972602
