flow,period,value
Industry,1990,11.396804493150688
Residential,1990,0.541174904109589
Commercial,1990,2.232055287671233
Other,1990,0.17521712328767122
Electricity output in GWh,1990,2.0
Production,1990,0.4056803561643836
Imports,1990,14.517456602739728
Total Consumption,1990,14.345271890410958
Electricity,1990,-0.40437501369863016
Industry,1991,10.020973534246576
Residential,1991,0.6952454794520547
Commercial,1991,2.501357479452055
Other,1991,0.19636367123287674
Electricity output in GWh,1991,2.0
Production,1991,0.33143649315068496
Imports,1991,14.056108410958903
Total Consumption,1991,13.413940164383563
Electricity,1991,-0.42983923287671233
Industry,1992,7.968011232876711
Residential,1992,0.7854546849315069
Commercial,1992,2.4832232602739728
Other,1992,0.13939049315068494
Electricity output in GWh,1992,2.0
Production,1992,0.28785813698630136
Imports,1992,12.06658575342466
Total Consumption,1992,11.376079671232876
Electricity,1992,-0.20714780821917805
Industry,1993,7.867017890410959
Residential,1993,0.818248904109589
Commercial,1993,2.4392030958904107
Other,1993,0.1234251506849315
Electricity output in GWh,1993,2.0
Production,1993,0.22959969863013696
Imports,1993,11.960431287671232
Total Consumption,1993,11.24791512328767
Electricity,1993,-0.20931668493150685
Industry,1994,8.76079591780822
Residential,1994,0.7353897808219177
Commercial,1994,1.6200906575342464
Other,1994,0.9684436164383562
Electricity output in GWh,1994,2.0
Production,1994,0.2162048767123288
Imports,1994,12.702729342465753
Total Consumption,1994,12.084719972602741
Electricity,1994,-0.18555945205479452
Industry,1995,8.301174794520549
Residential,1995,1.0966081643835617
Commercial,1995,2.155682712328767
Other,1995,1.7210839999999998
Electricity output in GWh,1995,15.0
Production,1995,0.3124588219178082
Imports,1995,15.062527452054793
Total Consumption,1995,13.274549671232876
Electricity,1995,-0.2429543561643836
Industry,1996,9.548399397260274
Residential,1996,0.9136192328767123
Commercial,1996,1.5553657534246577
Other,1996,1.3253443287671232
Electricity output in GWh,1996,8.0
Production,1996,0.2235549589041096
Imports,1996,14.404393863013699
Total Consumption,1996,13.342728712328768
Electricity,1996,-0.27922279452054793
Industry,1997,10.137932219178083
Residential,1997,0.9136192328767123
Commercial,1997,1.195010904109589
Other,1997,2.133230821917808
Electricity output in GWh,1997,10.0
Production,1997,0.20714780821917805
Imports,1997,15.750884739726029
Total Consumption,1997,14.379793178082194
Electricity,1997,-0.22957961643835617
Industry,1998,10.106423260273973
Residential,1998,1.000374301369863
Commercial,1998,1.463871287671233
Other,1998,2.110357205479452
Electricity output in GWh,1998,109.0
Production,1998,0.13766342465753426
Imports,1998,16.31192093150685
Total Consumption,1998,14.681026054794522
Electricity,1998,-0.7267544383561644
Industry,1999-2002,9.30586676712329
Residential,1999-2002,1.2874693150684928
Commercial,1999-2002,1.4367954726027399
Other,1999-2002,2.2672292465753423
Electricity output in GWh,1999-2002,262.25
Production,1999-2002,0.10660129452054795
Imports,1999-2002,16.702805732876715
Total Consumption,1999-2002,14.297360801369866
Electricity,1999-2002,-1.1058861369863013
Industry,1999,9.522513452054795
Residential,1999,1.3590020821917808
Commercial,1999,1.9295371506849313
Other,1999,2.4681214520547945
Electricity output in GWh,1999,172.0
Production,1999,0.09796093150684933
Imports,1999,17.042129506849314
Total Consumption,1999,15.2791741369863
Electricity,1999,-0.8350777808219177
Industry,2000,9.86863002739726
Residential,2000,1.1764549589041096
Commercial,2000,0.37589846575342467
Other,2000,2.3528898356164385
Electricity output in GWh,2000,293.0
Production,2000,0.12127635616438356
Imports,2000,16.453460219178083
Total Consumption,2000,13.773873287671233
Electricity,2000,-1.1833632328767123
Industry,2001,9.18718101369863
Residential,2001,1.242043397260274
Commercial,2001,1.6132024657534245
Other,2001,2.2873013972602743
Electricity output in GWh,2001,296.0
Production,2001,0.10358394520547945
Imports,2001,16.960133917808218
Total Consumption,2001,14.329728273972602
Electricity,2001,-1.2187279726027398
Industry,2002,8.645142575342467
Residential,2002,1.372376821917808
