flow,period,value
Electricity output in GWh,1990,2950.0
Production,1990,5.09485205479452
Electricity,1990,-5.094852054794521
Electricity output in GWh,1991,3608.0
Production,1991,6.231263123287671
Electricity,1991,-6.231263123287671
Electricity output in GWh,1992,3423.0
Production,1992,5.911755452054794
Electricity,1992,-5.911755452054795
Electricity output in GWh,1993,3035.0
Production,1993,5.241652876712329
Electricity,1993,-5.241652876712329
Electricity output in GWh,1994,3399.0
Production,1994,5.870305808219179
Electricity,1994,-5.870305808219178
Electricity output in GWh,1995,3252.0
Production,1995,5.616426739726028
Electricity,1995,-5.616426739726028
Electricity output in GWh,1996,3673.0
Production,1996,6.343522575342465
Electricity,1996,-6.343522575342465
Electricity output in GWh,1997,3092.0
Production,1997,5.340095780821917
Electricity,1997,-5.340095780821917
Electricity output in GWh,1998,3449.0
Production,1998,5.956659232876711
Electricity,1998,-5.956659232876713
Electricity output in GWh,1999-2002,3670.75
Production,1999-2002,6.339636671232877
Electricity,1999-2002,-6.339636671232878
Electricity output in GWh,1999,3741.0
Production,1999,6.460963232876713
Electricity,1999,-6.460963232876712
Electricity output in GWh,2000,3834.0
Production,2000,6.621580602739726
Electricity,2000,-6.621580602739726
Electricity output in GWh,2001,3796.0
Production,2001,6.5559520000000004
Electricity,2001,-6.5559520000000004
Electricity output in GWh,2002,3312.0
Production,2002,5.720050849315069
Electricity,2002,-5.720050849315069
Electricity output in GWh,2003,2957.0
Production,2003,5.106941534246576
Electricity,2003,-5.106941534246575
Electricity output in GWh,2004,4094.0
Production,2004,7.070618410958905
Electricity,2004,-7.070618410958905
Electricity output in GWh,2005-2008,3584.0
Production,2005-2008,6.189813479452055
Electricity,2005-2008,-6.189813479452055
Electricity output in GWh,2005,3461.0
Production,2005,5.977384054794522
Electricity,2005,-5.977384054794521
Electricity output in GWh,2006,3591.0
Production,2006,6.20190295890411
Electricity,2006,-6.201902958904109
Electricity output in GWh,2007,3266.0
Production,2007,5.640605698630136
Electricity,2007,-5.640605698630137
Electricity output in GWh,2008,4018.0
Production,2008,6.939361205479452
Electricity,2008,-6.939361205479452
Electricity output in GWh,2009,4713.0
Production,2009,8.139673808219177
Electricity,2009,-8.139673808219179
Electricity output in GWh,2010,4512.0
Production,2010,7.79253304109589
Electricity,2010,-7.79253304109589
Electricity output in GWh,2011,3559.0
Production,2011,6.146636767123288
Electricity,2011,-6.1466367671232875
Electricity output in GWh,2012,3892.0
Production,2012,6.721750575342465
Electricity,2012,-6.721750575342466
Electricity output in GWh,2015,8660.0
Production,2015,14.95641315068493
Electricity,2015,-14.956413150684932
Electricity output in GWh,2016,4503.0
Production,2016,7.7755836712328765
Electricity,2016,-7.7755836712328765
