flow,period,value
Electricity output in GWh,1990,4622.0
Production,1990,24.189421726027394
Electricity,1990,-24.189421726027394
Electricity output in GWh,1991,4952.0
Production,1991,25.916490219178083
Electricity,1991,-25.916490219178083
Electricity output in GWh,1992,3971.0
Production,1992,20.782397561643833
Electricity,1992,-20.782397561643833
Electricity output in GWh,1993,3956.0
Production,1993,20.703896273972603
Electricity,1993,-20.703896273972603
Electricity output in GWh,1994,4609.0
Production,1994,24.121383260273976
Electricity,1994,-24.121383260273976
Electricity output in GWh,1995,4779.0
Production,1995,25.011084602739725
Electricity,1995,-25.011084602739725
Electricity output in GWh,1996,4647.0
Production,1996,24.32025720547945
Electricity,1996,-24.32025720547945
Electricity output in GWh,1997,5019.0
Production,1997,26.267145369863012
Electricity,1997,-26.267145369863012
Electricity output in GWh,1998,5042.0
Production,1998,26.387518027397263
Electricity,1998,-26.387518027397263
Electricity output in GWh,1999-2002,5060.5
Production,1999-2002,26.484329253424658
Electricity,1999-2002,-26.484329253424658
Electricity output in GWh,1999,4696.0
Production,1999,24.576706794520547
Electricity,1999,-24.576706794520547
Electricity output in GWh,2000,4761.0
Production,2000,24.916879041095886
Electricity,2000,-24.916879041095886
Electricity output in GWh,2001,5257.0
Production,2001,27.512723232876713
Electricity,2001,-27.512723232876713
Electricity output in GWh,2002,5528.0
Production,2002,28.93100794520548
Electricity,2002,-28.93100794520548
Electricity output in GWh,2003,5207.0
Production,2003,27.251052273972608
Electricity,2003,-27.251052273972608
Electricity output in GWh,2004,5459.0
Production,2004,28.569889972602738
Electricity,2004,-28.569889972602738
Electricity output in GWh,2005-2008,5850.0
Production,2005-2008,30.61621510958904
Electricity,2005-2008,-30.61621510958904
Electricity output in GWh,2005,5884.0
Production,2005,30.794153369863015
Electricity,2005,-30.794153369863015
Electricity output in GWh,2006,5548.0
Production,2006,29.035676328767124
Electricity,2006,-29.035676328767124
Electricity output in GWh,2007,5695.0
Production,2007,29.80502509589041
Electricity,2007,-29.80502509589041
Electricity output in GWh,2008,6273.0
Production,2008,32.83000564383561
Electricity,2008,-32.83000564383561
Electricity output in GWh,2009,5739.0
Production,2009,30.03528750684931
Electricity,2009,-30.03528750684931
Electricity output in GWh,2010,5657.0
Production,2010,29.60613106849315
Electricity,2010,-29.60613106849315
Electricity output in GWh,2011,6215.0
Production,2011,32.52646331506849
Electricity,2011,-32.52646331506849
Electricity output in GWh,2012,5528.0
Production,2012,28.93100794520548
Electricity,2012,-28.93100794520548
Electricity output in GWh,2016,5715.0
Production,2016,29.90431145205479
Electricity,2016,-29.90431145205479
