product,flow,value
Coal and coal products,Industry,69.15515108904108
"Crude, NGL and feedstocks",Industry,1.6013439315068492
Coal and coal products,Transport,0.05906674657534247
Coal and coal products,Residential,12.292239301369865
Coal and coal products,Commercial,2.006803383561644
Coal and coal products,Other,0.1600550684931507
Gas,Industry,27.27747039726027
Combustible renewables and waste,Industry,6.26224994520548
Gas,Residential,2.6435645
Gas,Commercial,1.247661390410959
Gas,Other,0.12526769178082192
Oil Products,Industry,129.29332276027398
Oil Products,Transport,303.05767519178085
Oil Products,Residential,59.48164967808219
Oil Products,Commercial,21.576673349315072
Oil Products,Other,142.33766022602742
Electricity,Industry,98.12425997260274
Electricity,Transport,4.831042342465754
Electricity,Residential,42.38269258904109
Electricity,Commercial,29.404636397260276
Electricity,Other,5.378523054794521
Coal and coal products,Electricity output in GWh,53932.5
Gas,Electricity output in GWh,2048.0
Nuclear,Electricity output in GWh,32464.75
Hydro,Electricity output in GWh,29162.0
Combustible renewables and waste,Electricity output in GWh,565.5
Oil Products,Electricity output in GWh,7966.5
Coal and coal products,Production,259.53688965068494
"Crude, NGL and feedstocks",Production,45.26864412328768
Gas,Production,7.023425260273973
Nuclear,Production,169.90559944520547
Hydro,Production,50.36477139726028
Combustible renewables and waste,Production,8.910759684931508
Coal and coal products,Imports,112.30766939726028
"Crude, NGL and feedstocks",Imports,914.5521259931508
Gas,Imports,37.42456511643836
Coal and coal products,Exports,-0.3273698493150685
"Crude, NGL and feedstocks",Exports,-0.8525944726027396
Coal and coal products,Total Consumption,83.67331558904108
"Crude, NGL and feedstocks",Total Consumption,1.6013439315068492
Gas,Total Consumption,31.293953938356164
Combustible renewables and waste,Total Consumption,6.26224994520548
Oil Products,Imports,133.2975812671233
Electricity,Imports,6.605605219178082
Oil Products,Exports,-239.84589896575346
Electricity,Exports,-7.273980726027397
Oil Products,Total Consumption,655.7469812054794
Electricity,Total Consumption,180.12115435616437
Electricity,Production,528.6623581438356
Coal and coal products,Electricity,-256.43692219863016
Gas,Electricity,-8.841501226027399
Nuclear,Electricity,-169.90559944520547
Hydro,Electricity,-50.36477139726027
Combustible renewables and waste,Electricity,-2.6483842260273973
Oil Products,Electricity,-40.46517965068493
"Crude, NGL and feedstocks",Oil Products,-975.8848717808218
All products,Heat and Waste,358.6985203424656
All products,Industry,331.71379809589047
All products,Transport,307.9477893013699
All products,Residential,116.80015108904111
All products,Commercial,54.23577452054795
All products,Other,148.0015361643836
All products,Total Consumption,958.6989989657534
All primary,Production,541.0100895616438
All primary,Imports,1064.2843605068495
All primary,Exports,-1.179964321917808
All primary,Total Consumption,122.83086340410958
All primary,Oil Products,-975.8848717808218
All primary,Electricity,-528.6623581438356
Oil Products,Production,948.3113647739726
All products,Hydrocarbon Heat and Waste,27.573507006849127
All products,Electricity Heat and Waste,331.1250133356165
