flow,period,value
Heat and Waste,1971-1974,161.56564593835617
Industry,1971-1974,324.8729099178082
Transport,1971-1974,201.86650305479455
Residential,1971-1974,84.07051623972603
Commercial,1971-1974,19.47847089041096
Other,1971-1974,99.29715034246576
Total Consumption,1971-1974,729.585590609589
Hydrocarbon Heat and Waste,1971-1974,25.91902559589039
Electricity Heat and Waste,1971-1974,135.64662034246578
Heat and Waste,1971,133.74378246575338
Industry,1971,296.67132734246576
Transport,1971,171.14889295890413
Residential,1971,91.4405852328767
Commercial,1971,9.434071479452054
Other,1971,89.800472630137
Total Consumption,1971,658.4953496438357
Hydrocarbon Heat and Waste,1971,30.15238676712329
Electricity Heat and Waste,1971,103.5913956986301
Heat and Waste,1972,136.52942345205486
Industry,1972,296.0906507671233
Transport,1972,182.85665010958905
Residential,1972,94.90773547945206
Commercial,1972,12.115325232876712
Other,1972,95.51805336986303
Total Consumption,1972,681.4884752054795
Hydrocarbon Heat and Waste,1972,9.534843917808303
Electricity Heat and Waste,1972,126.99457953424655
Heat and Waste,1973,169.8359795068493
Industry,1973,345.4814559452055
Transport,1973,217.91889178082192
Residential,1973,72.86371438356164
Commercial,1973,27.593132328767123
Other,1973,110.13905375342466
Total Consumption,1973,773.9963084383562
Hydrocarbon Heat and Waste,1973,33.271512630136954
Electricity Heat and Waste,1973,136.56446687671234
Heat and Waste,1974,206.15339832876714
Industry,1974,361.2482056164384
Transport,1974,235.54157736986303
Residential,1974,77.0700298630137
Commercial,1974,28.77135452054795
Other,1974,101.73102161643835
Total Consumption,1974,804.3622291506849
Hydrocarbon Heat and Waste,1974,30.717359068493124
Electricity Heat and Waste,1974,175.43603926027401
Heat and Waste,1975,248.54899372602745
Industry,1975,347.53096410958904
Transport,1975,244.06719073972604
Residential,1975,81.03606191780821
Commercial,1975,34.10277479452055
Other,1975,100.26923887671234
Total Consumption,1975,807.0062103561644
Hydrocarbon Heat and Waste,1975,49.79951794520548
Electricity Heat and Waste,1975,198.74947578082197
Heat and Waste,1976,290.06707767123294
Industry,1976,372.0144895342466
Transport,1976,267.3724538082192
Residential,1976,88.46643271232875
Commercial,1976,33.96840484931507
Other,1976,109.08929734246576
Total Consumption,1976,870.9110581643836
Hydrocarbon Heat and Waste,1976,49.61994298630134
