flow,period,value
Commercial,1990,0.007671397260273973
Other,1990,0.06617082191780821
Production,1990,0.07386230136986302
Total Consumption,1990,0.07386230136986302
Commercial,1991,0.007671397260273973
Other,1991,0.06617082191780821
Production,1991,0.07386230136986302
Total Consumption,1991,0.07386230136986302
Commercial,1992,0.0163067397260274
Other,1992,0.06617082191780821
Production,1992,0.08247756164383561
Total Consumption,1992,0.08247756164383561
Commercial,1993,0.0163067397260274
Other,1993,0.06617082191780821
Production,1993,0.08247756164383561
Total Consumption,1993,0.08247756164383561
Commercial,1994,0.0163067397260274
Other,1994,0.06617082191780821
Production,1994,0.08247756164383561
Total Consumption,1994,0.08247756164383561
Commercial,1995,0.0163067397260274
Other,1995,0.06617082191780821
Production,1995,0.08247756164383561
Total Consumption,1995,0.08247756164383561
Commercial,1996,0.0163067397260274
Other,1996,0.06617082191780821
Production,1996,0.08247756164383561
Total Consumption,1996,0.08247756164383561
Commercial,1997,0.0163067397260274
Other,1997,0.06617082191780821
Production,1997,0.08247756164383561
Total Consumption,1997,0.08247756164383561
Commercial,1998,0.0163067397260274
Other,1998,0.06617082191780821
Production,1998,0.08247756164383561
Total Consumption,1998,0.08247756164383561
Commercial,1999-2002,0.01990145205479452
Other,1999-2002,0.08775917808219177
Production,1999-2002,0.10766063013698632
Total Consumption,1999-2002,0.10766063013698632
Commercial,1999,0.01917849315068493
Other,1999,0.08775917808219177
Production,1999,0.10693767123287673
Total Consumption,1999,0.10693767123287673
Commercial,2000,0.02014243835616438
Other,2000,0.08775917808219177
Production,2000,0.10790161643835616
Total Consumption,2000,0.10790161643835616
Commercial,2001,0.02014243835616438
Other,2001,0.08775917808219177
Production,2001,0.10790161643835616
Total Consumption,2001,0.10790161643835616
Commercial,2002,0.02014243835616438
Other,2002,0.08775917808219177
Production,2002,0.10790161643835616
Total Consumption,2002,0.10790161643835616
Commercial,2003,0.02014243835616438
Other,2003,0.08775917808219177
Production,2003,0.10790161643835616
Total Consumption,2003,0.10790161643835616
Commercial,2004,0.02014243835616438
Other,2004,0.08775917808219177
Production,2004,0.10790161643835616
Total Consumption,2004,0.10790161643835616
Residential,2005-2008,0.06929360273972603
Commercial,2005-2008,0.02122185616438356
Other,2005-2008,0.08775917808219177
Production,2005-2008,0.1782746369863014
Total Consumption,2005-2008,0.1782746369863014
Residential,2005,0.03835698630136986
Commercial,2005,0.02014243835616438
Other,2005,0.08775917808219177
Production,2005,0.14625860273972605
Total Consumption,2005,0.14625860273972605
Residential,2006,0.052273945205479455
Commercial,2006,0.02014243835616438
Other,2006,0.08775917808219177
Production,2006,0.16017556164383562
Total Consumption,2006,0.16017556164383562
Residential,2007,0.07864186301369863
Commercial,2007,0.02014243835616438
Other,2007,0.08775917808219177
Production,2007,0.1865434794520548
Total Consumption,2007,0.1865434794520548
Residential,2008,0.10790161643835616
Commercial,2008,0.024460109589041094
Other,2008,0.08775917808219177
Production,2008,0.22012090410958907
Total Consumption,2008,0.22012090410958907
Residential,2009,0.15250416438356165
Commercial,2009,0.03403931506849315
Other,2009,0.08775917808219177
Production,2009,0.2743026575342466
Total Consumption,2009,0.2743026575342466
Industry,2010,0.000481972602739726
Residential,2010,0.18128194520547944
Commercial,2010,0.05131000000000001
Other,2010,0.08775917808219177
Production,2010,0.320833095890411
Total Consumption,2010,0.320833095890411
Industry,2011,0.000481972602739726
Residential,2011,0.1937529863013699
Commercial,2011,0.055627671232876715
Other,2011,0.08775917808219177
Production,2011,0.33762180821917814
Total Consumption,2011,0.33762180821917814
Industry,2012,0.0014459178082191781
Residential,2012,0.20526008219178085
Commercial,2012,0.05898139726027397
Other,2012,0.08775917808219177
Production,2012,0.35344657534246576
Total Consumption,2012,0.35344657534246576
Industry,2014,0.0014459178082191781
Residential,2014,0.21052161643835615
Commercial,2014,0.06426301369863015
Other,2014,0.08775917808219177
Production,2014,0.3639897260273972
Total Consumption,2014,0.3639897260273972
Residential,2015,0.5395080821917808
Commercial,2015,0.22060287671232875
Other,2015,0.07864186301369863
Production,2015,0.8699203835616438
Total Consumption,2015,0.8387528219178081
Industry,2016,0.0014459178082191781
Residential,2016,0.21393558904109589
Commercial,2016,0.0753082191780822
Other,2016,0.0877792602739726
Production,2016,0.37844890410958903
Total Consumption,2016,0.37844890410958903
