flow,period,value
Electricity output in GWh,1989,19.0
Production,1989,0.03281430136986301
Electricity,1989,-0.03281430136986301
Electricity output in GWh,1990,20.0
Production,1990,0.0345413698630137
Electricity,1990,-0.0345413698630137
Electricity output in GWh,1991,22.0
Production,1991,0.03799550684931507
Electricity,1991,-0.03799550684931507
Electricity output in GWh,1992,111.0
Production,1992,0.191704602739726
Electricity,1992,-0.191704602739726
Electricity output in GWh,1993,125.0
Production,1993,0.21588356164383563
Electricity,1993,-0.21588356164383563
Industry,1994,0.014378849315068491
Residential,1994,0.19758868493150686
Commercial,1994,0.26998498630136986
Electricity output in GWh,1994,185.0
Production,1994,0.8014601917808218
Total Consumption,1994,0.4819525205479452
Electricity,1994,-0.3195076712328767
Industry,1995,0.014860821917808218
Residential,1995,0.20285021917808221
Commercial,1995,0.27719449315068495
Electricity output in GWh,1995,285.0
Production,1995,0.9871200547945207
Total Consumption,1995,0.4949055342465753
Electricity,1995,-0.4922145205479453
Industry,1996,0.015342794520547947
Residential,1996,0.2081318356164384
Commercial,1996,0.28438391780821914
Electricity output in GWh,1996,376.0
Production,1996,1.157236301369863
Total Consumption,1996,0.5078585479452055
Electricity,1996,-0.6493777534246575
Industry,1997,0.013434986301369864
Residential,1997,0.187989397260274
Commercial,1997,0.2570520547945206
Electricity output in GWh,1997,755.0
Production,1997,1.7623930684931506
Total Consumption,1997,0.45845635616438357
Electricity,1997,-1.3039367123287673
Industry,1998,0.015342794520547947
Residential,1998,0.20764986301369862
Commercial,1998,0.28390194520547946
Electricity output in GWh,1998,1367.0
Production,1998,2.867797232876712
Total Consumption,1998,0.506894602739726
Electricity,1998,-2.3609026301369864
Industry,1999-2002,0.004317671232876712
Residential,1999-2002,0.436280595890411
Commercial,1999-2002,0.2179620684931507
Other,1999-2002,0.01762212328767123
Electricity output in GWh,1999-2002,5915.25
Production,1999-2002,10.892585842465754
Total Consumption,1999-2002,0.6761824589041096
Electricity,1999-2002,-10.21604190410959
Industry,1999,0.0023897808219178083
Residential,1999,0.1496324109589041
Commercial,1999,0.40714635616438355
Other,1999,0.0023897808219178083
Electricity output in GWh,1999,2761.0
Production,1999,5.329994438356164
Total Consumption,1999,0.5615583287671233
Electricity,1999,-4.768436109589041
Industry,2000,0.001927890410958904
Residential,2000,0.4872341369863014
Commercial,2000,0.11653695890410959
Other,2000,0.019178493150684935
Electricity output in GWh,2000,4745.0
Production,2000,8.819817479452054
Total Consumption,2000,0.6248774794520547
Electricity,2000,-8.194939999999999
Industry,2001,0.004799643835616438
Residential,2001,0.533744493150685
Commercial,2001,0.1534681095890411
Other,2001,0.02397813698630137
Electricity output in GWh,2001,6783.0
Production,2001,12.43069597260274
Total Consumption,2001,0.7159903835616438
Electricity,2001,-11.714705589041095
Industry,2002,0.0081533698630137
Residential,2002,0.5745113424657534
Commercial,2002,0.1946968493150685
Other,2002,0.02494208219178082
Electricity output in GWh,2002,9372.0
Production,2002,16.989835479452054
Total Consumption,2002,0.8023036438356164
Electricity,2002,-16.18608591780822
Industry,2003,0.010543150684931507
Residential,2003,0.6147962191780822
Commercial,2003,0.2479347397260274
Other,2003,0.026388
Electricity output in GWh,2003,12116.0
Production,2003,21.82626989041096
Total Consumption,2003,0.899662109589041
Electricity,2003,-20.9251618630137
Industry,2004,0.015824767123287672
Residential,2004,0.7274974794520548
Commercial,2004,0.29540904109589045
Other,2004,0.027813835616438357
Electricity output in GWh,2004,18719.0
Production,2004,28.280164191780823
Total Consumption,2004,1.0665451232876713
Electricity,2004,-27.21169117808219
Industry,2005-2008,0.0338083698630137
Residential,2005-2008,1.2819868767123288
Commercial,2005-2008,0.43029108219178086
Other,2005-2008,0.038974513698630135
Electricity output in GWh,2005-2008,28546.75
Production,2005-2008,48.5340737739726
Total Consumption,2005-2008,1.785050801369863
Electricity,2005-2008,-46.74770256849315
Industry,2005,0.025906027397260275
Residential,2005,0.8176464383561645
Commercial,2005,0.35439043835616435
Other,2005,0.034059397260273974
Electricity output in GWh,2005,26211.0
Production,2005,37.87664035616438
Total Consumption,2005,1.2320023013698629
Electricity,2005,-36.64321221917808
Industry,2006,0.030203616438356163
Residential,2006,0.9859753698630137
Commercial,2006,0.4133919178082192
Other,2006,0.039822986301369864
Electricity output in GWh,2006,23745.0
Production,2006,41.9113735890411
Total Consumption,2006,1.4693738082191783
Electricity,2006,-40.44103583561644
Industry,2007,0.03452128767123288
Residential,2007,1.3293406849315068
Commercial,2007,0.45271284931506844
Other,2007,0.04028487671232876
Electricity output in GWh,2007,28400.0
Production,2007,50.36914931506849
Total Consumption,2007,1.856859698630137
Electricity,2007,-48.51084369863015
Industry,2008,0.04460254794520548
Residential,2008,1.9949850136986302
Commercial,2008,0.5006691232876713
Other,2008,0.04173079452054795
Electricity output in GWh,2008,35831.0
Production,2008,63.97913183561644
Total Consumption,2008,2.581967397260274
Electricity,2008,-61.39571852054795
Industry,2009,0.04795627397260274
Residential,2009,2.5052333424657536
Commercial,2009,0.5308727397260274
Other,2009,0.04221276712328767
Electricity output in GWh,2009,44522.0
Production,2009,80.10322402739726
Total Consumption,2009,3.1262751232876713
Electricity,2009,-76.97455912328766
Industry,2010,0.0532378904109589
Residential,2010,3.021727232876712
Commercial,2010,0.5495692602739726
Other,2010,0.0431566301369863
Electricity output in GWh,2010,51435.0
Production,2010,96.75061797260274
Total Consumption,2010,3.6676910136986303
Electricity,2010,-93.08051709589041
Industry,2011,0.03596720547945205
Residential,2011,3.3022754520547943
Commercial,2011,0.7390045753424658
Other,2011,0.03642909589041096
Electricity output in GWh,2011,51284.0
Production,2011,100.3581628219178
Total Consumption,2011,4.113696410958904
Electricity,2011,-96.24255860273973
Industry,2012,0.037413123287671234
Residential,2012,3.5813777534246576
Commercial,2012,0.7788074794520548
Other,2012,0.026849890410958907
Electricity output in GWh,2012,61615.0
Production,2012,133.78278208219177
Total Consumption,2012,4.424448246575342
Electricity,2012,-129.35642602739728
Industry,2014,0.037413123287671234
Transport,2014,0.000481972602739726
Residential,2014,3.9372141095890414
Commercial,2014,0.784089095890411
Other,2014,0.02636791780821918
Electricity output in GWh,2014,66595.0
Production,2014,146.86434189041094
Total Consumption,2014,4.785566219178082
Electricity,2014,-142.0768678630137
Residential,2015,0.21915695890410958
Electricity output in GWh,2015,280.0
Production,2015,0.7027361369863014
Total Consumption,2015,0.21915695890410958
Electricity,2015,-0.4835791780821918
Industry,2016,0.050366136986301366
Residential,2016,4.689593424657534
Commercial,2016,1.1118304657534246
Other,2016,0.03787501369863013
Electricity output in GWh,2016,62663.0
Production,2016,148.27360969863014
Total Consumption,2016,5.889685123287672
Electricity,2016,-142.3820167671233
