product,flow,value
"Crude, NGL and feedstocks",Production,15.654536438356164
Hydro,Production,1.2671139726027398
Combustible renewables and waste,Production,0.43280986301369867
"Crude, NGL and feedstocks",Total Consumption,0.31502575342465755
Combustible renewables and waste,Total Consumption,0.40850520547945207
Oil Products,Imports,8.93
Oil Products,Exports,9.38
Oil Products,Total Consumption,7.97
Electricity,Total Consumption,0.86
Electricity,Production,8.24
Hydro,Electricity,-1.27
Oil Products,Electricity,-6.97
"Crude, NGL and feedstocks",Oil Products,-6.589562191780821
All products,Heat and Waste,6.05
All products,Industry,1.2096241095890412
All products,Transport,5.100706301369863
All products,Residential,1.4788449315068495
All products,Other,3.2156931506849316
All products,Total Consumption,10.985237808219178
All primary,Production,17.354460273972602
All primary,Total Consumption,0.7235309589041097
All primary,Oil Products,-6.589562191780821
All primary,Electricity,-8.24
Oil Products,Production,9.38
All products,Hydrocarbon Heat and Waste,-2.790000000000001
All products,Electricity Heat and Waste,8.84
