flow,period,value
Heat and Waste,2010,6.05
Industry,2010,1.2096241095890412
Transport,2010,5.100706301369863
Residential,2010,1.4788449315068495
Other,2010,3.2156931506849316
Total Consumption,2010,10.985237808219178
Hydrocarbon Heat and Waste,2010,-2.790000000000001
Electricity Heat and Waste,2010,8.84
Heat and Waste,2014,4.35062610958904
Industry,2014,2.210045205479452
Transport,2014,4.518774301369863
Residential,2014,2.148633863013699
Commercial,2014,0.9484819178082191
Other,2014,2.243642712328767
Total Consumption,2014,12.069578
Hydrocarbon Heat and Waste,2014,0.3632065205479442
Electricity Heat and Waste,2014,3.987419589041096
Heat and Waste,2015,35.36012082191783
Industry,2015,49.62877915068493
Transport,2015,22.683940136986305
Residential,2015,8.142565643835615
Commercial,2015,1.9916714520547947
Other,2015,194.17415002739725
Total Consumption,2015,276.62110641095893
Hydrocarbon Heat and Waste,2015,1.3890249589041161
Electricity Heat and Waste,2015,33.971095863013716
