product,flow,value
Coal and coal products,Industry,17.18589791780822
Peat,Industry,0.1795950410958904
Coal and coal products,Residential,0.6028473150684931
Coal and coal products,Commercial,0.3988122465753425
Coal and coal products,Other,1.303153506849315
Combustible renewables and waste,Industry,68.6479602739726
Combustible renewables and waste,Residential,20.198708657534247
Combustible renewables and waste,Commercial,0.2009424109589041
Combustible renewables and waste,Other,0.10023021917808218
Oil Products,Industry,52.96589720547946
Oil Products,Transport,119.39206419178083
Oil Products,Residential,75.23080232876713
Oil Products,Commercial,0.5074769863013698
Oil Products,Other,46.01780024657535
Electricity,Industry,80.38813008219178
Electricity,Transport,4.2520426301369865
Electricity,Residential,58.21429769863014
Electricity,Commercial,32.08720553424658
Electricity,Other,2.2676409315068495
Heat,Industry,3.79718098630137
Heat,Residential,23.002704767123287
Heat,Commercial,11.006928821917809
Coal and coal products,Electricity output in GWh,1026.0
Peat,Electricity output in GWh,2.0
Nuclear,Electricity output in GWh,50926.0
Hydro,Electricity output in GWh,67906.0
Solar/Wind/Other,Electricity output in GWh,5.0
Combustible renewables and waste,Electricity output in GWh,1889.0
Oil Products,Electricity output in GWh,1514.0
Coal and coal products,Production,0.08876328767123288
Peat,Production,0.9172541095890411
"Crude, NGL and feedstocks",Production,0.26289597260273967
Nuclear,Production,266.5232984109589
Hydro,Production,117.27831309589043
Solar/Wind/Other,Production,0.008635342465753424
Combustible renewables and waste,Production,102.70077057534247
Coal and coal products,Imports,54.23973071232877
"Crude, NGL and feedstocks",Imports,279.0031555890411
Coal and coal products,Exports,-3.0498423013698632
"Crude, NGL and feedstocks",Exports,-2.695170712328767
Coal and coal products,Total Consumption,19.49073106849315
Peat,Total Consumption,0.1795950410958904
Combustible renewables and waste,Total Consumption,89.14784156164384
Oil Products,Imports,160.2418730410959
Electricity,Imports,9.88228591780822
Oil Products,Exports,-132.1669890136986
Electricity,Exports,-9.215637479452054
Oil Products,Total Consumption,294.1140208767123
Electricity,Total Consumption,177.2093168767123
Electricity,Production,419.4334644657535
Coal and coal products,Electricity,-14.343424328767124
Peat,Electricity,-0.04363860273972603
Nuclear,Electricity,-266.5232984109589
Hydro,Electricity,-117.27831309589041
Solar/Wind/Other,Electricity,-0.008635342465753424
Combustible renewables and waste,Electricity,-7.42553098630137
Oil Products,Electricity,-13.810623698630137
"Crude, NGL and feedstocks",Oil Products,-291.2132286027397
All products,Heat and Waste,234.28204238356165
All products,Industry,223.1646615068493
All products,Transport,123.64408673972602
All products,Residential,177.24936076712328
All products,Commercial,44.201366
All products,Other,49.68886506849314
All products,Total Consumption,580.1415054246575
All primary,Production,487.77993079452057
All primary,Imports,333.2428863013699
All primary,Exports,-5.74501301369863
All primary,Total Consumption,108.81816767123289
All primary,Oil Products,-291.2132286027397
All primary,Electricity,-419.4334644657535
Oil Products,Production,280.87431380821914
All products,Hydrocarbon Heat and Waste,10.338914794520576
All products,Electricity Heat and Waste,223.94312758904107
