flow,period,value
Imports,1971-1974,221.27712123972606
Exports,1971-1974,-0.11628091095890412
Oil Products,1971-1974,-221.44395906849317
Imports,1971,240.87293739726027
Oil Products,1971,-233.4107564109589
Imports,1972,226.5350356712329
Oil Products,1972,-230.05377706849316
Imports,1973,214.4822865479452
Oil Products,1973,-216.36300389041094
Imports,1974,203.21822534246576
Exports,1974,-0.4651236438356165
Oil Products,1974,-205.9482989041096
Imports,1975,249.1844946849315
Exports,1975,-0.20222767123287672
Oil Products,1975,-234.68685920547944
Production,1976,0.060668301369863016
Imports,1976,274.44267057534245
Oil Products,1976,-297.44007364383566
Production,1977,0.020222767123287667
Imports,1977,288.94237452054796
Oil Products,1977,-304.3188669589041
Production,1978,0.020222767123287667
Imports,1978,316.2955045753425
Exports,1978,-2.567849616438356
Oil Products,1978,-316.6770260547945
Production,1979,0.020222767123287667
Imports,1979,323.94792416438355
Exports,1979,-4.65455
Oil Products,1979,-327.5519947945205
Production,1980,0.5055691780821918
Imports,1980,361.96666610958897
Exports,1980,-3.8593353698630137
Oil Products,1980,-358.0355971506849
Production,1981,0.12133660273972603
Imports,1981,298.1437134794521
Exports,1981,-2.0333018356164385
Oil Products,1981,-284.0351102191781
Production,1982,0.2831187397260274
Imports,1982,272.8479035616438
Exports,1982,-4.038107041095891
Oil Products,1982,-263.4439754520548
Production,1983,0.4651236438356165
Imports,1983,302.0408836986301
Exports,1983,-3.1196078356164385
Oil Products,1983,-295.2588062191781
Production,1984-1987,0.1466150616438356
Imports,1984-1987,303.59809199315066
Exports,1984-1987,-6.65687505479452
Oil Products,1984-1987,-309.4903878013699
Production,1984,0.26289597260273967
Imports,1984,279.0031555890411
Exports,1984,-2.695170712328767
Oil Products,1984,-291.2132286027397
Production,1985,0.16178213698630134
Imports,1985,291.511168
Exports,1985,-5.275210219178082
Oil Products,1985,-287.26966852054795
Production,1986,0.08089106849315067
Imports,1986,332.06197309589044
Exports,1986,-10.20215506849315
Oil Products,1986,-327.438249260274
Production,1987,0.08089106849315067
Imports,1987,311.81607128767126
Exports,1987,-8.454964219178082
Oil Products,1987,-332.04040482191783
Production,1988,0.060668301369863016
Imports,1988,312.0168128767123
Exports,1988,-15.753053616438356
Oil Products,1988,-319.98207284931505
Production,1989,0.060668301369863016
Imports,1989,340.3831095890411
Exports,1989,-13.20966410958904
Oil Products,1989,-344.5370507123288
Production,1990,0.060668301369863016
Imports,1990,352.2402782465754
Exports,1990,-7.979417917808219
Oil Products,1990,-365.9348871232877
Production,1991,0.040445534246575335
Imports,1991,338.46052087671234
Exports,1991,-10.123794356164384
Oil Products,1991,-361.60510632876714
Production,1992,0.020222767123287667
Imports,1992,352.78607205479454
Exports,1992,-8.275529835616439
Oil Products,1992,-417.2509318630137
Imports,1993,370.2202661917808
Exports,1993,-9.523617972602741
Oil Products,1993,-431.22285572602743
Production,1994,0.10111383561643836
Imports,1994,367.770660520548
Exports,1994,-0.06366054794520548
Oil Products,1994,-411.455532630137
Production,1995,0.08089106849315067
Imports,1995,373.71537084931515
Exports,1995,-13.87498712328767
Oil Products,1995,-412.899442219178
Imports,1996,392.4121725479452
Exports,1996,-9.380050383561645
Oil Products,1996,-437.29093095890414
Imports,1997,414.1768302739726
Exports,1997,-8.531176136986302
Oil Products,1997,-457.69176687671234
Imports,1998,409.40421706849315
Exports,1998,-8.361401287671233
Oil Products,1998,-452.6321189041096
Imports,1999-2002,401.36223308219184
Exports,1999-2002,-10.255458226027399
Oil Products,1999-2002,-438.3848782328767
Imports,1999,398.39509928767126
Exports,1999,-9.316389835616437
Oil Products,1999,-458.69682032876716
Imports,2000,422.781025260274
Exports,2000,-11.841785698630138
Oil Products,2000,-457.4350160547945
Imports,2001,405.412399479452
Exports,2001,-11.374914904109588
Oil Products,2001,-432.9512094794521
Imports,2002,378.86040830136994
Exports,2002,-8.488742465753425
Oil Products,2002,-404.45646706849317
Imports,2003,414.73959353424664
Exports,2003,-4.902243753424657
Oil Products,2003,-410.93223087671237
Imports,2004,424.4035659452055
Exports,2004,-5.45402205479452
Oil Products,2004,-432.4244736712329
Imports,2005-2008,406.1745538013699
Exports,2005-2008,-11.366671164383563
Oil Products,2005-2008,-415.313863890411
Imports,2005,415.3496101917808
Exports,2005,-11.290027479452053
Oil Products,2005,-418.72293643835616
Imports,2006,399.8798761369863
Exports,2006,-11.502236
Oil Products,2006,-422.7395555342466
Imports,2007,372.90585769863014
Exports,2007,-13.315577589041094
Oil Products,2007,-380.3692837808219
Imports,2008,436.56287117808216
Exports,2008,-9.358843589041095
Oil Products,2008,-439.4236798082191
Imports,2009,393.49167068493153
Exports,2009,-7.597414465753424
Oil Products,2009,-418.80149797260276
Imports,2010,409.16823123287674
Exports,2010,-17.10480602739726
Oil Products,2010,-430.3316883835617
Imports,2011,391.3206451780822
Exports,2011,-12.06349309589041
Oil Products,2011,-403.9833507123288
Imports,2012,427.3809115342466
Exports,2012,-13.277120191780822
Oil Products,2012,-448.31133493150685
Imports,2014,354.58469339726025
Exports,2014,-13.157550821917807
Oil Products,2014,-368.3852559178082
Production,2015,4.7477514520547945
Imports,2015,1382.7964872054795
Exports,2015,-54.53076183561644
Oil Products,2015,-1343.701159041096
Imports,2016,408.65991079452056
Exports,2016,-28.076510684931506
Oil Products,2016,-427.5848060273973
