flow,period,value
Other,1971-1974,4.340404273972603
Other,1974,17.361617095890413
Other,1975,19.241009013698633
Other,1976,22.39319016438356
Other,1977,23.164326246575346
Other,1978,24.61020389041096
Other,1979,26.308815917808218
Other,1980,47.35202090410959
Other,1981,46.31041786301369
Other,1982,44.66934131506849
Other,1983,39.97442610958904
Industry,1984-1987,4.6234627671232875
Residential,1984-1987,28.00706144520548
Commercial,1984-1987,13.401740232876712
Industry,1984,3.79718098630137
Residential,1984,23.002704767123287
Commercial,1984,11.006928821917809
Industry,1985,5.056515150684931
Residential,1985,30.63014210958904
Commercial,1985,14.656867178082194
Industry,1986,4.850291123287671
Residential,1986,29.380407232876713
Commercial,1986,14.058859671232877
Industry,1987,4.789863808219178
Residential,1987,29.014991671232874
Commercial,1987,13.884305260273972
Industry,1988,4.458969534246576
Residential,1988,24.201611616438353
Commercial,1988,11.873013506849317
Industry,1989,3.370374164383562
Residential,1989,20.41690167123288
Commercial,1989,9.76964490410959
Industry,1990,3.3439861643835616
Residential,1990,20.95401997260274
Commercial,1990,9.94948093150685
Industry,1991,3.895483315068493
Residential,1991,24.410225424657536
Commercial,1991,11.591039452054792
Industry,1992,5.845865780821917
Residential,1992,36.661607506849315
Commercial,1992,22.155798575342466
Other,1992,0.08295953424657534
Industry,1993,6.55179498630137
Residential,1993,38.23649315068493
Commercial,1993,24.44139298630137
Other,1993,0.09159487671232877
Industry,1994,6.570973479452055
Residential,1994,38.549172876712326
Commercial,1994,24.442838904109593
Other,1994,0.1381052328767123
Industry,1995,6.985309260273973
Residential,1995,39.17788605479452
Commercial,1995,24.772287260273973
Other,1995,0.1414790410958904
Industry,1996,7.537770356164383
Residential,1996,43.502565972602746
Commercial,1996,27.22046709589041
Other,1996,0.1414790410958904
Industry,1997,5.384537671232877
Residential,1997,42.66716687671233
Commercial,1997,22.11215997260274
Other,1997,0.1414790410958904
Industry,1998,6.211301424657534
Residential,1998,44.063662410958905
Commercial,1998,23.21706208219178
Other,1998,0.1438688219178082
Industry,1999-2002,7.411282671232877
Residential,1999-2002,45.41435046575342
Commercial,1999-2002,23.91243809589041
Other,1999-2002,0.1438688219178082
Industry,1999,7.147412712328768
Residential,1999,44.84391580821917
Commercial,1999,23.50002016438356
Other,1999,0.1438688219178082
Industry,2000,6.9105030958904115
Residential,2000,41.774232301369864
Commercial,2000,22.4516895890411
Other,2000,0.1438688219178082
Industry,2001,7.727185589041095
Residential,2001,47.42827298630137
Commercial,2001,24.753108767123283
Other,2001,0.1438688219178082
Industry,2002,7.860029287671232
Residential,2002,47.610980767123294
Commercial,2002,24.9449338630137
Other,2002,0.1438688219178082
Industry,2003,7.652861397260274
Residential,2003,48.35191323287671
Commercial,2003,25.429778219178086
Other,2003,0.1438688219178082
Industry,2004,8.140095534246575
Residential,2004,48.981570273972594
Commercial,2004,24.873963397260273
Other,2004,0.1438688219178082
Industry,2005-2008,7.659453376712329
Residential,2005-2008,50.21825674657535
Commercial,2005-2008,24.84985974657534
Other,2005-2008,0.1438688219178082
Industry,2005,7.622175808219177
Residential,2005,50.45431789041096
Commercial,2005,25.585636109589043
Other,2005,0.1438688219178082
Industry,2006,7.787130931506849
Residential,2006,50.766033671232876
Commercial,2006,25.2278718630137
Other,2006,0.1438688219178082
Industry,2007,7.6806752328767125
Residential,2007,50.35601556164384
Commercial,2007,24.005468849315072
Other,2007,0.1438688219178082
Industry,2008,7.547831534246575
Residential,2008,49.296659863013694
Commercial,2008,24.580462164383558
Other,2008,0.1438688219178082
Industry,2009,7.6739677808219176
Residential,2009,51.87525345205479
Commercial,2009,25.841242246575337
Other,2009,0.1438688219178082
Industry,2010,9.013851616438355
Residential,2010,64.92751334246576
Commercial,2010,29.146389452054795
Other,2010,0.1438688219178082
Industry,2011,7.625529534246575
Residential,2011,50.28743487671233
Commercial,2011,24.960276657534244
Other,2011,0.1438688219178082
Industry,2012,8.172709013698631
Residential,2012,54.89507287671233
Commercial,2012,27.121662712328767
Other,2012,0.1438688219178082
Industry,2014,9.199933205479452
Residential,2014,53.08424156164384
Commercial,2014,27.042056904109586
Other,2014,0.1438688219178082
Industry,2016,10.06700191780822
Residential,2016,52.33993528767124
Commercial,2016,26.41748065753425
Other,2016,0.14388890410958904
