flow,period,value
Electricity output in GWh,1971-1974,55723.0
Production,1971-1974,96.23743764383562
Electricity,1971-1974,-96.23743764383562
Electricity output in GWh,1971,52012.0
Production,1971,89.82828646575342
Electricity,1971,-89.82828646575342
Electricity output in GWh,1972,53743.0
Production,1972,92.81784202739726
Electricity,1972,-92.81784202739726
Electricity output in GWh,1973,59872.0
Production,1973,103.40304482191782
Electricity,1973,-103.40304482191782
Electricity output in GWh,1974,57265.0
Production,1974,98.90057726027398
Electricity,1974,-98.90057726027398
Electricity output in GWh,1975,57648.0
Production,1975,99.5620444931507
Electricity,1975,-99.5620444931507
Electricity output in GWh,1976,54832.0
Production,1976,94.69861961643834
Electricity,1976,-94.69861961643834
Electricity output in GWh,1977,53495.0
Production,1977,92.38952904109588
Electricity,1977,-92.38952904109588
Electricity output in GWh,1978,57753.0
Production,1978,99.74338668493151
Electricity,1978,-99.74338668493151
Electricity output in GWh,1979,61080.0
Production,1979,105.48934356164384
Electricity,1979,-105.48934356164384
Electricity output in GWh,1980,58868.0
Production,1980,101.66906805479454
Electricity,1980,-101.66906805479454
Electricity output in GWh,1981,59753.0
Production,1981,103.19752367123289
Electricity,1981,-103.19752367123286
Electricity output in GWh,1982,55066.0
Production,1982,95.10275364383563
Electricity,1982,-95.10275364383563
Electricity output in GWh,1983,63544.0
Production,1983,109.74484032876711
Electricity,1983,-109.74484032876711
Electricity output in GWh,1984-1987,67917.25
Production,1984-1987,117.29774261643834
Electricity,1984-1987,-117.29774261643834
Electricity output in GWh,1984,67906.0
Production,1984,117.27831309589043
Electricity,1984,-117.27831309589041
Electricity output in GWh,1985,70988.0
Production,1985,122.60113819178082
Electricity,1985,-122.60113819178082
Electricity output in GWh,1986,60927.0
Production,1986,105.22510208219177
Electricity,1986,-105.22510208219178
Electricity output in GWh,1987,71848.0
Production,1987,124.08641709589041
Electricity,1987,-124.08641709589041
Electricity output in GWh,1988,69878.0
Production,1988,120.68409216438356
Electricity,1988,-120.68409216438356
Electricity output in GWh,1989,71746.0
Production,1989,123.91025610958903
Electricity,1989,-123.91025610958904
Electricity output in GWh,1990,72503.0
Production,1990,125.21764695890411
Electricity,1990,-125.21764695890411
Electricity output in GWh,1991,63236.0
Production,1991,109.21290323287671
Electricity,1991,-109.21290323287671
Electricity output in GWh,1992,74332.0
Production,1992,128.3764552328767
Electricity,1992,-128.37645523287674
Electricity output in GWh,1993,74651.0
Production,1993,128.92739008219178
Electricity,1993,-128.92739008219178
Electricity output in GWh,1994,59100.0
Production,1994,102.06974794520549
Electricity,1994,-102.06974794520548
Electricity output in GWh,1995,68102.0
Production,1995,117.61681852054795
Electricity,1995,-117.61681852054795
Electricity output in GWh,1996,51740.0
Production,1996,89.35852383561645
Electricity,1996,-89.35852383561644
Electricity output in GWh,1997,69056.0
Production,1997,119.2644418630137
Electricity,1997,-119.26444186301369
Electricity output in GWh,1998,75000.0
Production,1998,129.53013698630136
Electricity,1998,-129.53013698630136
Electricity output in GWh,1999-2002,73923.75
Production,1999-2002,127.67137952054796
Electricity,1999-2002,-127.67137952054796
Electricity output in GWh,1999,71691.0
Production,1999,123.81526734246576
Electricity,1999,-123.81526734246576
Electricity output in GWh,2000,78584.0
Production,2000,135.71995046575344
Electricity,2000,-135.7199504657534
Electricity output in GWh,2001,79060.0
Production,2001,136.54203506849313
Electricity,2001,-136.54203506849313
Electricity output in GWh,2002,66360.0
Production,2002,114.60826520547944
Electricity,2002,-114.60826520547944
Electricity output in GWh,2003,53540.0
Production,2003,92.46724712328768
Electricity,2003,-92.46724712328766
Electricity output in GWh,2004,60123.0
Production,2004,103.83653901369864
Electricity,2004,-103.83653901369864
Electricity output in GWh,2005-2008,67438.5
Production,2005-2008,116.47090857534248
Electricity,2005-2008,-116.47090857534248
Electricity output in GWh,2005,72803.0
Production,2005,125.7357675068493
Electricity,2005,-125.73576750684931
Electricity output in GWh,2006,61723.0
Production,2006,106.59984860273973
Electricity,2006,-106.59984860273973
Electricity output in GWh,2007,66159.0
Production,2007,114.26112443835616
Electricity,2007,-114.26112443835616
Electricity output in GWh,2008,69069.0
Production,2008,119.28689375342466
Electricity,2008,-119.28689375342466
Electricity output in GWh,2009,65852.0
Production,2009,113.7309144109589
Electricity,2009,-113.73091441095889
Electricity output in GWh,2010,1333.4173698630138
Production,2010,114.67389380821918
Electricity,2010,-114.67389380821919
Electricity output in GWh,2011,66434.0
Production,2011,114.73606827397259
Electricity,2011,-114.73606827397259
Electricity output in GWh,2012,78932.0
Production,2012,136.32097030136987
Electricity,2012,-136.32097030136987
Electricity output in GWh,2014,61361.0
Production,2014,105.9746498082192
Electricity,2014,-105.97464980821917
Electricity output in GWh,2015,28140.0
Production,2015,48.59970739726027
Electricity,2015,-48.599707397260275
Electricity output in GWh,2016,62018.0
Production,2016,107.09005490410959
Electricity,2016,-107.09005490410958
