flow,period,value
Electricity output in GWh,1983,3.0
Production,1983,0.005181205479452055
Electricity,1983,-0.005181205479452055
Electricity output in GWh,1984-1987,5.75
Production,1984-1987,0.009930643835616438
Electricity,1984-1987,-0.009930643835616438
Electricity output in GWh,1984,5.0
Production,1984,0.008635342465753424
Electricity,1984,-0.008635342465753424
Electricity output in GWh,1985,6.0
Production,1985,0.01036241095890411
Electricity,1985,-0.01036241095890411
Electricity output in GWh,1986,6.0
Production,1986,0.01036241095890411
Electricity,1986,-0.01036241095890411
Electricity output in GWh,1987,6.0
Production,1987,0.01036241095890411
Electricity,1987,-0.01036241095890411
Electricity output in GWh,1988,5.0
Production,1988,0.008635342465753424
Electricity,1988,-0.008635342465753424
Residential,1989,0.0570735890410959
Electricity output in GWh,1989,5.0
Production,1989,0.06570893150684931
Total Consumption,1989,0.0570735890410959
Electricity,1989,-0.008635342465753424
Residential,1990,0.06378104109589042
Electricity output in GWh,1990,6.0
Production,1990,0.07414345205479453
Total Consumption,1990,0.06378104109589042
Electricity,1990,-0.01036241095890411
Residential,1991,0.07097046575342465
Electricity output in GWh,1991,13.0
Production,1991,0.09342235616438357
Total Consumption,1991,0.07097046575342465
Electricity,1991,-0.022451890410958908
Residential,1992,0.0781598904109589
Electricity output in GWh,1992,31.0
Production,1992,0.13169901369863013
Total Consumption,1992,0.0781598904109589
Electricity,1992,-0.05353912328767123
Residential,1993,0.07912383561643835
Other,1993,0.004799643835616438
Electricity output in GWh,1993,49.0
Production,1993,0.16854983561643838
Total Consumption,1993,0.0839234794520548
Electricity,1993,-0.08462635616438358
Residential,1994,0.08153369863013699
Other,1994,0.0081533698630137
Electricity output in GWh,1994,73.0
Production,1994,0.21576306849315066
Total Consumption,1994,0.08968706849315068
Electricity,1994,-0.126076
Residential,1995,0.09352276712328766
Other,1995,0.0023897808219178083
Electricity output in GWh,1995,100.0
Production,1995,0.268619397260274
Total Consumption,1995,0.09591254794520548
Electricity,1995,-0.1727068493150685
Residential,1996,0.07673405479452056
Other,1996,0.0067074520547945205
Electricity output in GWh,1996,145.0
Production,1996,0.33386643835616436
Total Consumption,1996,0.08344150684931508
Electricity,1996,-0.2504249315068493
Residential,1997,0.08247756164383561
Other,1997,0.007189424657534246
Electricity output in GWh,1997,204.0
Production,1997,0.44200904109589045
Total Consumption,1997,0.08968706849315068
Electricity,1997,-0.35232197260273973
Residential,1998,0.08824115068493152
Other,1998,0.007671397260273973
Electricity output in GWh,1998,318.0
Production,1998,0.6451203287671233
Total Consumption,1998,0.09591254794520548
Electricity,1998,-0.5492077808219178
Residential,1999-2002,0.08260307534246575
Other,1999-2002,0.008755835616438355
Electricity output in GWh,1999-2002,477.75
Production,1999-2002,0.9164658835616439
Total Consumption,1999-2002,0.0913589109589041
Electricity,1999-2002,-0.8251069726027397
Residential,1999,0.08824115068493152
Other,1999,0.007671397260273973
Electricity output in GWh,1999,359.0
Production,1999,0.7159301369863014
Total Consumption,1999,0.09591254794520548
Electricity,1999,-0.6200175890410959
Residential,2000,0.098784301369863
Other,2000,0.0081533698630137
Electricity output in GWh,2000,458.0
Production,2000,0.8979350410958904
Total Consumption,2000,0.10693767123287673
Electricity,2000,-0.7909973698630137
Residential,2001,0.06713476712328767
Other,2001,0.009599287671232876
Electricity output in GWh,2001,484.0
Production,2001,0.9126352054794521
Total Consumption,2001,0.07673405479452056
Electricity,2001,-0.8359011506849315
Residential,2002,0.07625208219178083
Other,2002,0.009599287671232876
Electricity output in GWh,2002,610.0
Production,2002,1.1393631506849315
Total Consumption,2002,0.08585136986301371
Electricity,2002,-1.0535117808219179
Residential,2003,0.08585136986301371
Other,2003,0.009599287671232876
Electricity output in GWh,2003,681.0
Production,2003,1.271564219178082
Total Consumption,2003,0.09543057534246575
Electricity,2003,-1.1761336438356165
Residential,2004,0.09591254794520548
Electricity output in GWh,2004,852.0
Production,2004,1.5673749041095892
Total Consumption,2004,0.09591254794520548
Electricity,2004,-1.4714623561643838
Residential,2005-2008,0.14914039726027398
Electricity output in GWh,2005-2008,1340.0
Production,2005-2008,2.463412178082192
Total Consumption,2005-2008,0.14914039726027398
Electricity,2005-2008,-2.314271780821918
Residential,2005,0.11844476712328768
Electricity output in GWh,2005,938.0
Production,2005,1.7384350136986302
Total Consumption,2005,0.11844476712328768
Electricity,2005,-1.6199902465753426
Residential,2006,0.11557301369863014
Electricity output in GWh,2006,989.0
Production,2006,1.8236437534246575
Total Consumption,2006,0.11557301369863014
Electricity,2006,-1.7080707397260275
Residential,2007,0.172646602739726
Electricity output in GWh,2007,1433.0
Production,2007,2.6475357534246577
Total Consumption,2007,0.172646602739726
Electricity,2007,-2.4748891506849318
Residential,2008,0.18989720547945205
Electricity output in GWh,2008,2000.0
Production,2008,3.644034191780822
Total Consumption,2008,0.18989720547945205
Electricity,2008,-3.45413698630137
Residential,2009,0.19853254794520545
Electricity output in GWh,2009,2492.0
Production,2009,4.502387232876713
Total Consumption,2009,0.19853254794520545
Electricity,2009,-4.303854684931507
Residential,2010,0.2071678904109589
Electricity output in GWh,2010,70.50857534246576
Production,2010,6.270905369863013
Total Consumption,2010,0.2071678904109589
Electricity,2010,-6.0637374794520555
Residential,2011,0.2210848493150685
Electricity output in GWh,2011,6089.0
Production,2011,10.73720490410959
Total Consumption,2011,0.2210848493150685
Electricity,2011,-10.51612005479452
Residential,2012,0.22251068493150686
Electricity output in GWh,2012,7184.0
Production,2012,12.629770739726027
Total Consumption,2012,0.22251068493150686
Electricity,2012,-12.40726005479452
Residential,2014,0.22443857534246575
Electricity output in GWh,2014,9877.0
Production,2014,17.282694082191778
Total Consumption,2014,0.22443857534246575
Electricity,2014,-17.058255506849317
Industry,2015,0.04699232876712329
Transport,2015,0.0014459178082191781
Residential,2015,4.4407549863013696
Commercial,2015,1.0488125479452055
Other,2015,0.030203616438356166
Electricity output in GWh,2015,63400.0
Production,2015,149.13431235616437
Total Consumption,2015,5.568209397260275
Electricity,2015,-143.56467712328768
Residential,2016,0.22447873972602742
Electricity output in GWh,2016,15622.0
Production,2016,27.199882849315074
Total Consumption,2016,0.22447873972602742
Electricity,2016,-26.975404109589043
