product,flow,value
Coal and coal products,Industry,2.440081691780822
Coal and coal products,Residential,6.235103842465753
Gas,Industry,0.67679998630137
Gas,Residential,1.3544685273972603
Combustible renewables and waste,Residential,4.479116993150686
Gas,Commercial,0.014132842465753423
Oil Products,Industry,53.82027899315069
Oil Products,Transport,65.0034842739726
Oil Products,Other,131.02970436986303
Electricity,Industry,19.02754535616438
Electricity,Transport,3.4662264657534245
Electricity,Residential,12.103296
Electricity,Commercial,13.568713616438355
Electricity,Other,0.5569795890410959
Nuclear,Electricity output in GWh,4652.0
Hydro,Electricity output in GWh,26754.25
Oil Products,Electricity output in GWh,2838.5
Nuclear,Production,24.346429321917807
Hydro,Production,46.20642223287671
Combustible renewables and waste,Production,4.452739034246576
Coal and coal products,Imports,6.445755993150685
"Crude, NGL and feedstocks",Imports,118.83576237671232
Gas,Imports,3.045886109589041
Combustible renewables and waste,Imports,0.02637795890410959
Coal and coal products,Exports,-0.5778550273972604
Coal and coal products,Total Consumption,8.67519055479452
Gas,Total Consumption,2.045406376712329
Combustible renewables and waste,Total Consumption,4.479116993150686
Oil Products,Imports,170.42026585616438
Electricity,Imports,12.094660657534249
Oil Products,Exports,-3.4263934383561643
Electricity,Exports,-15.674441876712327
Oil Products,Total Consumption,249.8534676369863
Electricity,Total Consumption,48.72276102739726
Electricity,Production,79.08027734246575
Nuclear,Electricity,-24.346429321917807
Hydro,Electricity,-46.20642223287671
Oil Products,Electricity,-8.527425787671232
"Crude, NGL and feedstocks",Oil Products,-118.64399250684933
All products,Heat and Waste,29.194651979452047
All products,Industry,75.96469598630135
All products,Transport,68.46970571917808
All products,Residential,24.171985363013704
All products,Commercial,13.58284645890411
All products,Other,131.586694
All products,Total Consumption,313.7759425890411
All primary,Production,75.00559058904109
All primary,Imports,128.35378243835615
All primary,Exports,-0.5778550273972604
All primary,Total Consumption,15.199713924657534
All primary,Oil Products,-118.64399250684933
All primary,Electricity,-79.08027734246575
Oil Products,Production,114.14811692465754
All products,Hydrocarbon Heat and Waste,4.495875582191786
All products,Electricity Heat and Waste,24.69877639726026
