product,flow,value
Coal and coal products,Industry,2.5584511506849315
Coal and coal products,Residential,7.652339260273973
Gas,Industry,0.11910747945205478
Gas,Residential,0.13334575342465754
Combustible renewables and waste,Residential,4.637379726027397
Oil Products,Industry,53.45369364383562
Oil Products,Transport,62.670556136986306
Oil Products,Other,127.36085863013699
Electricity,Industry,18.379462904109587
Electricity,Transport,3.481770082191781
Electricity,Residential,12.025577917808219
Electricity,Commercial,11.77515298630137
Electricity,Other,0.5233017534246576
Nuclear,Electricity output in GWh,1391.0
Hydro,Electricity output in GWh,26875.0
Oil Products,Electricity output in GWh,2915.0
Nuclear,Production,7.279854767123287
Hydro,Production,46.41496575342466
Combustible renewables and waste,Production,4.637379726027397
Coal and coal products,Imports,8.36595994520548
"Crude, NGL and feedstocks",Imports,111.29723391780823
Gas,Imports,0.8752220821917809
Coal and coal products,Exports,-0.2564295068493151
Coal and coal products,Total Consumption,10.210790410958904
Gas,Total Consumption,0.25247331506849313
Combustible renewables and waste,Total Consumption,4.637379726027397
Oil Products,Imports,167.41386635616436
Electricity,Imports,11.870141753424658
Oil Products,Exports,-2.7793150958904107
Electricity,Exports,-13.735375726027396
Oil Products,Total Consumption,243.4851084109589
Electricity,Total Consumption,46.18526564383562
Electricity,Production,61.70189161643836
Nuclear,Electricity,-7.279854767123287
Hydro,Electricity,-46.41496575342466
Oil Products,Electricity,-8.007071095890412
"Crude, NGL and feedstocks",Oil Products,-111.00698600000001
All products,Heat and Waste,16.598453643835626
All products,Industry,74.5107151780822
All products,Transport,66.15232621917808
All products,Residential,24.44864265753425
All products,Commercial,11.77515298630137
All products,Other,127.88416038356164
All products,Total Consumption,304.7710175068493
All primary,Production,58.33220024657535
All primary,Imports,120.53841594520549
All primary,Exports,-0.2564295068493151
All primary,Total Consumption,15.100643452054793
All primary,Oil Products,-111.00698600000001
All primary,Electricity,-61.70189161643836
Oil Products,Production,106.38294084931508
All products,Hydrocarbon Heat and Waste,4.624045150684935
All products,Electricity Heat and Waste,11.97440849315069
