flow,period,value
Production,1971-1974,75.00559058904109
Imports,1971-1974,128.35378243835615
Exports,1971-1974,-0.5778550273972604
Total Consumption,1971-1974,15.199713924657534
Oil Products,1971-1974,-118.64399250684933
Electricity,1971-1974,-79.08027734246575
Production,1971,58.33220024657535
Imports,1971,120.53841594520549
Exports,1971,-0.2564295068493151
Total Consumption,1971,15.100643452054793
Oil Products,1971,-111.00698600000001
Electricity,1971,-61.70189161643836
Production,1972,66.78278654794521
Imports,1972,118.75818989041096
Exports,1972,-0.5249284109589041
Total Consumption,1972,14.155796410958903
Oil Products,1972,-111.75406361643836
Electricity,1972,-72.51490679452056
Production,1973,85.95690178082191
Imports,1973,136.1649919178082
Exports,1973,-0.43056219178082195
Total Consumption,1973,15.41330309589041
Oil Products,1973,-128.27331309589042
Electricity,1973,-89.97727624657534
Production,1974,88.95047378082191
Imports,1974,137.95353200000002
Exports,1974,-1.0995
Total Consumption,1974,16.12911273972603
Oil Products,1974,-123.5416073150685
Electricity,1974,-92.12703471232876
Production,1975,102.43548482191781
Imports,1975,112.19918539726027
Exports,1975,-0.3402927397260274
Total Consumption,1975,17.1296878630137
Oil Products,1975,-97.3308929041096
Electricity,1975,-106.71574293150685
Production,1976,90.36568591780822
Imports,1976,115.88408684931505
Exports,1976,-0.013756301369863016
Total Consumption,1976,17.707231616438357
Oil Products,1976,-101.91722369863014
Electricity,1976,-95.18776156164384
Production,1977,108.01654682191779
Imports,1977,112.09106287671233
Total Consumption,1977,20.07295397260274
Oil Products,1977,-95.31773350684932
Electricity,1977,-112.29967668493151
Production,1978,106.8196481917808
Imports,1978,105.81521728767123
Total Consumption,1978,20.381496767123288
Oil Products,1978,-88.75993394520547
Electricity,1978,-110.03884361643834
Production,1979,125.44184454794521
Imports,1979,118.23161473972603
Exports,1979,-0.08103164383561644
Total Consumption,1979,22.54436890410959
Oil Products,1979,-95.88230416438356
Electricity,1979,-128.18145715068493
Production,1980,141.17033764383564
Imports,1980,123.30443663013699
Total Consumption,1980,27.18578515068493
Oil Products,1980,-95.34165139726028
Electricity,1980,-139.6510997534247
Production,1981,153.4019186849315
Imports,1981,115.33076221917808
Exports,1981,-0.013756301369863016
Total Consumption,1981,32.41460550684932
Oil Products,1981,-83.39893260273973
Electricity,1981,-150.45636320547945
Production,1982,155.1175604109589
Imports,1982,112.02252235616437
Total Consumption,1982,33.07496821917808
Oil Products,1982,-84.1093401369863
Electricity,1982,-152.02144873972603
Production,1983,156.5609478630137
Imports,1983,117.29867643835617
Total Consumption,1983,34.14492731506849
Oil Products,1983,-89.45072117808218
Electricity,1983,-153.26425526027398
Production,1984-1987,193.09751360273972
Imports,1984-1987,131.88941797945208
Exports,1984-1987,-0.12361091095890411
Total Consumption,1984-1987,50.30017200684932
Oil Products,1984-1987,-90.99499654109589
Electricity,1984-1987,-184.79031415068494
Production,1984,162.61315816438358
Imports,1984,120.83221841095893
Exports,1984,-0.0816341095890411
Total Consumption,1984,39.737416082191785
Oil Products,1984,-87.48585945205481
Electricity,1984,-158.73560824657534
Production,1986,191.71964430136987
Imports,1986,124.74900893150685
Exports,1986,-0.02751260273972603
Total Consumption,1986,40.6116541369863
Oil Products,1986,-89.09598934246576
Electricity,1986,-188.14575720547947
Production,1987,197.10568813698632
Imports,1987,122.92118808219178
Exports,1987,-0.1886721917808219
Total Consumption,1987,42.11524800000001
Oil Products,1987,-86.26283389041095
Electricity,1987,-193.41715180821916
Production,1988,198.00669575342465
Imports,1988,116.9420769589041
Exports,1988,-0.36358808219178085
Total Consumption,1988,41.5148105479452
Oil Products,1988,-82.95557805479451
Electricity,1988,-193.67338049315072
Production,1989,187.9525062739726
Imports,1989,99.49286134246574
Exports,1989,-0.25594753424657535
Total Consumption,1989,43.994539506849314
Oil Products,1989,-63.6261873150685
Electricity,1989,-183.70518295890415
Production,1990,205.87857353424658
Imports,1990,104.62566873972604
Exports,1990,-0.22287216438356167
Total Consumption,1990,55.73838435616439
Oil Products,1990,-63.611386739726036
Electricity,1990,-191.08006665753425
Production,1991,208.87114142465754
Imports,1991,139.14647443835617
Exports,1991,-0.2611086575342466
Total Consumption,1991,60.2879848219178
Oil Products,1991,-97.5097449041096
Electricity,1991,-193.424501890411
Production,1992,212.17879890410956
Imports,1992,130.87717008219178
Exports,1992,-0.18423402739726025
Total Consumption,1992,59.88487498630137
Oil Products,1992,-88.94629668493151
Electricity,1992,-198.08208430136983
Production,1993,218.02924342465755
Imports,1993,141.61427457534248
Exports,1993,-0.09591254794520548
Total Consumption,1993,61.984287397260275
Oil Products,1993,-99.18480052054795
Electricity,1993,-200.68166378082196
Production,1994,228.2775674520548
Imports,1994,143.45914520547947
Exports,1994,-0.1150910410958904
Total Consumption,1994,59.63467095890411
Oil Products,1994,-101.10999991780821
Electricity,1994,-212.1442575342466
Production,1995,225.15153331506852
Imports,1995,144.0866534520548
Exports,1995,-0.1891742465753425
Total Consumption,1995,64.71781509589042
Oil Products,1995,-96.91804320547946
Electricity,1995,-208.28731194520552
Production,1996,217.13650967123291
Imports,1996,160.40504084931507
Exports,1996,-0.10551183561643836
Total Consumption,1996,68.37652936986301
Oil Products,1996,-109.60830150684932
Electricity,1996,-199.29428556164387
Production,1997,226.57887509589042
Imports,1997,151.0399115342466
Exports,1997,-0.0863132602739726
Total Consumption,1997,64.34516994520547
Oil Products,1997,-103.13251761643835
Electricity,1997,-209.7087897260274
Production,1998,229.36855260273973
Imports,1998,153.96245282191782
Exports,1998,-0.08153369863013699
Total Consumption,1998,65.67426964383561
Oil Products,1998,-105.20399569863014
Electricity,1998,-213.72679449315066
Production,1999-2002,245.26568590410957
Imports,1999-2002,153.48615343835618
Exports,1999-2002,-0.15225815753424657
Total Consumption,1999-2002,69.65867188356165
Oil Products,1999-2002,-101.61904833561644
Electricity,1999-2002,-225.9352810136986
Production,1999,242.4745725205479
Imports,1999,156.09325369863015
Exports,1999,-0.11989068493150686
Total Consumption,1999,68.05439093150684
Oil Products,1999,-105.81276726027397
Electricity,1999,-223.93101802739727
Production,2000,241.46769158904107
Imports,2000,149.16788978082192
Exports,2000,-0.16304731506849315
Total Consumption,2000,69.07946632876711
Oil Products,2000,-96.45986799999999
Electricity,2000,-222.03333123287672
Production,2001,252.60258413698628
Imports,2001,155.39923323287672
Exports,2001,-0.1822258082191781
Total Consumption,2001,71.40309641095891
Oil Products,2001,-102.0589437260274
Electricity,2001,-232.89922282191785
Production,2002,244.51789536986306
Imports,2002,153.2842370410959
Exports,2002,-0.1438688219178082
Total Consumption,2002,70.0977338630137
Oil Products,2002,-102.14461435616438
Electricity,2002,-224.87755197260276
Production,2004,242.45244194520544
Imports,2004,165.45061120547945
Exports,2004,-0.21580323287671233
Total Consumption,2004,75.67538189041096
Oil Products,2004,-108.3736483561644
Electricity,2004,-221.1803401369863
Production,2005-2008,244.74594873972603
Imports,2005-2008,163.40698712328765
Exports,2005-2008,-0.20536551369863015
Total Consumption,2005-2008,79.22454278767124
Oil Products,2005-2008,-105.1086454520548
Electricity,2005-2008,-221.80277763013697
Production,2005,221.06904463013703
Imports,2005,159.0552564931507
Exports,2005,-0.19662473972602743
Total Consumption,2005,78.93970200000001
Oil Products,2005,-101.13530347945206
Electricity,2005,-198.77690805479452
Production,2006,246.45187068493152
Imports,2006,173.026758630137
Exports,2006,-0.3035222465753425
Total Consumption,2006,78.09390032876712
Oil Products,2006,-114.664656
Electricity,2006,-223.98417558904106
Production,2007,254.3303354246575
Imports,2007,155.27145024657534
Exports,2007,-0.14866846575342466
Total Consumption,2007,77.47111139726027
Oil Products,2007,-98.71021816438356
Electricity,2007,-231.797413369863
Production,2008,257.1325442191781
Imports,2008,166.27448312328767
Exports,2008,-0.172646602739726
Total Consumption,2008,82.39345742465753
Oil Products,2008,-105.92440416438356
Electricity,2008,-232.65261350684932
Production,2009,256.76094334246574
Imports,2009,158.0923957260274
Exports,2009,-0.2877376438356164
Total Consumption,2009,81.76187249315069
Oil Products,2009,-100.73976463013697
Electricity,2009,-230.5372156712329
Production,2010,253.7351595068493
Imports,2010,157.83566498630134
Exports,2010,-0.2877376438356164
Total Consumption,2010,90.04774465753425
Oil Products,2010,-94.20656575342467
Electricity,2010,-225.51718986301367
Production,2011,247.62922934246572
Imports,2011,149.08047200000001
Exports,2011,-0.16931295890410958
Total Consumption,2011,81.0372467671233
Oil Products,2011,-92.02481635616437
Electricity,2011,-222.16183717808224
Production,2012,255.61599734246573
Imports,2012,133.71006446575345
Exports,2012,-0.1566009315068493
Total Consumption,2012,88.31443060273973
Oil Products,2012,-71.57174665753425
Electricity,2012,-227.39603956164387
Production,1985,220.9515638082192
Imports,1985,159.0552564931507
Exports,1985,-0.19662473972602743
Total Consumption,1985,78.73636980821918
Oil Products,1985,-101.13530347945206
Electricity,1985,-198.86273934246577
Production,2014,260.06996641095895
Imports,2014,167.8764797260274
Exports,2014,-0.11970994520547945
Total Consumption,2014,92.0780944109589
Oil Products,2014,-102.22777471232877
Electricity,2014,-231.15881975342467
Production,2015,678.6241521917809
Imports,2015,487.28665191780823
Exports,2015,-27.192151205479455
Total Consumption,2015,160.2870981369863
Oil Products,2015,-430.236920520548
Electricity,2015,-555.8647462465754
Production,2016,232.9408130410959
Imports,2016,127.08687728767121
Exports,2016,-0.48147054794520544
Total Consumption,2016,93.82733364383563
Oil Products,2016,-62.32068419178082
Electricity,2016,-202.05841852054795
