flow,period,value
Industry,1978,0.27910230136986297
Residential,1978,1.0257782739726027
Commercial,1978,1.459794602739726
Industry,1979,0.282938
Residential,1979,1.0320238356164384
Commercial,1979,1.598381808219178
Industry,1980,0.5462155342465753
Residential,1980,1.0358595342465753
Commercial,1980,2.218459643835616
Industry,1981,0.5946537808219178
Residential,1981,1.0660631506849314
Commercial,1981,2.331160904109589
Industry,1982,0.7629827123287671
Residential,1982,1.146632904109589
Commercial,1982,2.1364439726027395
Industry,1983,0.7625007397260274
Residential,1983,1.405110794520548
Commercial,1983,1.9614075890410958
Industry,1984-1987,1.436288397260274
Residential,1984-1987,1.9913852808219181
Commercial,1984-1987,2.034546931506849
Industry,1984,0.8056573698630138
Residential,1984,1.5633785479452056
Commercial,1984,2.047740931506849
Industry,1986,0.930347698630137
Residential,1986,1.740804712328767
Commercial,1986,2.0573201369863012
Industry,1987,1.0646373150684931
Residential,1987,2.0669194246575344
Commercial,1987,2.263544164383562
Industry,1988,1.0118813972602738
Residential,1988,1.9614075890410958
Commercial,1988,2.1676316164383564
Industry,1989,1.0118813972602738
Residential,1989,1.9949850136986302
Commercial,1989,2.16283197260274
Industry,1990,0.9495261917808218
Residential,1990,2.1292545479452056
Commercial,1990,1.9182509589041097
Industry,1991,0.9941287397260273
Residential,1991,2.2256490684931505
Commercial,1991,2.005046191780822
Industry,1992,0.9212303835616438
Residential,1992,2.0606738630136983
Commercial,1992,1.854469917808219
Industry,1993,1.2166595068493151
Residential,1993,1.9628535068493151
Commercial,1993,2.244345589041096
Industry,1994,1.5331548493150684
Residential,1994,2.16283197260274
Commercial,1994,1.7134728493150682
Industry,1995,1.8060316712328766
Residential,1995,2.3258792876712326
Commercial,1995,1.6084630684931507
Industry,1996,1.2180853424657534
Residential,1996,2.4745477534246576
Commercial,1996,2.292301863013699
Industry,1997,1.443005890410959
Residential,1997,2.6327954246575342
Commercial,1997,2.14891501369863
Industry,1998,1.5048590410958904
Residential,1998,2.6855513424657538
Commercial,1998,2.163795917808219
Industry,1999-2002,2.8167131575342466
Residential,1999-2002,2.3690359178082194
Commercial,1999-2002,1.426217178082192
Industry,1999,2.723908328767123
Residential,1999,2.436170684931507
Commercial,1999,1.174928712328767
Industry,2000,2.7263181917808224
Residential,2000,2.196389315068493
Commercial,2000,1.4458776438356167
Industry,2001,2.838537479452055
Residential,2001,2.4217918356164385
Commercial,2001,1.6165963561643832
Industry,2002,2.978088630136986
Residential,2002,2.4217918356164385
Commercial,2002,1.467466
Industry,2004,2.7814638904109588
Residential,2004,2.6423947123287674
Commercial,2004,1.9230506027397258
Industry,2005-2008,3.0704014452054795
Residential,2005-2008,2.783863712328767
Commercial,2005-2008,1.8007600958904109
Industry,2005,3.045223397260274
Residential,2005,2.8054420273972602
Commercial,2005,1.8271380547945206
Industry,2006,3.054822684931507
Residential,2006,2.8102416712328773
Commercial,2006,1.8319376986301368
Industry,2007,2.9397115616438354
Residential,2007,2.704729835616438
Commercial,2007,1.7647828493150686
Industry,2008,3.2418481369863015
Residential,2008,2.8150413150684925
Commercial,2008,1.7791817808219177
Industry,2009,3.0788008219178087
Residential,2009,2.862997589041096
Commercial,2009,1.7600032876712328
Industry,2010,3.0212452602739726
Residential,2010,3.3137825479452054
Commercial,2010,1.9422290958904112
Industry,2011,3.045223397260274
Residential,2011,2.8150413150684925
Commercial,2011,1.7456043561643835
Industry,2012,3.126757095890411
Residential,2012,3.107558520547945
Commercial,2012,1.860695397260274
Industry,1985,2.944511205479452
Residential,1985,2.5944384383561645
Commercial,1985,1.769582493150685
Industry,2014,3.0788008219178087
Residential,2014,3.4336732328767123
Commercial,2014,2.0669194246575344
Industry,2015,9.681885726027398
Residential,2015,49.638097287671236
Commercial,2015,24.718587479452058
Other,2015,0.1438688219178082
Industry,2016,3.4458430410958902
Residential,2016,3.7115706027397257
Commercial,2016,2.490854493150685
