flow,period,value
Electricity output in GWh,1971-1974,4652.0
Production,1971-1974,24.346429321917807
Electricity,1971-1974,-24.346429321917807
Electricity output in GWh,1971,1391.0
Production,1971,7.279854767123287
Electricity,1971,-7.279854767123287
Electricity output in GWh,1972,3840.0
Production,1972,20.096791534246577
Electricity,1972,-20.096791534246577
Electricity output in GWh,1973,6310.0
Production,1973,33.02363813698631
Electricity,1973,-33.02363813698631
Electricity output in GWh,1974,7067.0
Production,1974,36.98543284931507
Electricity,1974,-36.98543284931507
Electricity output in GWh,1975,7761.0
Production,1975,40.617518136986305
Electricity,1975,-40.617518136986305
Electricity output in GWh,1976,7939.0
Production,1976,41.54909084931507
Electricity,1976,-41.54909084931507
Electricity output in GWh,1977,8114.0
Production,1977,42.46495928767123
Electricity,1977,-42.46495928767123
Electricity output in GWh,1978,8395.0
Production,1978,43.93557819178082
Electricity,1978,-43.93557819178082
Electricity output in GWh,1979,11805.0
Production,1979,61.79202049315069
Electricity,1979,-61.79202049315069
Electricity output in GWh,1980,14346.0
Production,1980,75.13840416438356
Electricity,1980,-75.13840416438357
Electricity output in GWh,1981,15330.0
Production,1981,80.43686956164383
Electricity,1981,-80.43686956164383
Electricity output in GWh,1982,15133.0
Production,1982,79.4341657260274
Electricity,1982,-79.4341657260274
Electricity output in GWh,1983,15710.0
Production,1983,82.44958715068493
Electricity,1983,-82.44958715068493
Electricity output in GWh,1984-1987,21841.25
Production,1984-1987,114.69743515753423
Electricity,1984-1987,-114.69744017808218
Electricity output in GWh,1984,18440.0
Production,1984,96.75537745205479
Electricity,1984,-96.75539753424657
Electricity output in GWh,1986,22581.0
Production,1986,118.5521666849315
Electricity,1986,-118.5521666849315
Electricity output in GWh,1987,23003.0
Production,1987,120.79860082191782
Electricity,1987,-120.7986008219178
Electricity output in GWh,1988,22792.0
Production,1988,119.68090635616439
Electricity,1988,-119.68088627397262
Electricity output in GWh,1989,22836.0
Production,1989,119.93994654794521
Electricity,1989,-119.93994654794521
Electricity output in GWh,1990,23636.0
Production,1990,124.12678230136987
Electricity,1990,-124.12678230136987
Electricity output in GWh,1991,22953.0
Production,1991,120.56187194520548
Electricity,1991,-120.56187194520548
Electricity output in GWh,1992,23448.0
Production,1992,123.18125246575342
Electricity,1992,-123.18125246575342
Electricity output in GWh,1993,23351.0
Production,1993,122.68317394520548
Electricity,1993,-122.68317394520548
Electricity output in GWh,1994,24363.0
Production,1994,127.98910991780822
Electricity,1994,-127.98910991780822
Electricity output in GWh,1995,24895.0
Production,1995,130.78294443835617
Electricity,1995,-130.78294443835617
Electricity output in GWh,1996,25142.0
Production,1996,132.07083547945206
Electricity,1996,-132.07085556164387
Electricity output in GWh,1997,25409.0
Production,1997,133.44901605479453
Electricity,1997,-133.44899597260272
Electricity output in GWh,1998,25830.0
Production,1998,135.70988928767125
Electricity,1998,-135.70988928767122
Electricity output in GWh,1999-2002,26580.25
Production,1999-2002,139.64593360958904
Electricity,1999-2002,-139.64593360958904
Electricity output in GWh,1999,25830.0
Production,1999,135.7242681369863
Electricity,1999,-135.7242681369863
Electricity output in GWh,2000,26446.0
Production,2000,138.9337437808219
Electricity,2000,-138.9337437808219
Electricity output in GWh,2001,26811.0
Production,2001,140.88233893150684
Electricity,2001,-140.88233893150687
Electricity output in GWh,2002,27234.0
Production,2002,143.0433835890411
Electricity,2002,-143.04338358904113
Electricity output in GWh,2004,26958.0
Production,2004,141.65168769863013
Electricity,2004,-141.65166761643835
Electricity output in GWh,2005-2008,26696.25
Production,2005-2008,140.30937391780824
Electricity,2005-2008,-140.30937391780822
Electricity output in GWh,2005,23341.0
Production,2005,122.68359567123288
Electricity,2005,-122.68359567123287
Electricity output in GWh,2006,27819.0
Production,2006,146.21050589041096
Electricity,2006,-146.21050589041096
Electricity output in GWh,2007,27925.0
Production,2007,146.75567715068493
Electricity,2007,-146.75567715068493
Electricity output in GWh,2008,27700.0
Production,2008,145.5877169589041
Electricity,2008,-145.5877169589041
Electricity output in GWh,2009,27686.0
Production,2009,145.5192366849315
Electricity,2009,-145.5192366849315
Electricity output in GWh,2010,26339.0
Production,2010,138.4696644109589
Electricity,2010,-138.4696644109589
Electricity output in GWh,2011,26710.0
Production,2011,140.40651147945204
Electricity,2011,-140.40651147945206
Electricity output in GWh,2012,25441.0
Production,2012,133.80350690410958
Electricity,2012,-133.8035269863014
Electricity output in GWh,1985,23341.0
Production,1985,122.68359567123288
Electricity,1985,-122.68359567123287
Electricity output in GWh,2014,25990.0
Production,2014,136.62877005479453
Electricity,2014,-136.6287901369863
Electricity output in GWh,2015,56348.0
Production,2015,294.89955589041097
Electricity,2015,-294.89955589041097
Electricity output in GWh,2016,21146.0
Production,2016,111.28648994520549
Electricity,2016,-111.28648994520547
