product,flow,value
Gas,Industry,1.3295465273972604
Gas,Other,8.49009801369863
Oil Products,Industry,0.5499257191780822
Oil Products,Transport,6.041230363013698
Oil Products,Residential,1.0499873561643833
Oil Products,Other,1.4576658904109592
Electricity,Industry,0.7845208630136987
Electricity,Residential,0.3242571095890411
Electricity,Commercial,0.16018560273972604
Gas,Electricity output in GWh,1028.5
Combustible renewables and waste,Electricity output in GWh,31.0
Oil Products,Electricity output in GWh,30.0
"Crude, NGL and feedstocks",Production,157.45724620547944
Gas,Production,31.631008424657534
Combustible renewables and waste,Production,0.4082257739726027
"Crude, NGL and feedstocks",Imports,290.115812130137
"Crude, NGL and feedstocks",Exports,-57.51152139726027
Gas,Total Consumption,9.81964454109589
Oil Products,Imports,1.4908918767123287
Oil Products,Exports,-332.6717236643835
Oil Products,Total Consumption,9.098809328767123
Electricity,Total Consumption,1.2689635753424657
Electricity,Production,7.766054671232877
Gas,Electricity,-7.155370280821918
Combustible renewables and waste,Electricity,-0.4082257739726027
Oil Products,Electricity,-0.20245861643835616
"Crude, NGL and feedstocks",Oil Products,-408.8048339315069
All products,Heat and Waste,24.170900924657587
All products,Industry,2.6639931095890406
All products,Transport,6.041230363013698
All products,Residential,1.3742344246575342
All products,Commercial,0.16018560273972604
All products,Other,9.947763904109589
All products,Total Consumption,20.18741744520548
All primary,Production,189.49648040410955
All primary,Imports,290.115812130137
All primary,Exports,-57.51152139726027
All primary,Total Consumption,9.81964454109589
All primary,Oil Products,-408.8048339315069
All primary,Electricity,-7.766054671232877
Oil Products,Production,390.5183465547945
All products,Hydrocarbon Heat and Waste,18.286487376712387
All products,Electricity Heat and Waste,5.884413547945201
