product,flow,value
Gas,Industry,8.463880712328766
Combustible renewables and waste,Residential,0.30002794520547943
Gas,Other,48.14769742465754
Oil Products,Industry,1.7937212876712327
Oil Products,Transport,9.22361010958904
Oil Products,Residential,1.2024413150684932
Oil Products,Commercial,0.2284550136986301
Oil Products,Other,0.5482036712328766
Electricity,Industry,3.607846082191781
Electricity,Residential,1.5647240547945205
Electricity,Commercial,0.6096551780821918
Gas,Electricity output in GWh,3943.0
Combustible renewables and waste,Electricity output in GWh,30.0
Oil Products,Electricity output in GWh,3.0
"Crude, NGL and feedstocks",Production,149.8291561917808
Gas,Production,97.45500084931507
Combustible renewables and waste,Production,1.1773184931506848
"Crude, NGL and feedstocks",Imports,56.12856126027397
"Crude, NGL and feedstocks",Exports,-79.9376262739726
Gas,Total Consumption,56.61157813698631
Combustible renewables and waste,Total Consumption,0.30002794520547943
Oil Products,Imports,3.1386256712328766
Oil Products,Exports,-93.52383147945206
Oil Products,Total Consumption,12.996451479452054
Electricity,Total Consumption,5.7822253150684935
Electricity,Production,25.75328224657534
Gas,Electricity,-24.896636191780818
Combustible renewables and waste,Electricity,-0.8358810684931507
Oil Products,Electricity,-0.020764986301369862
"Crude, NGL and feedstocks",Oil Products,-120.28582213698631
All products,Heat and Waste,35.551082383561635
All products,Industry,13.86544808219178
All products,Transport,9.22361010958904
All products,Residential,3.067193315068493
All products,Commercial,0.838110191780822
All products,Other,48.69590109589042
All products,Total Consumption,75.69028287671233
All primary,Production,248.46147553424657
All primary,Imports,56.12856126027397
All primary,Exports,-79.9376262739726
All primary,Total Consumption,56.91160608219179
All primary,Oil Products,-120.28582213698631
All primary,Electricity,-25.75328224657534
Oil Products,Production,104.4052867671233
All products,Hydrocarbon Heat and Waste,15.880535369863011
All products,Electricity Heat and Waste,19.670547013698624
