flow,period,value
Production,1971-1974,157.45724620547944
Imports,1971-1974,290.115812130137
Exports,1971-1974,-57.51152139726027
Oil Products,1971-1974,-408.8048339315069
Production,1971,131.05887375342465
Imports,1971,295.3943208493151
Exports,1971,-19.35117991780822
Oil Products,1971,-402.56309794520547
Production,1972,142.02152134246575
Imports,1972,296.1643323287671
Exports,1972,-38.72264284931507
Oil Products,1972,-426.2306638356165
Production,1973,167.99944298630137
Imports,1973,286.4178020273973
Exports,1973,-65.28744646575343
Oil Products,1973,-417.70067254794526
Production,1974,188.74914673972606
Imports,1974,282.48679331506844
Exports,1974,-106.68481635616438
Oil Products,1974,-388.7249013972603
Production,1975,217.88718200000002
Imports,1975,151.85109150684931
Exports,1975,-134.83014871232876
Oil Products,1975,-257.90665246575344
Production,1976,215.0098457260274
Imports,1976,235.47657131506847
Exports,1976,-124.98232383561643
Oil Products,1976,-351.6839212054794
Production,1977,231.50393221917807
Imports,1977,182.97509487671232
Exports,1977,-140.78747065753424
Oil Products,1977,-299.1621617534247
Production,1978,231.92891156164384
Imports,1978,157.03842205479452
Exports,1978,-149.2776791232877
Oil Products,1978,-250.93564172602743
Production,1979,216.56972997260274
Imports,1979,144.31324082191782
Exports,1979,-127.92044890410959
Oil Products,1979,-229.1935965479452
Production,1980,214.70535953424655
Imports,1980,145.06296928767122
Exports,1980,-127.3530868219178
Oil Products,1980,-233.95522479452057
Production,1981,191.22032068493152
Imports,1981,106.72534221917807
Exports,1981,-117.54578780821917
Oil Products,1981,-175.29359627397264
Production,1982,178.79910350684932
Imports,1982,64.63903265753424
Exports,1982,-95.66172136986303
Oil Products,1982,-164.43260473972603
Other,1983,0.01907808219178082
Production,1983,161.47421673972602
Imports,1983,8.222733753424658
Exports,1983,-85.85442235616439
Total Consumption,1983,0.01907808219178082
Oil Products,1983,-89.8284069589041
Other,1984-1987,0.00953904109589041
Production,1984-1987,174.80773274657534
Imports,1984-1987,11.61958628767123
Exports,1984-1987,-91.31454437671233
Total Consumption,1984-1987,0.00953904109589041
Oil Products,1984-1987,-94.63326212328766
Other,1984,0.01907808219178082
Production,1984,177.27936356164383
Imports,1984,6.4102958630136975
Exports,1984,-93.0275402739726
Total Consumption,1984,0.01907808219178082
Oil Products,1984,-86.15995282191781
Other,1985,0.01907808219178082
