product,flow,value
Coal and coal products,Industry,39.37087591780822
Coal and coal products,Transport,0.22359512328767125
Coal and coal products,Residential,13.20498495890411
Coal and coal products,Commercial,0.3765812602739726
Coal and coal products,Other,0.08237715068493151
Gas,Industry,189.0191317260274
Combustible renewables and waste,Industry,8.31467002739726
Combustible renewables and waste,Transport,22.64086383561644
Gas,Residential,605.2902936164384
Combustible renewables and waste,Residential,6.817482383561644
Gas,Commercial,108.91783558904109
Combustible renewables and waste,Commercial,2.047740931506849
Gas,Other,40.86977054794521
Geothermal,Other,0.015824767123287672
Solar/Wind/Other,Other,1.7460863287671233
Combustible renewables and waste,Other,3.091733753424658
Oil Products,Industry,98.66051473972603
Oil Products,Transport,788.3957219178081
Oil Products,Residential,64.10203484931506
Oil Products,Commercial,13.049307808219178
Oil Products,Other,159.90011430136988
Electricity,Industry,180.51319890410957
Electricity,Transport,7.039531178082192
Electricity,Residential,205.2102783561644
Electricity,Commercial,168.11112005479453
Electricity,Other,6.95835895890411
Heat,Industry,16.507501397260274
Heat,Residential,1.0425669863013698
Heat,Commercial,7.876817999999999
Coal and coal products,Electricity output in GWh,108797.0
Gas,Electricity output in GWh,175656.0
Nuclear,Electricity output in GWh,62140.0
Hydro,Electricity output in GWh,3644.0
Solar/Wind/Other,Electricity output in GWh,10214.0
Combustible renewables and waste,Electricity output in GWh,13365.0
Oil Products,Electricity output in GWh,4805.0
Coal and coal products,Production,215.8995872328767
"Crude, NGL and feedstocks",Production,1292.6406200273973
Gas,Production,1033.2987736438356
Nuclear,Production,325.21223871232877
Hydro,Production,6.293437589041097
Geothermal,Production,0.015824767123287672
Solar/Wind/Other,Production,19.386363917808218
Combustible renewables and waste,Production,86.0302218630137
Coal and coal products,Imports,327.50630780821916
"Crude, NGL and feedstocks",Imports,1130.7890589041097
Gas,Imports,915.8652653698629
Combustible renewables and waste,Imports,32.78552358904109
Coal and coal products,Exports,-17.244196520547945
"Crude, NGL and feedstocks",Exports,-868.6988039178083
Gas,Exports,-274.06056671232875
Combustible renewables and waste,Exports,-1.8228203835616437
Coal and coal products,Total Consumption,53.25837424657534
Gas,Total Consumption,944.097031479452
Geothermal,Total Consumption,0.015824767123287672
Solar/Wind/Other,Total Consumption,1.7460863287671233
Combustible renewables and waste,Total Consumption,42.91245076712328
Oil Products,Imports,488.74100424657536
Electricity,Imports,12.338177315068494
Oil Products,Exports,-529.5967775068493
Electricity,Exports,-7.7389939178082185
Oil Products,Total Consumption,1124.1076936164384
Electricity,Total Consumption,567.8324874520548
Electricity,Production,1534.141607890411
Coal and coal products,Electricity,-507.80830230136985
Gas,Electricity,-580.416972849315
Nuclear,Electricity,-325.21223871232877
Hydro,Electricity,-6.293437589041096
Solar/Wind/Other,Electricity,-17.640277589041098
Combustible renewables and waste,Electricity,-74.0819001369863
Oil Products,Electricity,-22.688478712328767
"Crude, NGL and feedstocks",Oil Products,-1517.8434834246575
All products,Heat and Waste,949.8753407671234
All products,Industry,532.3859127945206
All products,Transport,818.2997120547946
All products,Residential,895.6676411506849
All products,Commercial,300.3794036438356
All products,Other,212.66426580821917
All products,Total Consumption,2733.969948657534
All primary,Production,2978.777067753424
All primary,Imports,2406.9461556712326
All primary,Exports,-1161.8263875342466
All primary,Total Consumption,1042.029767589041
All primary,Oil Products,-1517.8434834246575
All primary,Electricity,-1534.141607890411
Oil Products,Production,1494.2472695616439
All products,Hydrocarbon Heat and Waste,23.596213863013645
All products,Electricity Heat and Waste,926.2791269041097
