flow,period,value
Production,1971-1974,2119.1117006095888
Imports,1971-1974,2340.7848727945207
Exports,1971-1974,-86.8935954520548
Total Consumption,1971-1974,986.8441204589042
Oil Products,1971-1974,-2248.296624719178
Electricity,1971-1974,-1412.8598245136989
Production,1971,2205.180656
Imports,1971,2284.6018486301364
Exports,1971,-70.46819005479452
Total Consumption,1971,981.4591861643836
Oil Products,1971,-2164.344161643836
Electricity,1971,-1402.8758473972605
Production,1972,2029.4798732054794
Imports,1972,2292.5153768767123
Exports,1972,-99.953346
Total Consumption,1972,948.1441152602739
Oil Products,1972,-2195.4669400000002
Electricity,1972,-1390.0891142465753
Production,1973,2179.225487479452
Imports,1973,2411.1035308493156
Exports,1973,-106.50287169863014
Total Consumption,1973,1006.0333425205479
Oil Products,1973,-2348.9418775342465
Electricity,1973,-1454.4276169041095
Production,1974,2062.5607857534246
Imports,1974,2374.918734821918
Exports,1974,-70.64997405479451
Total Consumption,1974,1011.7398378904111
Oil Products,1974,-2284.43351969863
Electricity,1974,-1404.0467195068493
Production,1975,2304.640040328767
Imports,1975,1955.12469460274
Exports,1975,-69.2211662739726
Total Consumption,1975,983.0641147671233
Oil Products,1975,-1951.1123931780821
Electricity,1975,-1336.7792090958906
Production,1976,2542.352141150685
Imports,1976,1912.3303070410961
Exports,1976,-116.22247178082192
Total Consumption,1976,1002.4807023835617
Oil Products,1976,-2026.308935287671
Electricity,1976,-1387.8953958630136
Production,1977,3106.9616376438353
Imports,1977,1513.9733840000004
Exports,1977,-379.2182528767123
Total Consumption,1977,1032.3028375068493
Oil Products,1977,-1941.0571192602742
Electricity,1977,-1430.513803178082
Production,1978,3362.0494130958896
Imports,1978,1518.3302155068495
Exports,1978,-557.7584166027397
Total Consumption,1978,1013.1818999178083
Oil Products,1978,-1982.8697888767124
Electricity,1978,-1431.7846846027398
Production,1979,3875.465406383562
Imports,1979,1450.0192745753425
Exports,1979,-873.4645490136987
Total Consumption,1979,1102.3572139178082
Oil Products,1979,-2013.1640563287674
Electricity,1979,-1508.924941890411
Production,1980,3973.220575753425
Imports,1980,1231.4528927671233
Exports,1980,-889.5642413424658
Total Consumption,1980,1031.956038136986
Oil Products,1980,-1777.8777838630135
Electricity,1980,-1418.5050943013698
Production,1981,4164.976749561644
Imports,1981,1011.6014515068493
Exports,1981,-1201.0801441095891
Total Consumption,1981,1053.697400520548
Oil Products,1981,-1610.636102219178
Electricity,1981,-1362.588520657534
Production,1982,4451.095527753425
Imports,1982,936.5801867671232
Exports,1982,-1374.505755150685
Total Consumption,1982,1054.0721141369863
Oil Products,1982,-1587.2466947671232
Electricity,1982,-1341.7653562465755
Production,1983,4686.261467726027
Imports,1983,888.3445293424656
Exports,1983,-1533.3005456164383
Total Consumption,1983,1049.258352520548
Oil Products,1983,-1583.004010438356
Electricity,1983,-1347.028677808219
Production,1984-1987,4684.791837869863
Imports,1984-1987,1151.140593041096
Exports,1984-1987,-1775.099407609589
Total Consumption,1984-1987,1109.6833229931508
Oil Products,1984-1987,-1646.3997295
Electricity,1984-1987,-1413.6338976164384
Production,1984,4121.917196739726
Imports,1984,1044.6572813972602
Exports,1984,-1689.4520778356168
Total Consumption,1984,1028.7544949589042
Oil Products,1984,-1629.5489481369866
Electricity,1984,-1362.8606343561644
Production,1985,4783.044578684931
Imports,1985,1146.5409678356164
Exports,1985,-1771.923333671233
Total Consumption,1985,1131.3294907671234
Oil Products,1985,-1627.583102383562
Electricity,1985,-1420.8736884109587
Production,1986,4968.6651006849315
Imports,1986,1213.7180280547943
Exports,1986,-1871.1443825479453
Total Consumption,1986,1133.6832039726028
Oil Products,1986,-1662.869682219178
Electricity,1986,-1437.6144444657536
Production,1987,4865.540475369863
Imports,1987,1199.6460948767124
Exports,1987,-1767.8778363835618
Total Consumption,1987,1144.9661022739724
Oil Products,1987,-1665.597185260274
Electricity,1987,-1433.1868232328766
Production,1988,4697.764205780821
Imports,1988,1267.8431296164383
Exports,1988,-1555.096953287671
Total Consumption,1988,1107.6962855068496
Oil Products,1988,-1778.4693650684933
Electricity,1988,-1443.7898389315071
Production,1989,4198.155161150685
Imports,1989,1381.0214624383564
Exports,1989,-1110.2233281095891
Total Consumption,1989,1066.0397950958902
Oil Products,1989,-1823.8181270958908
Electricity,1989,-1477.6831564657539
Production,1990,4177.060164191782
Imports,1990,1421.5956030410957
Exports,1990,-1223.7098221643837
Total Consumption,1990,1063.8178210684932
