flow,period,value
Industry,1989,0.2786203287671233
Residential,1989,2.861069698630137
Other,1989,1.1778004657534247
Production,1989,12.985125123287672
Total Consumption,1989,4.317490493150685
Industry,1990,1.9494185205479453
Residential,1990,3.4936185753424662
Commercial,1990,0.7658745479452055
Other,1990,2.1340541917808222
Electricity output in GWh,1990,678.0
Production,1990,12.594747397260274
Total Consumption,1990,8.342965835616438
Electricity,1990,-4.251821726027397
Industry,1991,1.9858676986301371
Residential,1991,3.4936185753424662
Commercial,1991,0.9102253424657535
Other,1991,2.1901437534246577
Electricity output in GWh,1991,776.0
Production,1991,13.339033589041096
Total Consumption,1991,8.579855369863013
Electricity,1991,-4.759178219178082
Industry,1992,5.4291201369863025
Residential,1992,4.095943753424657
Commercial,1992,1.101086493150685
Other,1992,2.134516082191781
Electricity output in GWh,1992,1038.0
Production,1992,19.148932164383563
Total Consumption,1992,12.760666465753424
Electricity,1992,-6.388265698630138
Industry,1993,5.220506328767123
Residential,1993,4.095943753424657
Commercial,1993,1.0531101369863014
Other,1993,2.0779445479452057
Electricity output in GWh,1993,1364.0
Production,1993,20.983279726027394
Total Consumption,1993,12.447524849315068
Electricity,1993,-8.535734794520547
Industry,1994,9.669896657534247
Residential,1994,4.095943753424657
Commercial,1994,1.5115865753424658
Other,1994,2.106220273972603
Electricity output in GWh,1994,1870.0
Production,1994,28.799670410958903
Total Consumption,1994,17.38364726027397
Electricity,1994,-11.416003068493149
Industry,1995,10.460693205479453
Residential,1995,4.095943753424657
Commercial,1995,1.7906888767123288
Other,1995,2.1201372328767123
Electricity output in GWh,1995,2054.0
Production,1995,30.908762438356167
Total Consumption,1995,18.467463068493153
Electricity,1995,-12.441299369863014
Industry,1996,10.618478986301369
Residential,1996,4.095943753424657
Commercial,1996,1.7336152876712325
Other,1996,2.155622465753425
Electricity output in GWh,1996,2221.0
Production,1996,32.0251917260274
Total Consumption,1996,18.603660493150684
Electricity,1996,-13.421511150684934
Industry,1997,10.563815260273973
Residential,1997,4.095943753424657
Commercial,1997,1.8113132876712328
Other,1997,1.642502383561644
Electricity output in GWh,1997,2593.0
Production,1997,34.062409589041096
Total Consumption,1997,18.113574684931507
Electricity,1997,-15.948814821917807
Industry,1998,9.04646509589041
Residential,1998,3.4442163835616437
Commercial,1998,1.738896904109589
Other,1998,1.5489996986301369
Electricity output in GWh,1998,3237.0
Production,1998,35.29149997260274
Total Consumption,1998,15.778558
Electricity,1998,-19.512921890410958
Industry,1999-2002,4.903659547945205
Transport,1999-2002,0.013239184931506848
Residential,1999-2002,3.604632931506849
Commercial,1999-2002,1.6416639520547944
Other,1999-2002,1.4319807671232876
Electricity output in GWh,1999-2002,5858.5
Production,1999-2002,44.32789384931507
Imports,1999-2002,0.013239184931506848
Total Consumption,1999-2002,11.595136219178082
Electricity,1999-2002,-32.74574076712329
Industry,1999,5.669403561643835
Residential,1999,3.4442163835616437
Commercial,1999,1.6818233150684931
Other,1999,1.5859308493150683
Electricity output in GWh,1999,3987.0
Production,1999,35.85402224657534
Total Consumption,1999,12.3813138630137
Electricity,1999,-23.47266821917808
Industry,2000,5.6641420273972605
Residential,2000,3.4442163835616437
Commercial,2000,1.5734397260273971
Other,2000,1.718272493150685
Electricity output in GWh,2000,4455.0
Production,2000,38.58943767123288
Total Consumption,2000,12.400030465753424
Electricity,2000,-26.18940720547945
