flow,period,value
Industry,1971-1974,160.87551137671232
Residential,1971-1974,128.4493435479452
Commercial,1971-1974,11.748313136986301
Other,1971-1974,15.887036979452056
Electricity output in GWh,1971-1974,5561.25
Production,1971-1974,462.6466309931507
Imports,1971-1974,13.371862952054794
Total Consumption,1971-1974,316.9602000205479
Electricity,1971-1974,-28.824853479452052
Industry,1971,93.1229507671233
Residential,1971,64.74789821917808
Commercial,1971,3.369671287671233
Other,1971,8.46906191780822
Electricity output in GWh,1971,2443.0
Production,1971,314.2255728219178
Imports,1971,15.116468219178083
Total Consumption,1971,169.70956210958903
Electricity,1971,-13.244346054794521
Industry,1972,143.61231208219178
Residential,1972,104.36178873972602
Commercial,1972,8.241189287671233
Other,1972,12.613825479452055
Electricity output in GWh,1972,6586.0
Production,1972,453.4225539726027
Imports,1972,13.932683260273974
Total Consumption,1972,268.82911558904107
Electricity,1972,-33.05711515068493
Industry,1973,189.12444273972602
Residential,1973,146.84518347945206
Commercial,1973,15.34389904109589
Other,1973,17.66574180821918
Electricity output in GWh,1973,2735.0
Production,1973,490.8393523013699
Imports,1973,13.356545260273974
Total Consumption,1973,368.97926706849313
Electricity,1973,-18.94533890410959
Industry,1974,217.6423399178082
Residential,1974,197.84250375342464
Commercial,1974,20.03849293150685
Other,1974,24.79951871232877
Electricity output in GWh,1974,10481.0
Production,1974,592.0990448767124
Imports,1974,11.081755068493152
Total Consumption,1974,460.32285531506847
Electricity,1974,-50.05261380821918
Industry,1975,226.93611720547946
Residential,1975,245.6962983013699
Commercial,1975,25.043356684931506
Other,1975,30.370178136986304
Electricity output in GWh,1975,9150.0
Production,1975,616.3780934246575
Imports,1975,15.25370991780822
Total Consumption,1975,528.045970410959
Electricity,1975,-39.06667087671233
Industry,1976,252.94014569863012
Residential,1976,275.4282041369863
Commercial,1976,30.59762904109589
Other,1976,36.83676438356164
Electricity output in GWh,1976,7240.0
Production,1976,654.7162827945206
Imports,1976,17.48534347945205
Total Consumption,1976,595.802743260274
Electricity,1976,-34.569324273972605
Industry,1977,265.4434789589041
Residential,1977,298.0578219452055
Commercial,1977,32.51290783561644
Other,1977,39.15515301369863
Electricity output in GWh,1977,5897.0
Production,1977,684.0852431780821
Imports,1977,30.370178136986304
Total Consumption,1977,635.1693617534247
Electricity,1977,-28.266729205479454
Industry,1978,268.8429321369863
Residential,1978,329.74858493150685
Commercial,1978,35.88818205479453
Other,1978,43.20237736986301
Electricity output in GWh,1978,4191.0
Production,1978,655.0813971232876
Imports,1978,86.0111638630137
Total Consumption,1978,677.6820965753426
Electricity,1978,-20.388485369863012
Industry,1979,278.27826879452056
Residential,1979,373.59831175342464
Commercial,1979,40.45416958904109
Other,1979,48.69923473972603
Electricity output in GWh,1979,3077.0
Production,1979,661.5013726027397
Imports,1979,150.44100032876713
Total Consumption,1979,741.0299848767123
Electricity,1979,-15.73403578082192
Industry,1980,271.03787553424655
Residential,1980,383.3914126575343
Commercial,1980,43.028887315068495
Other,1980,50.49498432876713
Electricity output in GWh,1980,2122.0
Production,1980,628.8615854794521
Imports,1980,180.67566383561643
Total Consumption,1980,747.9531598356164
Electricity,1980,-11.137442986301368
Industry,1981,257.27436465753425
Residential,1981,398.32706082191777
Commercial,1981,43.84755794520549
Other,1981,51.953252684931506
Electricity output in GWh,1981,1477.0
Production,1981,627.4503696986301
Imports,1981,193.06161668493152
Total Consumption,1981,751.4022361095889
Electricity,1981,-8.192429726027397
Industry,1982,259.5836761369863
Residential,1982,396.36862539726025
Commercial,1982,45.53325712328767
Other,1982,53.364468465753426
Electricity output in GWh,1982,1493.0
Production,1982,637.7406253424658
Imports,1982,178.67362997260275
Total Consumption,1982,754.8500271232876
Electricity,1982,-7.565343205479451
Industry,1983,257.40427635616436
Residential,1983,403.42602972602737
Commercial,1983,47.71958526027397
Other,1983,54.958251452054796
Electricity output in GWh,1983,1636.0
Production,1983,657.5931170136986
Imports,1983,193.42673101369866
Total Consumption,1983,763.508102630137
Electricity,1983,-8.978306136986303
Industry,1984-1987,254.02801810958908
Residential,1984-1987,447.61657644520557
Commercial,1984-1987,55.300472082191774
Other,1984-1987,68.68777321917808
Electricity output in GWh,1984-1987,2959.25
Production,1984-1987,725.1653897465753
Imports,1984-1987,217.71840121917808
Total Consumption,1984-1987,825.6328348356166
Electricity,1984-1987,-15.288883876712328
Industry,1984,260.69323731506853
Residential,1984,406.2031558630137
Commercial,1984,48.67549758904109
Other,1984,61.47016320547945
Electricity output in GWh,1984,2666.0
Production,1984,643.5698028219178
Imports,1984,229.0330996712329
Total Consumption,1984,777.0420338904111
Electricity,1984,-13.828255863013698
Industry,1985,263.4379909589041
Residential,1985,440.40045753424664
Commercial,1985,53.7744464109589
Other,1985,67.93500230136986
Electricity output in GWh,1985,2896.0
Production,1985,717.1514153972602
Imports,1985,228.57779621917808
Total Consumption,1985,825.5479172876712
Electricity,1985,-15.31672783561644
Industry,1986,238.1426027671233
Residential,1986,465.9893268767123
Commercial,1986,58.46514435616439
Other,1986,73.71929608219179
Electricity output in GWh,1986,1743.0
Production,1986,750.4812868767123
Imports,1986,213.0060245479452
Total Consumption,1986,836.3163700821918
Electricity,1986,-9.918253123287672
Industry,1987,253.8382413972603
Residential,1987,477.8733655068493
Commercial,1987,60.28679997260274
Other,1987,71.62663128767123
Electricity output in GWh,1987,4532.0
Production,1987,789.4590538904109
Imports,1987,200.25668443835616
Total Consumption,1987,863.6250180821917
Electricity,1987,-22.092298684931507
Industry,1988,232.73248038356164
Residential,1988,466.893889041096
Commercial,1988,56.506267123287664
Other,1988,75.40240465753423
Electricity output in GWh,1988,4778.0
Production,1988,760.1250566027396
Imports,1988,179.346865369863
Total Consumption,1988,831.5350412054796
Electricity,1988,-21.82733424657534
Industry,1989,212.6823397808219
Residential,1989,451.41230649315065
Commercial,1989,54.11022065753425
Other,1989,100.03662684931506
Electricity output in GWh,1989,4949.0
Production,1989,744.0802890684932
Imports,1989,176.75142282191783
Total Consumption,1989,818.2415138630136
Electricity,1989,-22.565314630136985
Industry,1990,208.88240753424657
Residential,1990,466.7117636438355
Commercial,1990,54.83566975342465
Other,1990,108.49317756164382
Electricity output in GWh,1990,4998.0
Production,1990,821.6379346301371
Imports,1990,124.03516734246575
Total Consumption,1990,838.9230184931507
Electricity,1990,-22.35945208219178
Industry,1991,216.79949032876712
Residential,1991,518.8600746575343
Commercial,1991,62.106708438356165
Other,1991,108.47851756164383
Electricity output in GWh,1991,5824.0
Production,1991,914.8010096164384
Imports,1991,111.87407479452055
Total Consumption,1991,906.2447909863014
Electricity,1991,-24.44133273972603
Industry,1992,209.49911156164384
Residential,1992,512.8561218630138
Commercial,1992,68.07569813698629
Other,1992,94.59848980821918
Electricity output in GWh,1992,12583.0
Production,1992,930.2618874246575
Imports,1992,95.16856298630137
Exports,1992,-0.9632624109589041
Total Consumption,1992,885.029421369863
Electricity,1992,-52.70631479452055
Industry,1993,212.11829126027396
Residential,1993,528.4891843835617
Commercial,1993,60.16466008219178
Other,1993,101.73961679452053
Electricity output in GWh,1993,34039.0
Production,1993,1093.7167504931506
Imports,1993,75.39549638356164
Exports,1993,-10.602292739726028
Total Consumption,1993,902.5117324383563
Electricity,1993,-140.16668994520546
Industry,1994,218.70788093150688
Residential,1994,512.2502019726028
Commercial,1994,121.43239479452056
Other,1994,55.12007375342465
Electricity output in GWh,1994,53258.0
Production,1994,1167.6962716164383
Imports,1994,51.352514
Exports,1994,-14.848029561643838
Total Consumption,1994,907.5105715342465
Electricity,1994,-194.82067610958907
Industry,1995,234.48637868493154
Residential,1995,506.5017549041096
Commercial,1995,127.45576706849316
Other,1995,65.96835326027397
Electricity output in GWh,1995,63739.0
Production,1995,1279.1668349315069
Imports,1995,30.22906057534247
Exports,1995,-17.450380383561644
Total Consumption,1995,934.4122539178082
Electricity,1995,-233.57490824657535
Industry,1996,254.4243
Residential,1996,583.9212952328767
Commercial,1996,138.49567084931508
Other,1996,65.71587994520549
Electricity output in GWh,1996,84086.0
Production,1996,1523.544697178082
Imports,1996,30.76852849315069
Exports,1996,-23.62005142465754
Total Consumption,1996,1042.5571460273973
Electricity,1996,-313.7871183287671
Industry,1997,266.58973030136985
Residential,1997,536.8317887397261
Commercial,1997,137.78919942465754
Other,1997,54.391170520547945
Electricity output in GWh,1997,110963.0
Production,1997,1551.891273178082
Imports,1997,21.847175452054792
Exports,1997,-33.661307972602735
Total Consumption,1997,995.6018889863013
Electricity,1997,-391.2403164109589
Industry,1998,273.5707419726028
Residential,1998,552.9322441917808
Commercial,1998,144.01927769863016
Other,1998,57.33399482191781
Electricity output in GWh,1998,117799.0
Production,1998,1629.554651479452
Imports,1998,16.440527287671234
Exports,1998,-49.10146095890411
Total Consumption,1998,1027.8562787671233
Electricity,1998,-415.9604100547945
Industry,1999-2002,273.93142315753425
Residential,1999-2002,576.3118063493151
Commercial,1999-2002,125.5320688150685
Other,1999-2002,60.809413910958895
Electricity output in GWh,1999-2002,146290.0
Production,1999-2002,1884.2619497260278
Imports,1999-2002,50.43348261643836
Exports,1999-2002,-201.87355692465755
Total Consumption,1999-2002,1036.5847122328767
Electricity,1999-2002,-498.26832738356165
Industry,1999,274.707052630137
Residential,1999,556.3053696164384
