flow,period,value
Industry,1976,3.0922157260273977
Industry,1977,2.9473829589041096
Industry,1978,2.1484330410958905
Industry,1979,2.1163015342465754
Industry,1980,2.415566356164384
Industry,1981,1.4554769315068494
Industry,1982,0.9519360547945206
Industry,1983,0.25321635616438354
Industry,1999-2002,22.46331717808219
Residential,1999-2002,0.7620237876712329
Commercial,1999-2002,23.02261123972603
Other,1999-2002,0.03668514383561644
Industry,1999,21.151588575342466
Residential,1999,0.8492959726027397
Commercial,1999,26.6440278630137
Industry,2000,22.074264876712327
Residential,2000,0.8919907123287671
Commercial,2000,26.001899780821915
Industry,2001,20.106631808219177
Residential,2001,0.6402202739726027
Commercial,2001,24.783332465753425
Other,2001,0.14674057534246576
Industry,2002,26.520783452054797
Residential,2002,0.6665881917808218
Commercial,2002,14.661184849315067
Industry,2003,23.122113479452054
Residential,2003,0.21773112328767125
Commercial,2003,13.007657342465754
Industry,2004,16.711797534246575
Residential,2004,1.0425669863013698
Commercial,2004,7.495557589041097
Industry,2005-2008,17.8498051369863
Residential,2005-2008,1.0425669863013698
Commercial,2005-2008,7.792774027397259
Industry,2005,16.675348356164385
Residential,2005,1.0425669863013698
Commercial,2005,7.741102547945205
Industry,2006,16.24231605479452
Residential,2006,1.0425669863013698
Commercial,2006,7.70800709589041
Industry,2007,17.986956465753426
Residential,2007,1.0425669863013698
Commercial,2007,7.834625315068492
Industry,2008,20.494599671232876
Residential,2008,1.0425669863013698
Commercial,2008,7.887361150684932
Industry,2009,15.316747917808218
Residential,2009,1.0425669863013698
Commercial,2009,7.861957178082191
Industry,2010,16.507501397260274
Residential,2010,1.0425669863013698
Commercial,2010,7.876817999999999
Industry,2011,16.854702410958904
Residential,2011,1.0425669863013698
Commercial,2011,7.6197659452054785
Industry,2012,15.961767835616438
Residential,2012,1.0425669863013698
Commercial,2012,7.745420219178082
Industry,2013,17.004816794520547
Residential,2013,1.0425669863013698
Commercial,2013,7.884971369863013
Industry,2014,17.98215682191781
Residential,2014,1.0425669863013698
Commercial,2014,7.867700684931506
Industry,2015,3.457651369863014
Residential,2015,3.5161507945205477
Commercial,2015,1.9580538630136985
Industry,2016,12.254213671232876
Residential,2016,1.042767808219178
Commercial,2016,9.510604712328767
