flow,period,value
Electricity output in GWh,1984-1987,0.75
Production,1984-1987,0.0012953013698630137
Electricity,1984-1987,-0.0012953013698630137
Electricity output in GWh,1984,1.0
Production,1984,0.0017270684931506848
Electricity,1984,-0.0017270684931506848
Electricity output in GWh,1985,1.0
Production,1985,0.0017270684931506848
Electricity,1985,-0.0017270684931506848
Electricity output in GWh,1986,1.0
Production,1986,0.0017270684931506848
Electricity,1986,-0.0017270684931506848
Electricity output in GWh,1988,1.0
Production,1988,0.0017270684931506848
Electricity,1988,-0.0017270684931506848
Other,1989,0.20526008219178085
Electricity output in GWh,1989,9.0
Production,1989,0.220803698630137
Total Consumption,1989,0.20526008219178085
Electricity,1989,-0.015543616438356165
Other,1990,0.20526008219178085
Electricity output in GWh,1990,9.0
Production,1990,0.220803698630137
Total Consumption,1990,0.20526008219178085
Electricity,1990,-0.015543616438356165
Other,1991,0.20526008219178085
Electricity output in GWh,1991,11.0
Production,1991,0.22425783561643836
Total Consumption,1991,0.20526008219178085
Electricity,1991,-0.018997753424657534
Other,1992,0.20526008219178085
Electricity output in GWh,1992,40.0
Production,1992,0.27434282191780823
Total Consumption,1992,0.20526008219178085
Electricity,1992,-0.0690827397260274
Other,1993,0.20526008219178085
Electricity output in GWh,1993,218.0
Production,1993,0.5817610136986301
Total Consumption,1993,0.20526008219178085
Electricity,1993,-0.3765009315068493
Other,1994,0.20526008219178085
Electricity output in GWh,1994,342.0
Production,1994,0.7959175068493152
Total Consumption,1994,0.20526008219178085
Electricity,1994,-0.5906574246575342
Other,1995,0.20526008219178085
Electricity output in GWh,1995,391.0
Production,1995,0.8805438630136986
Total Consumption,1995,0.20526008219178085
Electricity,1995,-0.6752837808219178
Other,1996,0.20526008219178085
Electricity output in GWh,1996,488.0
Production,1996,1.048069506849315
Total Consumption,1996,0.20526008219178085
Electricity,1996,-0.8428094246575343
Other,1997,0.20526008219178085
Electricity output in GWh,1997,667.0
Production,1997,1.3572147671232877
Total Consumption,1997,0.20526008219178085
Electricity,1997,-1.1519546849315068
Other,1998,0.18895334246575346
Electricity output in GWh,1998,877.0
Production,1998,1.7035924109589042
Total Consumption,1998,0.18895334246575346
Electricity,1998,-1.5146390684931506
Other,1999-2002,0.25357281506849316
Electricity output in GWh,1999-2002,1006.25
Production,1999-2002,1.9914354863013701
Total Consumption,1999-2002,0.25357281506849316
Electricity,1999-2002,-1.7378626712328764
Other,1999,0.2009424109589041
Electricity output in GWh,1999,851.0
Production,1999,1.6706776986301368
Total Consumption,1999,0.2009424109589041
Electricity,1999,-1.469735287671233
Other,2000,0.22492054794520544
Electricity output in GWh,2000,948.0
Production,2000,1.8621814794520548
Total Consumption,2000,0.22492054794520544
Electricity,2000,-1.6372609315068496
Other,2001,0.265687397260274
Electricity output in GWh,2001,967.0
Production,2001,1.9357626301369864
Total Consumption,2001,0.265687397260274
Electricity,2001,-1.6700752328767126
Other,2002,0.32274090410958906
Electricity output in GWh,2002,1259.0
Production,2002,2.497120136986301
Total Consumption,2002,0.32274090410958906
Electricity,2002,-2.174379232876712
Other,2003,0.39660320547945205
Electricity output in GWh,2003,1288.0
Production,2003,2.6210674246575345
Total Consumption,2003,0.39660320547945205
Electricity,2003,-2.224464219178082
Other,2004,0.4929977260273972
Electricity output in GWh,2004,1939.0
Production,2004,3.8417835342465754
Total Consumption,2004,0.4929977260273972
Electricity,2004,-3.348785808219178
Other,2005-2008,0.8344451917808221
Electricity output in GWh,2005-2008,4887.5
Production,2005-2008,9.275492452054793
Total Consumption,2005-2008,0.8344451917808221
Electricity,2005-2008,-8.441047260273972
Other,2005,0.5893922465753425
Electricity output in GWh,2005,2912.0
Production,2005,5.618615698630137
Total Consumption,2005,0.5893922465753425
Electricity,2005,-5.0292234520547945
Other,2006,0.7284614246575343
Electricity output in GWh,2006,4236.0
Production,2006,8.044323561643836
Total Consumption,2006,0.7284614246575343
Electricity,2006,-7.315862136986301
Other,2007,0.9011080273972604
Electricity output in GWh,2007,5288.0
Production,2007,10.033846219178082
Total Consumption,2007,0.9011080273972604
Electricity,2007,-9.132738191780822
Other,2008,1.1188190684931507
Electricity output in GWh,2008,7114.0
Production,2008,13.405184328767124
Total Consumption,2008,1.1188190684931507
Electricity,2008,-12.286365260273973
Other,2009,1.3945676438356163
Electricity output in GWh,2009,9324.0
Production,2009,17.497754273972603
Total Consumption,2009,1.3945676438356163
Electricity,2009,-16.10318663013699
Other,2010,1.7460863287671233
Electricity output in GWh,2010,10214.0
Production,2010,19.386363917808218
Total Consumption,2010,1.7460863287671233
Electricity,2010,-17.640277589041098
Other,2011,2.194963479452055
Electricity output in GWh,2011,15749.0
Production,2011,29.39456517808219
Total Consumption,2011,2.194963479452055
Electricity,2011,-27.199601698630136
Other,2012,3.0749651232876714
Electricity output in GWh,2012,20776.0
Production,2012,38.956540136986305
Total Consumption,2012,3.0749651232876714
Electricity,2012,-35.88157501369863
Other,2013,3.8053343561643835
Electricity output in GWh,2013,30476.0
Production,2013,56.439473753424664
Total Consumption,2013,3.8053343561643835
Electricity,2013,-52.634139397260284
Other,2014,1.0454387397260274
Electricity output in GWh,2014,36067.0
Production,2014,63.335618082191786
Total Consumption,2014,1.0454387397260274
Electricity,2014,-62.29017934246575
Industry,2015,0.03452128767123288
Residential,2015,0.9178766575342466
Commercial,2015,0.172646602739726
Other,2015,0.0062254794520547945
Electricity output in GWh,2015,1229.0
Production,2015,3.2538572876712326
Total Consumption,2015,1.131290109589041
Electricity,2015,-2.1225671780821918
Residential,2016,0.6384128767123288
Commercial,2016,0.3909199452054795
Electricity output in GWh,2016,47788.0
Production,2016,83.54715926027399
Total Consumption,2016,1.0293328219178082
Electricity,2016,-82.51828832876713
