product,flow,value
Coal and coal products,Industry,933.7205730273972
Coal and coal products,Residential,34.138440767123285
Coal and coal products,Commercial,55.67667680136986
Coal and coal products,Other,98.56752917123286
Gas,Industry,2494.6655559520545
Combustible renewables and waste,Industry,899.1440543082192
Gas,Transport,238.81962365753424
Gas,Residential,2066.344094965754
Gas,Commercial,1136.4250908835618
Combustible renewables and waste,Other,455.8677867465754
Oil Products,Industry,1257.4918943972602
Oil Products,Transport,8761.812618931506
Oil Products,Residential,682.6869352260273
Oil Products,Commercial,530.3780099109589
Oil Products,Other,2146.6516201506847
Electricity,Industry,1308.4620635479453
Electricity,Transport,6.572790917808218
Electricity,Residential,1398.3892246849314
Electricity,Commercial,1219.779255260274
Heat,Commercial,31.82018769178082
Coal and coal products,Electricity output in GWh,1496463.5
Gas,Electricity output in GWh,297050.5
Nuclear,Electricity output in GWh,418867.5
Hydro,Electricity output in GWh,284730.0
Geothermal,Electricity output in GWh,10018.75
Solar/Wind/Other,Electricity output in GWh,15.25
Combustible renewables and waste,Electricity output in GWh,1171.5
Oil Products,Electricity output in GWh,127086.25
Coal and coal products,Production,9534.205309130137
"Crude, NGL and feedstocks",Production,10084.429635438357
Gas,Production,7825.323956753425
Nuclear,Production,2192.1601862191783
Hydro,Production,491.7482120547945
Geothermal,Production,172.96629617123284
Solar/Wind/Other,Production,0.026337794520547943
Combustible renewables and waste,Production,1360.781695739726
Coal and coal products,Imports,28.883814794520546
"Crude, NGL and feedstocks",Imports,4810.030013849315
Gas,Imports,402.82441746575336
Coal and coal products,Exports,-1082.7295423835617
"Crude, NGL and feedstocks",Exports,-53.77844276712329
Gas,Exports,-26.42652768493151
Coal and coal products,Total Consumption,1122.1032298082193
Gas,Total Consumption,5936.254355417808
Combustible renewables and waste,Total Consumption,1355.0118360342467
Oil Products,Imports,1296.0882704657536
Electricity,Imports,78.170142369863
Oil Products,Exports,-558.731634760274
Electricity,Exports,-7.86679698630137
Oil Products,Total Consumption,13379.021063554796
Electricity,Total Consumption,3933.2033344109586
Electricity,Production,11822.480727835617
Coal and coal products,Electricity,-7012.74076610274
Gas,Electricity,-1360.7662023287671
Nuclear,Electricity,-2192.1601862191783
Hydro,Electricity,-491.7482120547945
Geothermal,Electricity,-172.96629617123284
Solar/Wind/Other,Electricity,-0.026337794520547943
Combustible renewables and waste,Electricity,-5.769859705479452
Oil Products,Electricity,-586.3028674589041
"Crude, NGL and feedstocks",Oil Products,-14014.548164452057
All products,Heat and Waste,7621.612849157536
All products,Industry,6893.484136212329
All products,Transport,9007.205018445205
All products,Residential,4181.558695643836
All products,Commercial,2974.07921050685
All products,Other,2701.086936068493
All products,Total Consumption,25725.59381922603
All primary,Production,31661.641629301368
All primary,Imports,5241.7382461095885
All primary,Exports,-1162.9345128356165
All primary,Total Consumption,8413.369421260275
All primary,Oil Products,-14014.548164452057
All primary,Electricity,-11822.480727835617
Oil Products,Production,13955.828714280822
All products,Hydrocarbon Heat and Waste,58.71945017123471
All products,Electricity Heat and Waste,7562.893398986302
