flow,period,value
Industry,2011,2384.1060363287675
Transport,2011,333.18213767123285
Residential,2011,2193.5802984109587
Commercial,2011,1449.2255259452056
Other,2011,202.5340652328767
Electricity output in GWh,2011,1045254.0
Production,2011,10661.781172164385
Imports,2011,1618.5203707123287
Exports,2011,-695.7094784931508
Total Consumption,2011,6562.628063589041
Electricity,2011,-3810.0455580273974
Industry,2012,2046.3130475068494
Transport,2012,353.55162528767124
Residential,2012,1936.4457660547946
Commercial,2012,1321.9764849589042
Other,2012,295.99017956164386
Electricity output in GWh,2012,1264552.0
Production,2012,11221.549856328766
Imports,2012,1459.8532829041098
Exports,2012,-744.6866507671233
Total Consumption,2012,5954.277103369863
Electricity,2012,-4565.527370904109
Industry,1971-1974,3397.875124472603
Transport,1971-1974,339.02294776027395
Residential,1971-1974,2309.0508326849317
Commercial,1971-1974,1198.219240089041
Electricity output in GWh,1971-1974,377459.75
Production,1971-1974,9995.625460424659
Imports,1971-1974,460.3058105547946
Exports,1971-1974,-36.461844924657534
Total Consumption,1971-1974,7244.168145006851
Electricity,1971-1974,-1751.0097040068495
Industry,1971,3332.911016356164
Transport,1971,348.29989115068497
Residential,1971,2335.8392314246576
Commercial,1971,1176.9723765753424
Electricity output in GWh,1971,400180.0
Production,1971,10135.636684082192
Imports,1971,438.52488123287674
Exports,1971,-37.577777178082194
Total Consumption,1971,7194.02251550685
Electricity,1971,-1872.825543150685
Industry,1972,3315.1261670684926
Transport,1972,357.9829617260274
Residential,1972,2399.4758413972604
Commercial,1972,1218.7743022191783
Electricity output in GWh,1972,402320.0
Production,1972,10103.409043780823
Imports,1972,476.1060924657534
Exports,1972,-36.53681676712329
Total Consumption,1972,7291.359272410959
Electricity,1972,-1858.9921261643835
Industry,1973,3560.579511013699
Transport,1973,338.22843098630136
Residential,1973,2271.1167974246573
Commercial,1973,1206.5053080547946
Electricity output in GWh,1973,364870.0
Production,1973,10093.608592794522
Imports,1973,479.8119597260274
Exports,1973,-35.851933698630134
Total Consumption,1973,7376.430047479452
